'an'fu'zhi'zhi'shi 安抚制置使
'ba'fu 霸府
'bei'dao 北道
'bei'dao'da'zong'guan 北道大总管
'bei'dao'dou'zong'guan 北道都总管
'bei'dao'fu'zong'guan 北道副总管
'bei'dao'zong'guan 北道总管
'ben'cheng'bing'ma'dou'jian 本城兵马都监
'bing'ma'da'yuan'shuai 兵马大元帅
'bing'ma'dou'bu'shu 兵马都部署
'bing'ma'dou'jian 兵马都监
'bing'ma'dou'qian'xia 兵马都钤辖
'bing'ma'fu'qian'xia 兵马副钤辖
'bing'ma'fu'yuan'shuai 兵马副元帅
'bing'ma'jian'ya 兵马监押
'bing'ma'qian'xia 兵马钤辖
'bing'ma'qian'xia'si 兵马钤辖司
'bing'ma'si 兵马司
'bing'ma'yuan'shuai 兵马元帅
'bing'qian 兵钤
'bing'qian'xia 兵钤辖
'bu'dui'jiang 部队将
'bu'jiang 部将
'bu'shu 部署
'bu'shu'si 部署司
'bu'xia 部辖
'can'mou 参谋
'can'mou'guan 参谋官
'can'mou'jun'shi 参谋军事
'can'yi 参议
'can'yi'guan 参议官
'can'zan 参赞
'cheng'shou 承受
'cheng'shou'gong'shi 承受公事
'chi'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 池州驻扎御前诸军都统制
'chu'shuai 储帅
'chu'zhou'wu'feng'jun'dou'tong'zhi 楚州武锋军都统制
'chuan'shan'jing'xiang'du'du'fu 川陕荆襄都督府
'da'jiang 大将
'da'shi 大使
'da'shi'si 大使司
'da'shuai 大帅
'da'yuan'shuai 大元帅
'da'yuan'shuai'fu 大元帅府
'da'zhi'kun 大制阃
'da'zhi'si 大制司
'dong'dao 东道
'dong'dao'dou'zong'guan 东道都总管
'dong'dao'fu'zong'guan 东道副总管
'dong'nan'dao'dou'zong'guan 东南道都总管
'dong'nan'dao'zong'guan 东南道总管
'dong'nan'san'zong'ling'suo 东南三总领所
'dou'bu'guan 都部管
'dou'bu'shu 都部署
'dou'bu'shu'si 都部署司
'dou'fu 都府
'dou'jian 都监
'dou'pai'zhen'shi 都排阵使
'dou'qian 都钤
'dou'qian'xia 都钤辖
'dou'tong'xun'jian 都同巡检
'dou'tong'zhi 都统制
'dou'tong'zhi'jun'ma 都统制军马
'dou'xun 都巡
'dou'xun'jian 都巡检
'dou'xun'jian'shi 都巡检使
'dou'xun'jian'si 都巡检司
'dou'xun'si 都巡司
'dou'zong'guan 都总管
'dou'zong'guan'cheng'shou 都总管承受
'dou'zong'guan'si 都总管司
'dou'zong'guan'si'cheng'shou 都总管司承受
'dou'zong'guan'si'zou'ma'cheng'shou'gong'shi 都总管司走马承受公事
'du'can 督参
'du'du 都督
'du'du'fu 都督府
'du'du'fu'can'mou'guan 都督府参谋官
'du'du'fu'can'mou'jun'shi 都督府参谋军事
'du'du'fu'can'yi'guan 都督府参议官
'du'du'fu'can'yi'jun'shi 都督府参议军事
'du'du'fu'can'zan'jun'shi 都督府参赞军事
