'ci'di'qi'yi 次第乞已
'da'bi'qiu 大比丘
'er'shi 尔时
'fan'shi'qi 饭食讫
'fu'zuo'er'zuo 敷座而坐
'gu'du'yuan 孤独园
'hai'zhi'ben'chu 还至本处
'qi'shi 乞食
'ru'shi'wo'wen 如是我闻
'she'wei'da'cheng 舍卫大城
'she'wei'guo 舍卫国
'shi'zun 世尊
'shou'yi'bo 收衣钵
'xi'zu'yi 洗足已
'yi'shi 一时
'yu'qi'cheng'zhong 于其城中
'zhi'shu'gei 祗树给
'zhu'yi'chi'bo 著衣持钵
