'a'li'ga'duo 阿里嘎多
'ao'jiao 傲娇
'ba'wu 吧务
'chi'huo 吃货
'cun'zai'gan 存在感
'da'chu 大触
'dai'lian 代练
'dai'shua 代刷
'gong'hui 公会
'gong'lue 攻略
'gou'da 勾搭
'guang'ba 光吧
'hou'gong 后攻
'jiao'chong 角虫
'jiao'yi 交易
'mie'chu 灭触
'nuan'chang 暖场
'nuan'chang'da'dui 暖场大队
'nv'shen 女神
'pen'zi 喷子
'qian'pai 前排
'qiu'ren'shi 求认识
'ren'pin 人品
'ruan'mei 软妹
'sang'bing 丧病
'shao'nian 少年
'shao'nv 少女
'shu'xing 属性
'shuai'bi 帅比
'shui'bi 水比
'tian'keng 填坑
'tu'lou 图楼
'wei'guan 围观
'wen'keng 文坑
'wu'jie'cao 无节操
'ying'mei 硬妹
'yo'xi 哟西
'zha'zha 渣渣
'zhao'ren 招人
'zuo'si 作死
