'an'er'beng 氨二泵
'an'er'ni 氨二泥
'an'er'ni'tong 氨二泥桶
'an'er'ni'ya'zha'ji 氨二泥压榨机
'an'fen 氨分
'an'fen'li'qi 氨分离器
'an'fen'qi 氨分器
'an'guan 氨罐
'an'leng 氨冷
'an'leng'qi 氨冷器
'an'mu'ye 氨母液
'an'mu'ye'er'ni'beng 氨母液二泥泵
'an'mu'ye'er'tong 氨母液二桶
'an'quan'shan'gui 安全栅柜
'an'xi'shou'leng'que'qi 氨吸收冷却器
'an'ye'fen'li'qi 氨液分离器
'ban'huan 板换
'ban'pin'ye 半贫液
'ban'pin'ye'beng 半贫液泵
'ban'pin'ye'shui'leng'qi 半贫液水冷器
'ban'shi'huan're'qi 板式换热器
'bao'hu'zheng'qi 保护蒸汽
'bao'zhuang 包装
'bao'zhuang'che'jian 包装车间
'bao'zhuang'ji 包装机
'bei'pin'bei'jian 备品备件
'bei'yong'beng 备用泵
'bei'yong'fa 备用阀
'bian'huan'lu 变换炉
'bing'ji 冰机
'bo'lang'xing'ban'shi'shu'song'ji 波浪型板式输送机
'bu'chong'qi 补充气
'bu'chong'qi'an'leng'qi 补充气氨冷器
'bu'chong'shui'an'leng'qi 补充水氨冷器
'bu'dai'chu'chen'qi 布袋除尘器
'cai'gou'bu 采购部
'cai'yang 采样
'cang'bi'zhen'dong'qi 仓壁振动器
'cha'ya'bian'song'qi 差压变送器
'chao'lv 超滤
'chao'lv'shui'xiang 超滤水箱
'chao'lv'zeng'ya'beng 超滤增压泵
'chao'ya 超压
'chao'zheng'ya 超正压
'che'jian'zhu'ren 车间主任
'chen'dian'beng 沉淀泵
'cheng'ben'bu 成本部
'cheng'ben'he'suan'bu 成本核算部
'chi'fang'qi 驰放气
'chi'fang'qi'an'xi'shou'ta 驰放气氨吸收塔
'chi'fang'qi'fen'li'qi 驰放气分离器
'chi'fang'qi'jia're'qi 驰放气加热器
'chou'hou'qi 稠厚器
'chu'jian'cao 出碱槽
'chu'jian'tiao'jie'fa 出碱调节阀
'chu'kou'fa 出口阀
'chu'kou'liu'liang 出口流量
'chu'kou'ya'li 出口压力
'chu'liao'fa 出料阀
'chu'mei'ceng 触媒层
'chu'shui'cao 储水槽
'chuan'jian 串碱
'chuan'jian'luo'xuan'shu'song'ji 串碱螺旋输送机
'dai'chu 袋除
'dai'shi'chu'chen'qi 袋式除尘器
'dan'er'duan 氮二段
'dan'qi'huan'chong'guan 氮气缓冲罐
