'a'ben'da'zuo 阿苯达唑
'jian'shi'xiao'suan'bi'fu'fang'zhi'ji 碱式硝酸铋复方制剂
'jian'wei'xiao'shi'pian'pian'ji 健胃消食片片剂
'jiao'gu'lan'zong'dai'pian'pian'ji 绞股蓝总甙片片剂
'jiao'nang'ji 胶囊剂
'jiao'qi'san'san'ji 脚气散散剂
'jie'ji'ning'sou'wan'mi'wan 解肌宁嗽丸蜜丸
'jie're'zhen'tong'yao 解热镇痛药
'jin'lian'hua'chong'ji'ke'li'ji 金莲花冲剂颗粒剂
'jin'yin'hua'lu'lu'ji 金银花露露剂
'jing'fang'chong'ji'ke'li'ji 荆防冲剂颗粒剂
'jing'wan'hong'you'gao'ji 京万红油膏剂
'ju'hong'pian'pian'ji 橘红片片剂
'ju'jue'pian 咀嚼片
'ju'wei'tong'dian 聚维酮碘
'ju'yuan'suan'gai 枸橼酸钙
'ju'yuan'suan'pen'tuo'wei'lin 枸橼酸喷托维林
'ka'fei'yin 咖啡因
'kai'sai'lu 开塞露
'ke'han'ka'jiao'nang'ji 可含咖胶囊剂
'ke'li'ji 颗粒剂
'ke'mei'zuo 克霉唑
'ke'zuo'tong'cha'ji'cha'ji 克作痛搽剂搽剂
'kou'fei'yin 口啡因
'kou'fu'bu'ye'yan 口服补液盐
'kou'fu'rong'ye'ji 口服溶液剂
'kou'fu'ye 口服液
'kou'han'pian 口含片
'kou'qiang'kui'yang'san'san'ji 口腔溃疡散散剂
'li'yan'jie'du'ke'li'ke'li'ji 利咽解毒颗粒颗粒剂
'lian'ben'bian'zuo 联苯苄唑
'lin'suan'ben'bing'pai'lin 磷酸苯丙哌林
'ling'qiao'jie'du'wan'mi'wan 羚翘解毒丸蜜丸
'liu'suan'mei 硫酸镁
'liu'suan'sha'ding'an'chun 硫酸沙丁胺醇
'liu'suan'xin 硫酸锌
'liu'suan'ya'tie 硫酸亚铁
'liu'tang'lv 硫糖铝
'liu'wei'an'xiao'san'san'ji 六味安消散散剂
'liu'wei'di'huang'wan'mi'wan 六味地黄丸蜜丸
'long'dan'xie'gan'wan'mi'wan 龙胆泻肝丸蜜丸
'lu'he'ding'zhong'wan'mi'wan 六合定中丸蜜丸
'lv'hua'an 氯化铵
'lv'hua'jia 氯化钾
'lv'hua'na 氯化钠
'lv'ji'ding 氯己定
'lv'mei'su 氯霉素
'lv'mei'zha'tong 氯美扎酮
'ma'lai'suan'lv 马来酸氯
'ma'lai'suan'lv'ben'na'min 马来酸氯苯那敏
'ma'ren'run'chang'wan'mi'wan 麻仁润肠丸蜜丸
'ma'ren'wan'mi'wan 麻仁丸蜜丸
'mei'jiao'you 煤焦油
'ming'mu'di'huang'wan'mi'wan 明目地黄丸蜜丸
'ming'mu'shang'qing'pian'pian'ji 明目上清片片剂
'mu'gua'jiu'jiu'ji 木瓜酒酒剂
'mu'xiang'shun'qi'wan'shui'wan 木香顺气丸水丸
'nao'le'jing'tang'jiang'ji 脑乐静糖浆剂
'nao'li'qing'wan'shui'wan 脑立清丸水丸
'niao'su 尿素
'ning'jiao'ji 凝胶剂
'niu'huang'shang'qing'wan'mi'wan 牛黄上清丸蜜丸
'pai'qin 哌嗪
'pao'teng'pian 泡腾片
'pian'ji 片剂
'pu'quan'nei'zhi 葡醛内酯
'pu'tao'tang 葡萄糖
'pu'tao'tang'suan'gai 葡萄糖酸钙
'pu'tao'tang'suan'xin 葡萄糖酸锌
'pu'tao'tang'suan'ya'tie 葡萄糖酸亚铁
'qi'dun'guo'suan 齐墩果酸
'qi'ju'di'huang'wan'mi'wan 杞菊地黄丸蜜丸
'qi'pi'wan'mi'wan 启脾丸蜜丸
'qi'zhi'wei'tong'chong'ji'ke'li'ji 气滞胃痛冲剂颗粒剂
'qi'zhi'xiang'fu'wan'shui'wan 七制香附丸水丸
'qing'hua'ke'di'song 氢化可的松
'qing'liang'han'pian'pian'ji 清凉含片片剂
'qing'liang'you'ruan'gao'ji 清凉油软膏剂
'qing're'an'chuang'wan'nong'suo'wan 清热暗疮丸浓缩丸
'qing'xiu'suan'dong'lang'dang'jian 氢溴酸东莨菪碱
'qing'xiu'suan'shan'lang'dang'jian 氢溴酸山莨宕碱
'qing'xiu'suan'you'mei'sha'fen 氢溴酸右美沙芬
'qing'xiu'suan'you'mei'sha'fu'rong'ye'ji 氢溴酸右美沙服溶液剂
'qing'xuan'wan'mi'wan 清眩丸蜜丸
'qing'yan'wan 清咽丸
'qing'yang'hua'lv 氢氧化铝
'qing'yang'hua'lv'fu'fang'zhi'ji 氢氧化铝复方制剂
'qiu'li'run'fei'gao'jian'gao'ji 秋梨润肺膏煎膏剂
'qu'chong'yao 驱虫药
'qu'feng'you'you'ji 驱风油油剂
'qu'qing'dan'suan 去氢胆酸
'que'ci'chun 炔雌醇
'que'nuo'tong 炔诺酮
'ren'ben'chun'mi 壬苯醇醚
'ren'dan'shui'wan 仁丹水丸
'ren'shen'gui'pi'wan'mi'wan 人参归脾丸蜜丸
'ren'shen'jian'pi'wan'mi'wan 人参健脾丸蜜丸
'ren'shen'yang'rong'wan'mi'wan 人参养荣丸蜜丸
'rong'jun'mei 溶菌酶
'rou'suan 鞣酸
'rou'suan'dan'bai 鞣酸蛋白
'ru'gao'ji 乳膏剂
'ru'guo'tang 乳果糖
'ru'mei'sheng 乳酶生
'ru'suan'gai 乳酸钙
'ru'suan'yi'sha'a'ding 乳酸依沙吖啶
'ru'yi'jin'huang'san'san'ji 如意金黄散散剂
'ruan'gao'ji 软膏剂
'san'gui'suan'mei 三硅酸镁
'san'gui'suan'mei'fu'fang'zhi'ji 三硅酸镁复方制剂
'san'huang'gao'you'gao'ji 三黄膏油膏剂
'san'ji 散剂
'san'qi'pian'pian'ji 三七片片剂
'sang'ju'gan'mao'pian'pian'ji 桑菊感冒片片剂
'se'gan'suan'na 色甘酸钠
'shan'li'chun 山梨醇
'shan'zha'jing'jiang'zhi'pian'pian'ji 山楂精降脂片片剂
'shang'shi'zhi'tong'gao'xiang'jiao'nang'ji 伤湿止痛膏橡胶囊剂
'shao'shang'pen'wu'ji'he'ji 烧伤喷雾剂合剂
'she'xiang'cao'fen 麝香草酚
'shen'ling'bai'zhu'san'san'ji 参苓白术散散剂
'shen'qu'cha'cha'ji 神曲茶茶剂
'sheng'hua'liu 升华硫
'sheng'wu'su 生物素
'shi'di'shui'ding'ji 十滴水酊剂
'shi'guo'gong'yao'jiu'jiu'ji 史国公药酒酒剂
'shi'quan'da'bu'wan'mi'wan 十全大补丸蜜丸
'shi'yi'xi'suan 十一烯酸
'shuan'ji 栓剂
'shuang'huang'lian'kou'fu'ye'kou'fu'ye 双黄连口服液口服液
'shuang'lv'fen'suan 双氯芬酸
'shuang'qiang'nai'suan'sai'mi'ding 双羟萘酸噻嘧啶
'shui'rong'pian 水溶片
'shui'yang'suan 水杨酸
'shui'yang'suan'jia'zhi 水杨酸甲酯
'si'wu'he'ji'he'ji 四物合剂合剂
'song'jie'you 松节油
'song'liu'you 松馏油
'su'zi'jiang'qi'wan'shui'wan 苏子降气丸水丸
'suo'jia'si'tan 羧甲司坦
'tai'ding'an 酞丁安
'tan'suan'gai 碳酸钙
'tan'suan'mei 碳酸镁
'tan'suan'qing'na 碳酸氢钠
'tang'jiang'ji 糖浆剂
'te'bi'nai'fen 特比萘芬
'tiao'jing'zhi'dai'wan'mi'wan 调经止带丸蜜丸
'tie'di'wan'mi'wan 铁笛丸蜜丸
'tie'gao'ji 贴膏剂
'tong'jing'wan'shui'wan 痛经丸水丸
'tong'qiao'bi'yan'pian'pian'ji 通窍鼻炎片片剂
'tong'xuan'li'fei'wan'mi'wan 通宣理肺丸蜜丸
'wai'yong'rong'ye'ji 外用溶液剂
'wei'de'an'pian'pian'ji 胃得安片片剂
'wei'su'chong'ji'ke'li'ji 胃苏冲剂颗粒剂
'wen'wei'shu'jiao'nang'ying'jiao'nang'ji 温胃舒胶囊硬胶囊剂
'wu'ji'bai'feng'wan'mi'wan 乌鸡白凤丸蜜丸
'wu'ren'run'chang'wan'mi'wan 五仁润肠丸蜜丸
'wu'shi'cha'ke'li 午时茶颗粒
'wu'zi'yan'zong'wan'mi'wan 五子衍宗丸蜜丸
'xi'mi'ti'ding 西咪替丁
'xiang'lian'pian'pian'ji 香连片片剂
'xiang'sha'ping'wei'ke'li'ke'li'ji 香砂平胃颗粒颗粒剂
'xiang'sha'yang'wei'wan'shui'wan 香砂养胃丸水丸
'xiang'sha'zhi'shu'wan'shui'wan 香砂枳术丸水丸
'xiao'bai'du'gao'jian'gao'ji 小败毒膏煎膏剂
'xiao'er'gan'mao'ke'li'ke'li'ji 小儿感冒颗粒颗粒剂
'xiao'er'jian'wei'tang'jiang'tang'jiang'ji 小儿健胃糖浆糖浆剂
'xiao'er'wei'bao'wan'shui'wan 小儿胃宝丸水丸
'xiao'er'xi'shi'tang'jiang'tang'jiang'ji 小儿喜食糖浆糖浆剂
'xiao'er'xiao'shi'pian'pian'ji 小儿消食片片剂
'xiao'hua'yao 消化药
'xiao'shuan'tong'luo'pian'pian'ji 消栓通络片片剂
'xiao'suan'mi'kang'zuo 硝酸咪康唑
'xie'du'san'san'ji 泻毒散散剂
'xin'yi'bi'yan'wan'shui'wan 辛夷鼻炎丸水丸
'xiong'ju'shang'qing'wan'shui'wan 芎菊上清丸水丸
'xiu'bing'an'tai'lin 溴丙胺太林
'yan'gao'ji 眼膏剂
'yan'lei'xie'yao 盐类泻药
'yan'suan'ben'bing'chun'an 盐酸苯丙醇胺
'yan'suan'ben'bing'chun'an'fu'fang'zhi'ji 盐酸苯丙醇胺复方制剂
'yan'suan'ben'hai'la'ming 盐酸苯海拉明
'yan'suan'di'fen'ni'duo 盐酸地芬尼多
'yan'suan'lei'ni'ti'ding 盐酸雷尼替丁
'yan'suan'lin'ke'mei'su 盐酸林可霉素
'yan'suan'lv'bing'na'lin 盐酸氯丙那林
