'cha'xin 岔心
'dan'ban'shou 单扳手
'dao'cha'da'mo'ji 道岔打磨机
'dao'cha'jian'cha 道岔检查
'dao'ding'chui 道钉锤
'dao'qu'shang'gu 导曲上股
'dao'qu'xia'gu 导曲下股
'dian'dong'ban'shou 电动扳手
'fang'chi 方尺
'fang'xiang 方向
'fang'xing'da'mo'ji 仿形打磨机
'fang'zhen'qi 方枕器
'gao'di 高低
'gui'ju 轨距
'gui'ju'chi 轨距尺
'huo'kou'ban'shou 活口扳手
'jian'gui'jian 尖轨尖
'jiao'mo'ji 角磨机
'jiu'chi'cha 九齿叉
'mei'hua'ban'shou 梅花扳手
'mi'juan'chi 米卷尺
'mi'tie 密贴
'niu'li'ju'ban'shou 扭力矩扳手
'qi'bo'qi 起拨器
'qi'dao'ji 起道机
'qi'you 汽油
'qiao'gun 撬棍
'qu'xian'shang'gu 曲线上股
'qu'xian'xia'gu 曲线下股
'san'chi'pa 三齿耙
'san'jiao'keng 三角坑
'shi'bi 石笔
'shui'ping 水平
'wei'ke 威客
'wei'ke'dao'gu'ji 威客捣固机
'xian'lu 线路
'xian'lu'she'bei'jian'cha 线路设备检查
'ye'ya'qi'dao'ji 液压起道机
'yi'chao'liang'dao'gu'ji 一抄两捣固机
'zhe'cha 辙叉
'zhi'gang'chi 直钢尺
'zhi'ji'zhun'gu 直基准股
