'bai'chi'deng 白炽灯
'bang'ding'jia'gong 邦定加工
'bei'deng 杯灯
'bi'deng 壁灯
'cai'liao 材料
'cai'se'deng'pao 彩色灯泡
'cao'ping'deng 草坪灯
'cha'jian'jia'gong 插件加工
'cha'tou 插头
'cha'zuo 插座
'che'deng 车灯
'chong'dian'shou'dian'tong 充电手电筒
'chu'dian 触点
'chu'fa'qi 触发器
'chu'pian 触片
'da'deng 大灯
'dao'lu'zhao'ming'deng 道路照明灯
'deng'bei 灯杯
'deng'guan 灯管
'deng'ju 灯具
'deng'ju'pei'fu'jian 灯具配附件
'deng'pan 灯盘
'deng'si 灯丝
'deng'tou 灯头
'deng'xiang 灯箱
'deng'zhao 灯罩
'deng'zhu'deng'gan 灯柱灯杆
'deng'zuo 灯座
'dian'gong'jiao'dai 电工胶带
'dian'guang'yuan 电光源
'dian'guang'yuan'cai'liao 电光源材料
'dian'zi'fen 电子粉
'dian'zi'jia'gong 电子加工
'dian'zi'zu'zhuang'jia'gong 电子组装加工
'diao'deng 吊灯
'duan'zi 端子
'er'shou'zhao'ming'qi'cai 二手照明器材
'fa'guang'er'ji'guan 发光二极管
'fan'guang'deng 泛光灯
'fang'bao'deng'ju 防爆灯具
'gao'gan'deng 高杆灯
'ge'shan'deng 格栅灯
'gong'deng 汞灯
'gong'kuang'deng'ju 工矿灯具
'gong'yi'zhuang'shi'deng'ju 工艺装饰灯具
'gong'zuo'deng 工作灯
'guang'gao'deng'ju 广告灯具
'guang'yuan'qi 光源器
'han'jie'jia'gong 焊接加工
'hang'kong'zhang'ai'deng 航空障碍灯
'hong'wai'xian'deng 红外线灯
'hong'wai'xian'deng'pao 红外线灯泡
'huan'xing'ying'guang'deng'guan 环型荧光灯管
'ji'chuang'deng'ju 机床灯具
'jian'xiu'deng 检修灯
'jiao'deng 角灯
'jiao'tong'jing'shi'deng 交通警示灯
'jin'lu'deng 金卤灯
'jing'guan'deng 景观灯
'ju'guang'deng'pao 聚光灯泡
'jue'yuan'ban 绝缘板
'jue'yuan'cai'liao 绝缘材料
'jue'yuan'dai 绝缘带
'jue'yuan'dian'pian 绝缘垫片
'jue'yuan'ge'li'zhu 绝缘隔离柱
'jue'yuan'tao'guan 绝缘套管
'jue'yuan'zi 绝缘子
'ku'cun'zhao'ming'qi'cai 库存照明器材
'leng'guang'pian 冷光片
'leng'guang'yuan 冷光源
'leng'yin'ji'ying'guang'deng 冷阴极荧光灯
'liang'ji'dian'yuan'cha'tou 两极电源插头
'liang'ji'dian'yuan'cha'zuo 两极电源插座
'lu'wu'deng'pao 卤钨灯泡
'luo'di'deng 落地灯
'luo'xuan'xing'ying'guang'deng'guan 螺旋型荧光灯管
'ma'tou 码头
'mai'di'deng 埋地灯
'mie'wen'deng 灭蚊灯
'na'deng 钠灯
'nai'deng 氖灯
'ni'hong'deng'guan 霓虹灯管
'pao'ke 泡壳
'pu'tong'shou'dian'tong 普通手电筒
'pu'tong'zhao'ming'bai'chi'deng 普通照明白炽灯
'qi'hui'qi 启辉器
'qi'ta'bai'chi'deng 其他白炽灯
'qi'ta'cha'tou 其他插头
'qi'ta'cha'zuo 其他插座
'qi'ta'che'deng 其他车灯
'qi'ta'deng'ju'pei'fu'jian 其他灯具配附件
'qi'ta'dian'guang'yuan'cai'liao 其他电光源材料
'qi'ta'dian'zi'jia'gong 其他电子加工
'qi'ta'jue'yuan'cai'liao 其他绝缘材料
'qi'ta'leng'guang'yuan 其他冷光源
'qi'ta'qi'ti'fang'dian'deng 其他气体放电灯
'qi'ta'shi'nei'zhao'ming'deng'ju 其他室内照明灯具
'qi'ta'shi'wai'zhao'ming'deng'ju 其他室外照明灯具
'qi'ta'shou'dian'tong 其他手电筒
'qi'ta'wei'fen'lei 其他未分类
'qi'ta'zhi'shi'deng'ju 其他指示灯具
'qi'ta'zhuan'men'yong'tu'deng'ju 其他专门用途灯具
'qi'ti'fang'dian'deng 气体放电灯
'qian'zhao'deng 前照灯
'qiao'liang'deng'ju 桥梁灯具
'san'ji'dian'yuan'cha'tou 三极电源插头
'san'ji'dian'yuan'cha'zuo 三极电源插座
'sha'che'deng 刹车灯
'she'bei'zhi'shi'deng 设备指示灯
'she'deng 射灯
'she'ying'deng'ju 摄影灯具
'she'ying'deng'pao 摄影灯泡
'shi'nei'zhao'ming'deng'ju 室内照明灯具
'shi'pin'cha'tou 视频插头
'shi'pin'cha'zuo 视频插座
'shi'wai'zhao'ming'deng'ju 室外照明灯具
'shou'dian'tong 手电筒
'shui'xia'deng'ju 水下灯具
'shui'xia'deng'pao 水下灯泡
'sui'dao'deng'ju 隧道灯具
'tai'deng 台灯
'tai'yang'neng'deng 太阳能灯
'tai'yang'neng'shou'dian'tong 太阳能手电筒
'tan'zhao'deng 探照灯
'ti'deng 提灯
'tie'pian'jia'gong 贴片加工
'ting'yuan'deng 庭院灯
'tong'deng 筒灯
'tou'deng 头灯
'tou'she'deng 投射灯
'wei'deng 尾灯
'wei'xing'deng'pao 微型灯泡
'wen'ya'qi 稳压器
'wu'deng 雾灯
'wu'dian'yuan'shou'dian'tong 无电源手电筒
'wu'tai'deng'ju 舞台灯具
'wu'ying'deng 无影灯
'xi'ding'deng 吸顶灯
'xian'qi'deng 氙气灯
'xiao'ye'deng 小夜灯
'xin'hao'deng 信号灯
'xin'zhu 芯柱
'xing'ying'guang'deng'guan 型荧光灯管
'yi'biao'deng 仪表灯
'yi'liao'deng'ju 医疗灯具
'yin'pin 音频
'ying'guang'fen 荧光粉
'ying'ji'zhi'shi'deng'ju 应急指示灯具
'yun'dong'chang'guan'deng'ju 运动场馆灯具
'yun'mu'pian 云母片
'zhao'ming'pei'fu'jian 照明配附件
'zhao'ming'qi'cai'dai'li 照明器材代理
'zhao'ming'qi'cai'xiang'mu'he'zuo 照明器材项目合作
'zhen'liu'qi 镇流器
'zhi'jia 支架
'zhi'shi'deng'ju 指示灯具
'zhi'shi'deng'pao 指示灯泡
'zhi'xing'ying'guang'deng'guan 直型荧光灯管
'zhuan'huan'cha'zuo 转换插座
'zhuan'men'yong'tu'deng'ju 专门用途灯具
'zhuan'xiang'deng 转向灯
'zhuang'shi'deng'chuan 装饰灯串
'zi'wai'xian'deng 紫外线灯
'zi'wai'xian'deng'guan 紫外线灯管
