'an'xiang'si 暗相思
'an'xiang'yu'rong'he'suo'si 暗想玉容何所似
'an'xiao'hun 暗销魂
'an'zhan'yi 暗沾衣
'ba'hang'shu 八行书
'bai'hua'fang'cao'jia'jie 百花芳草佳节
'bai'hua'shi 百花时
'bai'ma'yu'bian'jin'pei 白马玉鞭金辔
'bai'ru'xue 白如雪
'bai'tou'shi'bu'gui 白头誓不归
'ban'fu'lan'gan'ban'ru'lou 半拂栏杆半入楼
'ban'xiu'hai'ban'xi 半羞还半喜
'bao'han'dian'que'jin'xi'chi 宝函钿雀金鸂鶒
'bao'ji'hua'cu'ming'dang 宝髻花簇鸣珰
'bao'se'shui'jia'dan'ba 宝瑟谁家弹罢
'bao'zhu'qin'zheng'fang'zai'pin 宝柱秦筝方再品
'bei'chuang'deng'ban'ming 背窗灯半明
'bei'jiang'lou 背江楼
'bei'lan'gang 背兰釭
'bei'li'wan'nan'yu'he'wei 备罹万难欲何为
'ben'wei'feng'liu'chu 本为风流出
'bi'chuang'wang'duan'yan'hong 碧窗望断燕鸿
'bi'tian'wu'lu'xin'nan'tong 碧天无路信难通
'bi'tian'yun 碧天云
'bi'zhao'hong'fang'yan'yu'jing 碧沼红芳烟雨静
'bie'hou'zhi'zhi'xiang'kui 别后只知相愧
'bie'jun'shi 别君时
'bie'lai'ban'sui'yin'shu'jue 别来半岁音书绝
'bie'tan'lang 别檀郎
'bin'qing'shuang'lian'chang 鬓轻双脸长
'bin'ru'chan 鬓如蝉
'bin'yun'can 鬓云残
'bin'yun'chui 鬓云垂
'bin'yun'yu'du'xiang'sai'xue 鬓云欲度香腮雪
'bo'qi 波起
'bo'ying 波影
'bu'dao'li'qing'zheng'ku 不道离情正苦
'bu'feng'ren 不逢人
'bu'guan'fang'cao'lv'qi'qi 不关芳草绿萋萋
'bu'gui 不归
'bu'gui'jia 不归家
'bu'neng'xiu 不能羞
'bu'ren'ba'yi'shu'ji 不忍把伊书迹
'bu'ren'bie'jun'hou 不忍别君后
'bu'ren'geng'si'wei 不忍更思惟
'bu'ru'cong'jia'yu 不如从嫁与
'bu'sheng'bei 不胜悲
'bu'sheng'qing 不胜情
'bu'wen'lang'ma'si 不闻郎马嘶
'bu'zhi'hun'yi'duan 不知魂已断
'bu'zhi'jin'ye 不知今夜
'bu'zhi'zheng'ma'ji'shi'gui 不知征马几时归
'cai'lian'shi 采莲时
'cai'shui'yi'qian'meng'jian'jun 才睡依前梦见君
'can'meng 残梦
'can'meng'bu'cheng'li'yu'zhen 残梦不成离玉枕
'can'shi 蚕市
'can'yue'chu'men'shi 残月出门时
'can'yue'luo'bian'cheng 残月落边城
'cao'chu'qi 草初齐
'chai'shang'die'shuang'wu 钗上蝶双舞
'chan'bin'mei'ren'chou'jue 蝉鬓美人愁绝
'chan'cai'shuang'hua'ye'bu'fen 蟾彩霜华夜不分
'chang'dao'ren'sheng'neng'ji'he 长道人生能几何
'chang'duan 肠断
'chang'duan'bai'pin'zhou 肠断白蘋洲
'chang'duan'han'men'xiao'xi 肠断寒门消息
'chang'duan'shui'de'zhi 肠断谁得知
'chang'duan'xiao'xiang'chun'yan'fei 肠断潇湘春雁飞
'chang'wang'qian'hui'meng'li'qi 怅望前回梦里期
'chang'xiang'liu'si'duan 肠向柳丝断
'chao'yu 朝雨
'chen'man'yi'shang'lei'hen 尘满衣上泪痕
'chen'xiang'ge'shang'wu'shan'bi 沉香阁上吴山碧
'cheng'shang'jiao'sheng'wu'ye 城上角声呜咽
'cheng'shang'yue 城上月
'chi'shang'hai'tang'li 池上海棠梨
'chou'chang 惆怅
'chou'chang'jiu'fang'long 惆怅旧房栊
'chou'chang'meng'yu'shan'yue'xie 惆怅梦馀山月斜
'chou'chang'wan'ying'can'yue 惆怅晚莺残月
'chou'chang'xiang'gui'an'lao 惆怅香闺暗老
'chou'chang'xie'jia'chi'ge 惆怅谢家池阁
'chou'chang'ye'lai'yan'yue 惆怅夜来烟月
'chou'chang'yi'xiang'yun'shui 惆怅异乡云水
'chou'chang'yu'long'ying'wu 惆怅玉笼鹦鹉
'chou'ji'meng'nan'cheng 愁极梦难成
'chou'sha'ping'yuan'nian'shao 愁杀平原年少
'chou'ting'lou'geng'chang 愁听漏更长
'chou'wang'yu'guan'fang'cao'lu 愁望玉关芳草路
'chou'wen'yi'sha'qing'ming'yu 愁闻一霎清明雨
'chou'xiao'jing'li'hong 愁销镜里红
'chu'gong'qiang 出宫墙
'chu'lan'fang 出兰房
'chu'men'fang'cao'lu'qi'qi 出门芳草路萋萋
'chu'nv'bu'gui 楚女不归
'chu'nv'yu'gui'nan'pu 楚女欲归南浦
'chu'que'tian'bian'yue 除却天边月
'chu'shan'ru'hua'yan'kai 楚山如画烟开
'chu'shan'wu'xian'niao'fei'chi 楚山无限鸟飞迟
'chu'shi'xie'niang'shi 初识谢娘时
'chui'cui'bo 垂翠箔
'chui'cui'mu 垂翠幕
'chui'yu'pei 垂玉珮
'chui'yu'wan 垂玉腕
