'chang'wei'ya 长尾鸭
'chi'xiong'zhuo'mu'niao 赤胸啄木鸟
'da'jin'bei'zhuo'mu'niao 大金背啄木鸟
'duan'zhi'diao 短趾雕
'he'yu'xiao 褐渔鸮
'heng'ban'fu'xiao'xiao 横斑腹小鸮
'hong'xiong'hei'yan 红胸黑雁
'hong'yan 鸿雁
'ju'zui'duan'chi'huang'ying 巨嘴短翅蝗莺
'lv'bei'shan'que 绿背山雀
'si'rong'hai'fan'ya 丝绒海番鸭
'xiao'bai'e'yan 小白额雁
'xiao'rong'ya 小绒鸭
'yin'du'chi'lu 印度池鹭
'yun'shi'ban'ya 云石斑鸭
'zao'da'wei'ying 噪大苇莺
'zi'se'hua'mi'niao 紫色花蜜鸟
'zong'xiong'fo'fa'seng 棕胸佛法僧
