'bai'qiao 柏俏
'duo'te'meng'de'jin'mai 多特蒙德金麦
'jing'lv 劲旅
'kai'wei'shan'zha'zhi 开胃山楂汁
'leng'guo'mao'du 冷锅毛肚
'liu'mang'pi'sa 榴芒披萨
'qi'wei 齐唯
'si'ge'dun 斯格顿
'tie'mu'zhen'yang'pai 铁木真羊排
'wo'jia'shao'kao'wu'you'yan 我家烧烤无油烟
'xun'fan 寻范
'yao'a'yao 窑啊窑
'yao'a'yao'mi'zhi'mei'rou 窑啊窑蜜汁梅肉
'yao'kao'da'xia 窑烤大虾
'yao'kao'da'yang'rou'chuan 窑烤大羊肉串
'yao'kao'shou'si'ji'zhen 窑烤手撕鸡胗
'yao'kao'suan'xiang'mei'rou 窑烤蒜香梅肉
'yao'lu'shao'kao 窑炉烧烤
'yao'lu'zhou'zi'la 窑炉肘子辣
'yi'shu'dun 逸鼠顿
'zhan'fu'niu'fang 战斧牛方
'zhong'tang 中堂
