'a'sa'si 阿薩斯
'an'ying'zhi'yue 暗影之月
'bing'feng'gang'shao 冰風崗哨
'bing'shuang'zhi'ci 冰霜之刺
'di'yu'hou 地獄吼
'fen'nu'shi'zhe 憤怒使者
'han'bing'huang'guan 寒冰皇冠
'jian'shi 尖石
'ju'long'zhi'hou 巨龍之喉
'ke'luo'zhi'ren 克羅之刃
'kuang're'zhi'ren 狂熱之刃
'lao'ma'bu'lan'qi 老馬布蘭契
'lei'lin 雷鱗
'mi'nai'xi'er 米奈希爾
'ri'luo'zhao'ze 日落沼澤
'sheng'guang'zhi'yuan 聖光之願
'shi'jie'zhi'shu 世界之樹
'shui'jing'zhi'ci 水晶之刺
'tian'kong'zhi'qiang 天空之牆
'tu'mo'shan'gu 屠魔山谷
'xue'zhi'gu 血之谷
'ya'lei'ge'si 亞雷戈斯
'ye'kong'zhi'ge 夜空之歌
'yin'yi'yao'sai 銀翼要塞
'yu'feng 語風
'yun'jiao'wei 雲蛟衛
'zhong'xing'zhi'zi 眾星之子
