'ban'qiu 半球
'ban'qiu'yi'qiu 半球一球
'liang'qiu 两球
'liang'qiu'liang'qiu'ban 两球两球半
'ping'shou 平手
'ping'shou'ban'qiu 平手半球
'qiu'ban 球半
'qiu'ban'liang'qiu 球半两球
'shou'ban'qiu 受半球
'shou'ban'yi 受半一
'shou'liang'qiu 受两球
'shou'liang'qiu'liang'qiu'ban 受两球两球半
'shou'ping'shou'ban'qiu 受平手半球
'shou'qiu'ban 受球半
'shou'qiu'ban'liang'qiu 受球半两球
'shou'yi'qiu 受一球
'shou'yi'qiu'qiu'ban 受一球球半
'yi'qiu 一球
'yi'qiu'qiu'ban 一球球半
