'a'pu 阿蒲
'ai'xin'bu'xin 爱信不信
'bu'chi'zou 不吃走
'bu'fu'sheng'ming'a 不负盛名啊
'bu'hao'liao'tian 不好聊天
'chao'nan'sheng'ci'bo'bao 超难生词播报
'chi'ding'ni'le 吃定你了
'da'fei'suo'wen 答非所问
'dong'bei'ke 东北嗑
'du'jiu 毒九
'guo'wen'tao 郭文韬
'han'zi'de'mi'mi 汉字的秘密
'huo'shu 火树
'huo'yu'bai'ri'sheng 火羽白日生
'jiao'tou'lan'e 焦头烂额
'jie'ma'zhan 解码战
'jiu'ni'hua'duo 就你话多
'ju'ben'sha 剧本杀
'jun'wei 峻纬
'ka'pai'jia'jian'cheng 卡牌加减乘
'kai'ti'jun'zi 恺悌君子
'kan'de'jian'de'nao'dong 看得见的脑洞
'kan'tu'zhao'zhen'xiang 看图找真相
'ke'yi'a'tang'jiu'zhou 可以啊唐九洲
'kuai'wen'kuai'da 快问快答
'lang'dong'zhe 郎东哲
'lang'ren'sha 狼人杀
'lang'wang 狼王
'luo'ji'beng'pan 逻辑崩盘
'luo'ji'gao'shou 逻辑高手
'meng'dao'ni'le 萌到你了
'mi'shi'da'tao'tuo'da'shen'ban 密室大逃脱大神版
'miao'yu'lian'zhu 妙语连珠
'ming'xue 名学
'ming'zhen'tan'xue'yuan 名侦探学院
'ming'zhen'tan'yin'yue'xue'yuan 名侦探音乐学院
'nan'bo'wan 南波万
'nao'zi'bu'hao 脑子不好
'pan'you'cheng 潘宥诚
'pu'cao 蒲草
'pu'ci'ke 蒲词客
'pu'yi'xin 蒲艺馨
'pu'yi'xing 蒲熠星
'pu'yu 蒲鱼
'qi'dai'ze 齐岱泽
'qi'lian'xi 齐练习
'qi'luo 齐锣
'qi'si'ji 齐司机
'qi'si'jun 齐思钧
'qi'si'jun'de'zhuang'long'zuo'ya'zhi'dao 齐思钧的装聋作哑之道
'ru'qie'ru'cuo 如切如磋
'ru'zhuo'ru'mo 如琢如磨
'shao'bang'zhu 少帮主
'shao'ming'ming 邵明明
'shao'nai'er 邵奈儿
'shao'ye 邵耶
'shi'fou'yu'ci'wu'guan 是否与此无关
'shi'kai 石凯
'shi'tou'jian'dao'bu 石头剪刀布
'shou'hu'quan'xue'yuan'zui'chao'de'qi'luo 守护全学院最吵的齐锣
'shu'le'wo'hui'ku 输了我会哭
'shu'zi'shi'wu'lian 数字食物链
'shui'hai'bu'shi'ge'gu'niang'ne 谁还不是个姑娘呢
'shun'teng'mo'gua 顺藤摸瓜
'sun'mei'mei 孙美眉
'tang'gang'pu 唐钢蒲
'tang'jiu'zhou 唐九洲
'tang'jiu'zhou 糖酒粥
'tang'jiu'zhou'ni'gang'gang'shuo'huang'le 唐九洲你刚刚说谎了
'tang'liu'zhou 唐六洲
'tang'yi'zhou 唐一洲
'tao'duan'xiao 韬短萧
'tao'si'ji 韬司机
'tu'xing'da'ren 图形达人
'wang'chun'yu 王春彧
'wang'lao'shi'feng'ping'bei'hai 王老师风评被害
'wei'die 纬爹
'wen'hua'ren'qi'si'jun 文化人齐思钧
'wen'tao 文韬
'wo'suan'le 我酸了
'wo'zi'bei'wo'bu'neng'shuo'hua 我自卑我不能说话
'wu'chu'an'pai'de'qing'chun 无处安排的青春
'xiao'qi 小齐
'xiu'wai'hui'zhong 秀外慧中
'xun'ji'tou 寻机头
'yao'mo'hua'zhou'jun'wei 妖魔化周峻纬
'yao'zuo'jiu'zuo'nan'bo'wan 要做就做南波万
'yi'qi 熠起
'ying'nian'zao'hun 英年早婚
'zhe'ge'ren'cong'lai'bu'xin'wo 这个人从来不信我
'zhen'hong 甄红
'zhen'lv'shi 甄律师
'zhen'shi'da 甄是大
'zhen'tan'kao'yan 侦探考验
'zhen'tan'zhu'li 侦探助理
'zhong'ji'tao'wa 终极套娃
'zhou'chang'di 周长笛
'zhou'jun'wei 周峻纬
'zhou'tong'xue 周同学
