'dai'shi'shu'song'ji 带式输送机
'dao'liao'cao'fang'yi'qun'ban 导料槽防溢裙板
'dian'dong'ji 电动机
'huan'chong'chuang 缓冲床
'huan'dai'zhuang'zhi 换带装置
'jiao'dai'shu'song'ji 胶带输送机
'ni'zhi'qi 逆止器
'ping'xing'xia'tuo'gun 平行下托辊
'qing'sao'qi 清扫器
'rou'xing'huan'chong'chuang 柔性缓冲床
'shang'hai'fu'yun'yun'shu'ji'xie'you'xian'gong'si 上海富运运输机械有限公司
'shang'tiao'xin'tuo'gun 上调心托辊
'xia'tiao'xin'tuo'gun 下调心托辊
'ye'li'ou'he'qi 液力偶合器
'ye'ya'la'jin'zhuang'zhi 液压拉紧装置
'zhi'dong'qi 制动器
