'bi'gua'shi'xiao'bian'qi 壁挂式小便器
'bi'gui 壁柜
'bi'gui'diao'gua'zhuang'zhi 壁柜吊挂装置
'bi'he'dian'qi 闭合电器
'bi'jia'guan'li 闭架管理
'bi'kan 壁龛
'bi'lei 避雷
'bi'lei'dai 避雷带
'bi'lei'qi 避雷器
'bi'lei'she'ji 避雷设计
'bi'lei'xi'tong 避雷系统
'bi'lei'zhen 避雷针
'bi'li'chi 比例尺
'bi'lu 壁炉
'bi'lu'dian'shi'xi'tong 闭路电视系统
'bi'men'qi 闭门器
'bi'qiu'chang 壁球场
'bi'quan 壁泉
'bi're 比热
'bi'shang'gong'lang 壁上拱廊
'bi'shi 比湿
'bi'tan 壁毯
'bi'yao'sheng'huo'kong'jian 必要生活空间
'bi'zhu 壁柱
'bian'biao'gao 变标高
'bian'dian'jian 变电间
'bian'dian'suo 变电所
'bian'feng'liang'xi'tong 变风量系统
'bian'gang 扁钢
'bian'geng'tong'gao'dan 变更通告单
'bian'geng'tong'zhi 变更通知
'bian'jie'mian 变截面
'bian'jie'tiao'jian 边界条件
'bian'jie'zhong'zhi 边界种植
'bian'kuang'liang 边框梁
'bian'kuang'zhu 边框柱
'bian'li 边篱
'bian'liang 边梁
'bian'mu 边幕
'bian'mu'shi 编目室
'bian'pei'dian'shi 变配电室
'bian'pei'dian'zhan 变配电站
'bian'ting 边挺
'bian'ting 边梃
'bian'xing'feng 变形缝
'bian'xing'ji'zhong 变形集中
'bian'ya'qi'rong'liang 变压器容量
'bian'ya'qi'shi 变压器室
'bian'ya'qi'zu 变压器组
'bian'yuan'gou'jian 边缘构件
'bian'yuan'wen'he 边缘吻合
'bian'yuan'xiao'ying 边缘效应
'bian'yuan'zhong'zhi 边缘种植
'bian'zhe 变赭
'bian'zhi'yi'ju 编制依据
'bian'zhi'zuo 边支座
'bian'zhu 边柱
'biao'gao 标高
'biao'hu'yu'ruan'bao 裱糊与软包
'biao'mian'bo'luo 表面剥落
'biao'mian'jie'lu 表面结露
'biao'mian'pian'luo 表面片落
'biao'mian'qi'pao 表面起泡
'biao'mian'wen'du 表面温度
'biao'qiang'tou'zhi'qu 标枪投掷区
'biao'xian'zhu'yi 表现主义
'biao'yan'qu 表演区
'biao'yan'yi'shu'zhong'xin 表演艺术中心
'biao'yu'pai 标语牌
'biao'zhi'zhao'ming'xi'tong 标志照明系统
'biao'zhun'ceng 标准层
'biao'zhun'ceng'ping'mian 标准层平面
'biao'zhun'da'yang 标准大样
'biao'zhun'dong'shen 标准冻深
'biao'zhun'fen'xiang 标准分项
'biao'zhun'gou'jian 标准构件
'biao'zhun'guang'yuan 标准光源
'biao'zhun'jie'mian 标准截面
'biao'zhun'she'ji 标准设计
'biao'zhun'shi 标准时
'biao'zhun'tu 标准图
'biao'zhun'yi'lan'biao 标准一览表
'biao'zhun'you'xiao'wen'du 标准有效温度
'biao'zhun'zao'sheng'yuan 标准噪声源
'biao'zhun'zhi 标准值
'biao'zhun'zhu'zhai 标准住宅
'biao'zhun'zhuang'ji'qi 标准撞击器
'biao'zhun'zu'he 标准组合
'bin'wei'zhi'wu 濒危植物
'bing'chuang'dian'ti 病床电梯
'bing'qiu'chang 冰球场
'bing'shou'ge'li'shi 病兽隔离室
'bo'che'huan'cheng 泊车换乘
'bo'dong'sheng'xue 波动声学
'bo'feng'ban 搏缝板
'bo'feng'ban 搏缝版
'bo'fu'liang 薄腹梁
'bo'gang'ban 薄钢板
'bo'gu'jia 博古架
'bo'ji 博脊
'bo'lang'shi'yu'pen 波浪式浴盆
'bo'li'chuang 玻璃窗
'bo'li'gang 玻璃钢
'bo'li'ma'sai'ke 玻璃马赛克
'bo'li'men 玻璃门
'bo'li'mu 玻璃幕
'bo'li'mu'qiang 玻璃幕墙
'bo'li'si 玻璃丝
'bo'li'si'bu 玻璃丝布
'bo'li'zhi'pin 玻璃制品
'bo'li'zhuan 玻璃砖
'bo'ruo'ceng 薄弱层
'bo'wen'guan 波纹管
'bo'wu'guan 博物馆
'bo'xing'wa 波形瓦
'bo'zhi'tu'liao 薄质涂料
'bo'zhong'cao'ping 播种草坪
'bo'zhong'pan 播种盘
'bo'zhong'qi 播种器
'bu'ceng'jian'liang 布层间梁
'bu'chang'gui 补偿柜
'bu'chang'qi 补偿器
'bu'chang'qi'an'zhuang'ji'lu 补偿器安装记录
'bu'chang'shou'suo'hun'ning'tu 补偿收缩混凝土
'bu'deng'bian'jiao'gang 不等边角钢
'bu'deng'zhi'jiao'gang 不等肢角钢
'bu'dian 布店
'bu'dui'chen'ping'heng 不对称平衡
'bu'fa'huo'di'mian 不发火地面
'bu'feng'bi'lou'ti 不封闭楼梯
'bu'feng'bi'shi'wai'lou'ti 不封闭室外楼梯
'bu'gao'chuang 布告窗
'bu'he'ge'xiang'chu'zhi'ji'lu 不合格项处置记录
'bu'ji'zhou 不击舟
'bu'jia 步架
'bu'jian'pu'zuo 补间铺作
'bu'jian'tu'ku 部件图库
'bu'ke'yu'jian'xiang'mu 不可预见项目
'bu'nai'han'zhi'wu 不耐寒植物
'bu'qiang 补强
'bu'ran'jie'gou 不燃结构
'bu'ru'shi 哺乳室
'bu'shang'ren'wu'mian 不上人屋面
'bu'shi 布饰
'bu'shi 步石
'bu'tong'biao'gao 不同标高
'bu'wen'bo'li 布纹玻璃
'bu'xing'jie 步行街
'bu'xing'shang'lou'shi'gong'yu 步行上楼式公寓
'bu'xiu'gang'ban 不锈钢板
'bu'xiu'gang'fu'shou 不锈钢扶手
'bu'xiu'gang'guan 不锈钢管
'bu'zhi'tu 布置图
'ca'chuang'ji 擦窗机
'cai'bu'jin 踩步金
'cai'du 彩度
'cai'guang 采光
'cai'guang'ban 采光板
'cai'guang'dai 采光带
'cai'guang'jing 采光井
'cai'guang'jun'yun'du 采光均匀度
'cai'guang'kou 采光口
'cai'guang'ta 采光塔
'cai'guang'tian'chuang 采光天窗
'cai'guang'xi'shu 采光系数
'cai'guang'zhao 采光罩
'cai'hua 彩画
'cai'liao'fen'pei'cun'fang 材料分配存放
'cai'liao'ji'suan'xu're'xi'shu 材料计算蓄热系数
'cai'liao'jin'chang'jian'yan'ji'lu 材料进场检验记录
'cai'liao'she'bei'biao 材料设备表
'cai'lv'tui'la'chuang 彩铝推拉窗
'cai'pan'xi 裁判席
'cai'se'tu'liao 彩色涂料
'cai'shi'chang 菜市场
'cai'wu'guan'li 财务管理
'can'jian'xiang'tu 参见详图
'can'ju'gui 餐具柜
'can'ju'shi 餐具室
'can'shi 餐室
'can'zhi 残值
'cang'chu'yong'di 仓储用地
'cang'gu 苍古
'cang'ku'da'jian 仓库搭建
'cang'ku'qu 仓库区
'cao'di'pen'shui'qi 草地喷水器
'cao'fu 草栿
'cao'gang 槽钢
'cao'gou 槽沟
'cao'kou 槽口
'cao'ping'dao 草坪岛
'cao'ping'jia'fei'qi 草坪加肥器
'cao'ping'qu 草坪区
'cao'ping'zhi'wu 草坪植物
'cao'sheng'zi 槽升子
'cao'tie 槽铁
'cao'tu'jie'duan 草图阶段
'cao'xing'ban 槽形板
'cao'yao'hua'tan 草药花坛
'cao'yuan'jing'guan 草原景观
'cao'yuan'sheng'tai'xi'tong 草原生态系统
'cao'zuo'dian'yuan 操作电源
'cao'zuo'zou'lang 操作走廊
'ce'gua'zhe'die'men 侧挂折叠门
'ce'guang 侧光
'ce'hui 测绘
'ce'ji'lei 侧击雷
'ce'jiao 侧脚
'ce'lang 侧廊
'ce'li 侧力
'ce'li'mian 侧立面
'ce'liang'diao'gan 测量吊杆
'ce'liang'fang'xian 测量放线
'ce'mian'cai'guang 侧面采光
'ce'mian'chui'zhi'du 侧面垂直度
'ce'pen'shi'pen'sa'tou 侧喷式喷洒头
'ce'qiang'shi'zi'dong'pen'sa'tou 侧墙式自动喷洒头
'ce'shi'qia'zi 测试卡子
'ce'shi'tu 侧视图
'ce'tai 侧台
'ce'tian'chuang 侧天窗
'ce'xiang'chuan'sheng 侧向传声
'ce'xiang'fan'she'sheng 侧向反射声
'ce'xiang'gang'du 侧向刚度
'ce'xiang'gang'du'bi 侧向刚度比
'ce'xiang'song'feng 侧向送风
'ce'xiang'wei'yi 侧向位移
