'an'gui 安规
'an'niu 按钮
'ban'shi'lv'you'ji 板式滤油机
'bao'gu 抱箍
'bao'hu'duan'lu'qi 保护断路器
'bao'hu'te'xing 保护特性
'bi'lei'qi 避雷器
'bian'bi 变比
'bian'dian'zhan 变电站
'bian'ya'qi 变压器
'biao'zhun'de'ji'zu'shu'ju'xian'shi 标准的机组数据显示
'bing'lian'dian'rong'qi 并联电容器
'bing'lie'de 并列的
'bo'wen'ban 波纹板
'bo'xing 波形
'bu'chang'du 补偿度
'bu'xiu'gang 不锈钢
'cai'yang'pin'lv 采样频率
'cai'yang'zhou'qi 采样周期
'can'kao'zhi 参考值
'can'shu'zhi 参数值
'ce'liang'xin'hao 测量信号
'cha'zuo 插座
'chang'ji'shi'shi'jian'kong'xi'tong 厂级实时监控系统
'chang'sha'xian 厂沙线
'chao'gao'ya'shu'dian'xian 超高压输电线
'chao'su'gu'zhang'ting'ji 超速故障停机
'chen'jiang 沉降
'cheng'kan'yuan 成勘院
'chong'sha'kong 冲沙孔
'chong'sha'zha 冲沙闸
'chu'tan 初探
'chuan'di'han'shu 传递函数
'chui'zhi'ju'li 垂直距离
'da'rong'liang'fa'dian'ji'zu 大容量发电机组
'dan'ji'wu'qiong'da'xi'tong 单机无穷大系统
'dan'xiang'dian'du'biao 单相电度表
'dan'xiang'dian'ya 单相电压
'dang'wei 档位
'dao'kai'guan 刀开关
'dao'na 导纳
'dao'zha'ge'li'kai'guan 刀闸隔离开关
'deng'xiao'yu 等效于
'deng'zhi'bo'zu'kang 等值波阻抗
'di'ya 低压
'di'ya'qi'xi'tong 低压器系统
'di'you'ya'gu'zhang'ting'ji 低油压故障停机
'dian'chang 电厂
'dian'dao 电导
'dian'dong'ji 电动机
'dian'dong'ji'bao'hu'qi 电动机保护器
'dian'du'biao 电度表
'dian'gan 电感
'dian'gan 电杆
'dian'kang 电抗
'dian'kang'qi 电抗器
'dian'lao'hu 电老虎
'dian'li'an'quan'gui'cheng 电力安全规程
'dian'li'xi'tong 电力系统
'dian'li'xi'tong'zi'dong'hua 电力系统自动化
'dian'liang'bao'song 电量报送
'dian'ling 电铃
'dian'liu 电流
'dian'liu'biao 电流表
'dian'na 电纳
'dian'neng'liang 电能量
'dian'neng'zhi'liang 电能质量
'dian'ping'dian'ya'biao 电瓶电压表
'dian'rong 电容
'dian'rong'qi 电容器
'dian'shua 电刷
'dian'wang 电网
'dian'wei 电位
'dian'ya 电压
'dian'ya'biao 电压表
'dian'ya'deng'ji 电压等级
'dian'ya'hu'gan'qi 电压互感器
'dian'ya'wen'ding 电压稳定
'dian'ya'yuan 电压源
'dian'zu 电阻
'dian'zu'qi 电阻器
'die'fa'ye'ya'zhan 蝶阀液压站
'die'luo'shi'rong'duan'qi 跌落式熔断器
'ding'zi 定子
'dong'bei'dian'li'she'ji'yuan 东北电力设计院
'dong'li'gong'cheng'xi 动力工程系
'dong'tai 动态
'dong'zuo'su'du 动作速度
'duan'gai 端盖
'duan'gai'shi'zhou'cheng 端盖式轴承
'duan'lu'gu'zhang 短路故障
'duan'lu'qi 断路器
'dui'jiang'ji 对讲机
'dui'jiang'men'ling 对讲门铃
'e'ding 额定
'fa'dian'chang 发电厂
'fa'dian'ji 发电机
'fa'dian'ji'duan 发电机端
'fan'chuan'suan'fa 反传算法
'fang'zhen 仿真
'fang'zhen'fen'xi 仿真分析
'fang'zhen'shu'ju 仿真数据
'fei'xian'xing'xi'tong 非线性系统
'fen'jie'tou 分接头
'fen'xiang'cao'zuo'xiang 分相操作箱
'fu'he'zhuang'tai 负荷状态
'fu'jia'wang'luo 附加网络
'fu'jia'xi'tong 附加系统
'fu'jiao'shou 副教授
'fu'xu'zu'kang 负序阻抗
'fu'zai'dian'liu'bai'fen'bi'xian'shi 负载电流百分比显示
'fu'zhu'chu'dian 辅助触点
'gao'ding'zhi 高顶值
'gao'jing'du 高精度
'gao'kang 高抗
'gao'shui'wen'gu'zhang'ting'ji 高水温故障停机
'gao'ya 高压
'gao'ya'ce 高压侧
'ge'li'kai'guan 隔离开关
'ge'li'qi 隔离器
'gei'ding'de 给定的
'gong'jiao 功角
'gong'jiao'wen'ding 功角稳定
'gong'lv 功率
'gong'lv'yin'shu 功率因数
'gong'pin 工频
'gong'zuo'men 工作门
'gu'ding'chuan'lian'dian'rong'bu'chang 固定串联电容补偿
'gu'zhang 故障
'gu'zhang'dian 故障点
'gu'zhang'qie'chu'shi'jian 故障切除时间
'guang'duan'ji 光端机
'guang'xian'cha'dong'bao'hu 光纤差动保护
'guo'du'jia 过渡夹
'guo'jia'dian'wang'gong'si 国家电网公司
'ha'fu'bao'gu 哈夫抱箍
'hang'bo 行波
'hang'bo'bao'hu 行波保护
'hang'bo'ji'dian'qi 行波继电器
'hang'bo'xin'hao 行波信号
'hu'gan'qi 互感器
'hu'han'ji 弧焊机
'hu'huan 护环
'hu'men 弧门
'ji'dian'bao'hu 继电保护
'ji'dian'qi 继电器
'ji'duan 机端
'ji'duan'dian'ya'kong'zhi 机端电压控制
'ji'suan'ji'guan'li'xin'xi'xi'tong 计算机管理信息系统
'ji'xian'qie'chu'shi'jian 极限切除时间
'ji'xie'guo'su 机械过速
'ji'you'you'ya'biao 机油油压表
'ji'zu 机组
'ji'zu'yun'xing'xiao'shi'biao 机组运行小时表
'ji'zu'yun'xing'zheng'chang 机组运行正常
'jian'fa'yun'suan 减法运算
'jian'kong'xi'tong 监控系统
'jian'xiu 检修
'jiao'huan'ji 交换机
'jiao'liu 交流
'jiao'liu'li'ci'ji 交流励磁机
'jie'chu'qi 接触器
'jie'di'dao'zha 接地刀闸
'jie'li'qi 接力器
'jie'sha'cao 截砂槽
'jie'xian'duan'zi 接线端子
'jie'xian'duan'zi'ban 接线端子板
'jin'ji'shi'gu'ting'ji 紧急事故停机
'jin'shui'kou'die'fa 进水口蝶阀
'jin'shui'kou'qiu'fa 进水口球阀
'jing'tai 静态
'jiu'long'di'fang'dian'wang 九龙地方电网
'jiu'long'shui'dian'kai'fa'you'xian'gong'si 久隆水电开发有限公司
'ju'li'bao'hu 距离保护
'jue'yuan'you 绝缘油
'kai'guan'zhan 开关站
'kan'qu'tie'zhi'xian 坎渠铁支线
'kang'gan'rao'neng'li 抗干扰能力
'ke'kao'dong'zuo 可靠动作
'ke'qing'wa 可倾瓦
'kong'ce 空侧
'kong'dao 空导
'kong'leng 空冷
'kong'xin'dao'xian 空心导线
'kong'ya'ji 空压机
'kong'zai'dian'liu 空载电流
'kong'zai'sun'hao 空载损耗
'kong'zhi'an'niu 控制按钮
'ku'rong'liang 库容量
'kuai'su'de'dao 快速地刀
'kuai'su'zha'men 快速闸门
'kuang'tu 框图
'la'xian 拉线
'lan'wu'shan 拦污栅
'lang'yong'bao'hu'qi 浪涌保护器
'lao'zha'ji 捞渣机
'leng'bei'yong 冷备用
'leng'que'shui'wen'du'biao 冷却水温度表
'leng'que'shui'zhong'duan 冷却水中断
'li'ci 励磁
'li'ci'dian'liu'zhuan'zi'dian'liu 励磁电流转子电流
'li'ci'ji 励磁机
'li'ci'ji'duan 励磁机端
'li'ci'qi 励磁器
'li'duan 励端
'li'shu'han'shu 隶属函数
'ling'min'xing 灵敏性
'ling'xu'bao'hu 零序保护
'ling'xu'dian'liu'bao'hu 零序电流保护
'ling'xu'zu'kang 零序阻抗
'lou'dian'duan'lu'qi 漏电断路器
'luo'dian 落点
'lv'pai 铝排
'lv'you'ji 滤油机
'mei'xiang'dian'liu 每相电流
'men'kan'zhi 门槛值
'mo'hu'gui'ze 模糊规则
'mo'hu'kong'zhi 模糊控制
'mo'hu'shen'jing'wang'luo 模糊神经网络
'mo'hu'tui'li 模糊推理
'mo'hu'tui'li'ju'zhen 模糊推理矩阵
'mu'xian 母线
'mu'xian'bao'hu 母线保护
'nai'zhang 耐张
'nai'zhang'duan 耐张段
'nan'rui 南瑞
'nan'zi 南自
'neng'liang'shu'song 能量输送
'pei'dian'xi'tong 配电系统
'pei'dian'xiang 配电箱
'pian'qiao 偏桥
'pian'qiao'dian'zhan 偏桥电站
'pian'qiao'shui'dian'zhan 偏桥水电站
'pian'yi'liang 偏移量
'pin'lv 频率
'pin'lv'bian'zu'qi 频率变阻器
'pin'lv'biao 频率表
'qi'dong'qi 启动器
'qi'dong'shi'bai'ting'ji 起动失败停机
'qi'duan 汽端
'qi'ta'gu'zhang'xian'shi'ji'shu'ru 其它故障显示及输入
'qian'fa 千阀
'qian'fu'an 千伏安
'qian'wa 千瓦
'qiang'xing'li'ci 强行励磁
'qie'ji 切机
'qing'ce 氢侧
'qiu'he'qi 求和器
'qu'nei'gu'zhang 区内故障
'quan'mian'di 全面地
're'bei'yong 热备用
're'dian'ou 热电偶
're'ji'dian'qi 热继电器
're'kong 热控
'rong'duan'qi 熔断器
'rong'liang 容量
'san'jiao'xing'li'shu'du'han'shu 三角形隶属度函数
'san'ling 三菱
'san'rao'zu'bian'ya'qi 三绕组变压器
'san'xiang'dian'du'biao 三相电度表
'san'xiang'dian'ya 三相电压
'san'xiang'gu'zhang 三相故障
'sha'ping 沙坪
'sha'ping'dian'zhan 沙坪电站
'sha'ping'shui'dian'zhan 沙坪水电站
'shan'cha 栅差
'shan'tie'er'xian 杉铁二线
'shan'tie'san'xian 杉铁三线
'shan'tie'yi'xian 杉铁一线
'shang'xian 上限
'shen'jing'wang'luo 神经网络
'shen'jing'yuan 神经元
'sheng'kong'kai'guan 声控开关
'sheng'ya'bian'ya'qi 升压变压器
'shi'gu'di'you'ya 事故底油压
'shi'gu'ting'ji 事故停机
'shi'jian'ji'dian'qi 时间继电器
'shi'kong'kai'guan 时控开关
'shi'ling'bao'hu 失灵保护
'shi'qu'tong'bu 失去同步
'shi'zhen 失真
'shou'duan 受端
'shu'dian'ju'li 输电距离
'shu'dian'xi'tong 输电系统
'shu'dian'xian 输电线
'shu'dian'xian'lu'gu'zhang 输电线路故障
'shuang'dian'yuan 双电源
'shuang'hui'tong'gan'bing'jia 双回同杆并架
'shuang'rao'zu'bian'ya'qi 双绕组变压器
'shuang'shui'nei'leng 双水内冷
'shui'leng 水冷
'shui'qing'qing 水氢氢
'shui'wei'cha 水位差
'si'fen'xian'sun 四分线损
'suan'fa 算法
'sui'dong'jin'kou 隧洞进口
'tiao'jie 调节
'tiao'jie'yi 调节仪
'tiao'su'qi 调速器
'tiao'ya'jing 调压井
'tie'chang'he 铁厂河
'tie'chang'he'dian'zhan 铁厂河电站
'tie'chang'he'shui'dian'zhan 铁厂河水电站
'tie'sun 铁损
'tie'xin 铁芯
'tie'xin 铁心
'ting'ji'bei'yong 停机备用
'tong'bu 同步
'tong'dian'ou 铜电偶
'tong'pai 铜排
'tong'sun 铜损
'tou'ping'you 透平油
'tou'yun 投运
'wei'dong'kai'guan 微动开关
'wen'ding 稳定
'wen'kong'yi 温控仪
'wu'dong'zuo 误动作
'wu'gong 无功
'wu'gong'bu'chang 无功补偿
'wu'gong'dian'liu 无功电流
'wu'gong'fu'zai 无功负载
'wu'gong'gong'lv 无功功率
'wu'gong'sun'hao 无功损耗
'wu'shua'li'ci'ji 无刷励磁机
'xi'bei'dian'li'she'ji'yuan 西北电力设计院
'xi'men'zi 西门子
'xi'wu 西屋
'xia'jiang'lv 下降率
'xia'jiang'te'xing 下降特性
'xia'xian 下限
'xian'jia 线夹
'xian'lu'bu'chang'qi 线路补偿器
'xian'lu'kuai'su'jie'di'dao'zha 线路快速接地刀闸
'xiang'jian'yun'suan 相减运算
'xiang'shi'bian'ya'qi 箱式变压器
'xiao'bo'bian'huan 小波变换
'xiao'shui'dian 小水电
'xiao'xing'duan'lu'qi 小型断路器
'xie'bo'dian'liu 谐波电流
'xie'hong 泄洪
'xie'hong'zha 泄洪闸
'xie'jing 斜井
'xie'lv 斜率
'xin'hao'deng 信号灯
'xing'cheng'kai'guan 行程开关
'xiu'gai'de 修改的
'xu'ji 许继
'xue'bao 学报
'ya'li'biao 压力表
'ya'li'chuan'gan'qi 压力传感器
'ya'li'you 压力油
'yan'chi'bian'huan 延迟变换
'yan'chi'shi'jian 延迟时间
'yan'jiu'fang'xiang 研究方向
'yang'ben'ji'he 样本集合
'yang'ben'kong'jian 样本空间
'yao'bai 摇摆
'yao'ce 遥测
'yao'xin 遥信
'ying'guang'deng 荧光灯
'ying'ji'deng 应急灯
'yong'dian'xu'qiu'guan'li 用电需求管理
'you'gong 有功
'you'gong'fu'zai 有功负载
'you'gong'gong'lv 有功功率
'you'gong'sun'hao 有功损耗
'you'ya'zhuang'zhi 油压装置
'yu'du 裕度
'yu'fu'fei'dian'du'biao 预付费电度表
'yun'xing 运行
'yun'xing'zhuan'su 运行转速
'zan'tai'fen'liang 暂态分量
'zan'tai'hang'bo 暂态行波
'zan'tai'wen'ding 暂态稳定
'zhao'wa 兆瓦
'zheng'xu'zu'kang 正序阻抗
'zhi'ban'fang 值班房
'zhi'ban'shi 值班室
'zhi'dong 支洞
'zhi'liu'dian'kang'qi 直流电抗器
'zhong'dian'tou'ji'tuan'gong'si 中电投集团公司
'zhong'guo'da'tang'ji'tuan'gong'si 中国大唐集团公司
'zhong'guo'dian'li 中国电力
'zhong'jian'ji'dian'qi 中间继电器
'zhong'xian'dian'liu 中线电流
'zhong'xin'huan 中心环
'zhong'ya 中压
'zhou'cheng 轴承
'zhou'wa 轴瓦
'zhu'bian'zhong'xing'dian'dao'zha 主变中性点刀闸
'zhu'ling'kai'guan 主令开关
'zhu'pei'ju'dong 主配拒动
'zhu'shang'bian'ya'qi 柱上变压器
'zhu'shang'kai'guan 柱上开关
'zhuan'huan'kai'guan 转换开关
'zhuan'zi 转子
'zhuan'zi'dian'shu 转子电枢
'zhuang'ji'rong'liang 装机容量
'zi'dong'kai'guan 自动开关
'zi'shi'ying'kong'zhi'fang'fa 自适应控制方法
'zi'shi'ying'xi'tong 自适应系统
'zi'xi'tong 子系统
'zi'xue'xi'gong'neng 自学习功能
'zu'he'kai'guan 组合开关
'zu'kang 阻抗
'zu'ni 阻尼
'zui'di'dian'liu 最低电流
'zui'di'dian'ya 最低电压
'zui'gao'dian'liu 最高电流
'zui'gao'dian'ya 最高电压
