'chu'bu'he'shi 初步核实
'fan'ying'ren 反映人
'ji'jian'jian'cha'ji'guan 纪检监察机关
'ji'jian'jian'cha'shi 纪检监察室
'ji'jian'jian'cha'zu 纪检监察组
'liu'zhi 留置
'ni'li'an 拟立案
'ni'ming'ju'bao 匿名举报
'pai'zhu 派驻
'tan'hua'bi'lu 谈话笔录
'tan'hua'han'xun 谈话函询
'wen'ti'xian'suo 问题线索
'xun'wen'bi'lu 讯问笔录
'xun'wen'bi'lu 询问笔录
'yu'yi'liao'jie 予以了结
'zan'cun 暂存
