'bei'jing'guo'an 北京国安
'cang'zhou'xiong'shi 沧州雄狮
'chang'chun'ya'tai 长春亚泰
'cheng'du'rong'cheng 成都蓉城
'da'lian'ren'dui 大连人队
'he'nan'song'shan'long'men 河南嵩山龙门
'mei'zhou'ke'jia 梅州客家
'nan'tong'zhi'yun 南通支云
'qing'dao'hai'niu 青岛海牛
'shan'dong'tai'shan 山东泰山
'shang'hai'hai'gang 上海海港
'shang'hai'shen'hua 上海申花
'shen'zhen'dui 深圳队
'tian'jin'jin'men'hu 天津津门虎
'wu'han'chang'jiang 武汉长江
'wu'han'san'zhen 武汉三镇
'zhe'jiang'dui 浙江队
