'an'wa'fa 暗挖法
'ba'ke 坝壳
'ban'shen'hai'qu 半深海区
'ban'wu'xian'tan'xing'ti 半无限弹性体
'ban'zhuang'qiang 板桩墙
'ban'zhuang'tu'hu'qiang 板桩图护墙
'bao'bi'qu'tu'qi 薄壁取土器
'bao'hang 爆夯
'bao'he'du 饱和度
'bao'he'tu 饱和土
'bao'po 爆破
'bao'po'ji'yu 爆破挤淤
'bei'dong'tu'ya'li 被动土压力
'bei'dong'zhuang 被动桩
'bei'xie 背斜
'beng'luo'po'huai 崩落破坏
'bi'ao'gu'jie'li'lun 比奧固结理论
'bi'biao'mian'ji 比表面积
'bi'keng 闭坑
'bian'chan'ce'zhang'shi'yan 扁铲侧胀试验
'bian'po 边坡
'bian'po'di'zhi'mo'xing 边坡地质模型
'bian'po'ta'hua'qu 边坡塌滑区
'bian'po'wen'ding'xing'guan'ce 边坡稳定性观测
'bian'po'yu'bao 边坡预报
'bian'po'yu'ce 边坡预测
'bian'po'zhi'hu 边坡支护
'bian'xing'mo'liang 变形模量
'bian'zhi'yan 变质岩
'biao'mian'li 表面力
'biao'zhun'guan'ru'shi'yan 标准贯入试验
'bing'qi'tu 冰碛土
'bo'su'ce'shi 波速测试
'bu'fen'ji'tu'zhuang 部分挤土桩
'bu'gei'qu 补给区
'bu'jun'yun'chen'jiang 不均匀沉降
'bu'jun'yun'xi'shu 不均匀系数
'bu'lian'xu'ji'pei'tu 不连续级配土
'bu'liang'di'zhi'zuo'yong 不良地质作用
'bu'liang'ji'pei'tu 不良级配土
'bu'rao'dong'tu'yang 不扰动土样
'bu'tou'shui'ceng 不透水层
'cai'kong'qu 采空区
'can'ji'tu 残积土
'can'yu'qiang'du 残余强度
'ce'gou 侧沟
'ce'xiang'kuo'zhang 侧向扩张
'ceng'jian'shui 层间水
'chan'zhuang 产状
'chang'duan'zhuang'fu'he'di'ji 长短桩复合地基
'chao'dao 潮道
'chao'gu'jie'bi 超固结比
'chao'gu'jie'tu 超固结土
'chao'jing'shui'ya'li 超静水压力
'chao'ping 潮坪
'chao'qian'dao'keng 超前导坑
'chao'shang'dai 潮上带
'chao'xia'dai 潮下带
'chao'zai 超载
'chen'guan'fa 沉管法
'chen'ji'yan 沉积岩
'chen'jiang'qu'xian 沉降曲线
'chen'jiang'su'lv 沉降速率
'chen'li'xi'tong 衬里系统
'chen'qi 衬砌
'cheng'shi'di'xia'kong'jian 城市地下空间
'cheng'ya'shui 承压水
'cheng'zai'li'yin'shu 承载力因数
'chi'li'ceng 持力层
'chi'shui'du 持水度
'chong'ji'shan 冲积扇
'chong'ji'tu 冲积土
'chong'jian'po'huai 冲剪破坏
'chong'tian'tu 冲填土
'chong'tian'wu 充填物
'chou'du'jie'xian 稠度界限
'chou'shui'shi'yan 抽水试验
'chu'bian'xing 触变性
'chu'shi'chen'jiang 初始沉降
'chui'tian 吹填
'chui'tian'gong'cheng 吹填工程
'chui'tian'gu'di 吹填固堤
'chui'tian'zhu'di 吹填筑堤
'chui'zhi'shen'tou'xi'shu 垂直渗透系数
'ci'dui'shi'qu 次堆石区
'ci'gu'jie 次固结
'ci'gu'jie'chen'jiang 次固结沉降
'ci'sheng'jie'gou'mian 次生结构面
'cu'cao'du 粗糙度
'cu'li'lei'tu 粗粒类土
'da'lu'jia 大陆架
'da'lu'po 大陆坡
'da'xi'ding'lv 达西定律
'dai'zhuang'sha'jing 袋装砂井
'dan'jian'shi'yan 单剪试验
'dan'xiang'gu'jie 单向固结
'dan'zhou'kang'ya'qiang'du 单轴抗压强度
'dan'zhou'ya'suo'bian'xing'shi'yan 单轴压缩变形试验
'dan'zhuang'cheng'zai'li 单桩承载力
'dan'zhuang'ji'chu 单桩基础
'dan'zhuang'shu'xiang'ji'xian'cheng'zai'li 单桩竖向极限承载力
'dan'zhuang'shui'ping'ji'xian'cheng'zai'li 单桩水平极限承载力
'dang'tu'qiang 挡土墙
'dao'di 导堤
'dao'dong 导洞
'dao'liu'dong 导流洞
'dao'lu'ji'ceng 道路基层
'dao'lu'lu'mian 道路路面
'dao'shi'kai'wa 岛式开挖
'dao'shui'lv 导水率
'dao'shui'xi'shu 导水系数
'deng'shi'xian 等势线
'deng'xiao'kong'jing 等效孔径
'deng'xiao'nei'mo'ca'jiao 等效内摩擦角
'di'biao'shui 地表水
'di'ji'cheng'zai'li'te'zheng'zhi 地基承载力特征值
'di'ji'chu'li 地基处理
'di'ji'fan'li 地基反力
'di'ji'hui'tan 地基回弹
'di'lie'feng 地裂缝
'di'mao 地貌
'di'mao'dan'yuan 地貌单元
'di'mian'chen'jiang 地面沉降
'di'qiu'wu'li'kan'tan 地球物理勘探
'di'xia'dong'shi 地下洞室
'di'xia'gong'cheng 地下工程
'di'xia'jing'liu 地下径流
'di'xia'kong'jian 地下空间
'di'xia'lian'xu'qiang'zhi'liang'jian'ce 地下连续墙质量检测
'di'xia'shi 地下室
'di'xia'shui 地下水
'di'xia'shui'deng'shui'wei'xian'tu 地下水等水位线图
'di'xia'shui'dong'li'xue 地下水动力学
'di'xia'shui'fu'shi'xing 地下水腐蚀性
'di'xia'shui'jian'ce 地下水监测
'di'xia'shui'kong'zhi 地下水控制
'di'xia'shui'ying'du 地下水硬度
'di'xia'shui'zong'kuang'hua'du 地下水总矿化度
'di'xia'tong'dao 地下通道
'di'xia'zong'he'ti 地下综合体
'di'zhen'kan'tan 地震勘探
'di'zhi'gou'zao 地质构造
'di'zhi'huan'jing 地质环境
'di'zhi'huan'jing'yao'su 地质环境要素
'di'zhi'zai'hai 地质灾害
'dian'ceng 垫层
'dian'ceng'qu 垫层区
'dian'ci'fa 电磁法
'dian'fa'kan'tan 电法勘探
