'ai'ku'si 艾库斯
'chai'lai'ren 柴来人
'chao'guo'ren'kou'shen'yi'yan'jiu'suo 超过人口审议研究所
'chao'ren 超人
'chao'ren'ke 超人课
'chuan'dao'de'ai 川岛得爱
'da'chuan'tou 大川透
'er'lang 尔朗
'fang'cun'bing'ma 芳村兵马
'feng'lang'tai 风郎太
'feng'qi'ai'sheng 丰崎爱生
'ge'luo'si'ou'gen 格罗斯欧根
'gui'ye'xiao'mei 鬼野笑美
'hui'chuan'sheng 会川升
'hui'zi 辉子
'hun'ning'tu'ge'ming'chao'ren'huan'xiang 混凝土革命超人幻想
'ji'er'lang 吉尔朗
'jin'wei'zhe'fu 金尾哲夫
'ling'cun'jian'yi 铃村健一
'qing'nian'er'lang 青年尔朗
'qiu'tian'da'si 秋田大司
'ren'ji'er'lang 人吉尔朗
'ren'ji'sun'zhu 人吉孙竹
'ren'ji'sun'zhu'bo'shi 人吉孙竹博士
'san'mu'zhen'yi'lang 三木真一郎
'shang'ban'jin 上坂堇
'shen'hua 神化
'shen'hua'shi'dai 神话时代
'shi'chuan'jie'ren 石川界人
'shui'dao'jing'er 水岛精二
'wu'lu 乌鲁
'xing'ye'hui'zi 星野辉子
'you'xing'ren 游星人
'zhi'yuan'zhe 支援者
'zhong'cun'hui'li'zi 中村绘里子
