'ai'ni'wen 哀溺文
'ai'zuo'tou 矮坐头
'an'qi'sheng'yu'dong'hai'huang'gong 安期生与东海黄公
'ao'yu'ma'yi 鳌与蚂蚁
'bai'long'shang'su 白龙上诉
'bai'ma'guo'guan 白马过关
'bai'yan 白雁
'bao'shi'zhi'zi 鲍氏之子
'bei'chu'ren'xia'zhe 北楚任侠者
'bei'gong'she'ying 杯弓蛇影
'bei'gong'zhi'sui'zhu 北宫殖碎珠
'bei'ren'shi'ling 北人食菱
'bi'hu'yu'xie 壁虎与蝎
'bian'fu 蝙蝠
'bian'fu'shen'wen 辨伏神文
'bian'jia 鞭贾
'bian'que'jian'cai'huan'gong 扁鹊见蔡桓公
'bian'que'jian'qin'wu'wang 扁鹊见秦武王
'bie'du'qiao 鳖渡桥
'bie'si'ti 鳖厮踢
'bin'bei'ju'zi'sha 宾卑聚自杀
'bing'nv'fu'yao 病女覆药
'bing'qian 饼钱
'bing'wo'wu'ye 并我五也
'bing'ying 病瘿
'bo'le'yu'ji 伯乐遇骥
'bo'ma 駮马
'bo'qi'wei'ku 卜妻为袴
'bo'qi'yin'bie 卜妻饮鳖
'bo'ren'yang'hou 僰人养猴
'bo'shi 卜食
'bo'ya'po'qin 伯牙破琴
'bo'yue'jiao'xiang'chi'ma 伯乐教相踶马
'bo'zhen'wang'mou 泊镇王某
'bu'bo'ze'sheng 不卜则生
'bu'cai'zhi'mu 不材之木
'bu'gou'ying'ma'yi'zao'fei'wen'meng'di'san 捕狗蝇蚂蚁蚤蜰蚊虻第三
'bu'gui'shou'zhi'yao 不龟手之药
'bu'jia'yu'bu'huan 不嫁与不宦
'bu'man'chi'du'lou 不满叱髑髅
'bu'mo'mo 不磨墨
'bu'she'zhe'shuo 捕蛇者说
'bu'si'zhi'dao 不死之道
'bu'si'zhi'yao 不死之药
'bu'xiong'pi'chi'xiao'chai'lang'di'er 捕熊罴鸱鸮豺狼第二
'bu'yu'di'yi 捕蜮第一
'cai'yao 采药
'cang'qi'zhe 藏契者
'cang'shi 藏虱
'cao'shang'shi'qin 曹商使秦
'cao'zhou'ruo'shen 操舟若神
'cha'ka'yu 槎喀喻
'chai'zhu 虿祝
'chan'chu'yu'ke'bo 蟾蜍与蚵蚾
'chang'ren'he'duan'ren 长人和短人
'chang'shan'ruo'chu'yi'kou 唱善若出一口
'chang'wu'feng'ren 长梧封人
'chang'yang'xue'she 常羊学射
'che'fan'dou'fu 车翻豆复
'che'zhou 掣肘
'cheng'zi'wang'zi'yi 澄子亡缁衣
'chi'gou 瘈狗
'chi'ren'bu'tu'gu'tou 吃人不吐骨头
'chi'shui'yuan'zhu 赤水元珠
'chi'xie'jiang'yu'yue'gong 齿鞋匠与乐工
'chi'zhu'zuan'huo 持烛钻火
'chu'chai 畜豺
'chu'fu'zhe 楚富者
'chu'mang'jie'qi 刍甿戒骑
'chu'ning'gui 楚佞鬼
'chu'qiu'xian'sheng 楚丘先生
'chu'ren'huan'hu 楚人患狐
'chu'ren'huan'sheng 楚人患眚
'chu'ren'you'liang'qi 楚人有两妻
'chu'wang'ji'gu 楚王击鼓
'chu'wang'suo'zhu 楚王索珠
'chui'gou'zhe 捶钩者
'ci'fei'ci'jiao 次非刺蛟
'cu'yue 粗月
'cui'niao'yi'chao 翠鸟移巢
'cuo'si'le'ren 错死了人
'da'shi'bu'da 打是不打
'da'shu 大鼠
'da'yan 大言
'da'zang'li'shi 大驵郦氏
'dai'dong'yuan'yan 戴东原言
'dai'wei 呆尉
'dao'dao 翢翢
'dao'ren'shi'she 岛人食蛇
'dao'shi'jiu'hu 道士救虎
'dao'shui'zhi'dao 蹈水之道
'dao'zhi'suo'zai 道之所在
'de'che'e'zhe 得车轭者
'di'niu'ming'ma 觝牛鸣马
'diao'chuan 雕传
'diao'guan'yu 钓鳏鱼
'diao'niao'yu'mao 雕鸟与猫
'diao'yu'ji 钓鱼记
'ding'jiao'wei'ye'zhe 钉铰为业者
'ding'shi'chuan'jing 丁氏穿井
'dong'fang'zhi'shi'shuo 东方智士说
'dong'hai'ruo 东海若
'dong'hai'zhi'niao 东海之鸟
'dong'men'wu 东门吴
'dong'shi'xi'su 东食西宿
'dong'ye'ji'jia'che 东野稷驾车
'dong'ye'zhang'ren 东野丈人
'dou'zi'ban 斗子般
'du'hua 蠹化
'du'lou 髑髅
'du'yu 蠹鱼
'dui'niu'tan'qin 对牛弹琴
'e'zhi'hu'ji 鹗执狐记
'fa'ren'zhu'rou 罚人猪肉
'fan'che 饭车
'fan'jian'qi'shi 墦间乞食
'fan'qiu'fu'xin 反裘负薪
'fang'she 方蛇
'fang'sheng 放生
'fang'zhou'ji'he 方舟济河
'fen'shu'hui'lu 焚鼠毁庐
'feng'hu'wen'bao 丰狐文豹
'fu'ban'chuan 媍蝂传
'fu'huo'chong 赴火虫
'fu'ma'zhan'zui'nan 傅马栈最难
'fu'xian 傅显
'fu'xuan'xian'pu 负暄献曝
'gai'zhe'jian'ru 匄者贱儒
'gan'jing'dao 干净刀
'gan'yu'zhi'que 绀羽之鹊
'gao'huang 告荒
'gao'ting 高听
'ge'gu 割股
'ge'rou'xiang'dan 割肉相啖
'ge'wu 格物
'gong'shi'xiang'ji 弓矢相济
'gong'shu'ke'feng 公输刻凤
'gong'sun'long'jian'zhao'wen'wang 公孙龙见赵文王
'gong'yi'xiu'shi'yu 公仪休嗜鱼
