'ai'ou 艾欧
'ai'ren'zhi'sheng'ji 矮人直升机
'ai'zi 矮子
'an'ye'mo'wang 暗夜魔王
'an'ying'e'mo 暗影恶魔
'an'ying'sa'man 暗影萨满
'bai'hu 白虎
'bai'niu 白牛
'ban'ren'ma'zhan'xing'zhe 半人马战行者
'bian'fu 蝙蝠
'bian'fu'qi'shi 蝙蝠骑士
'bian'ti 变体
'bian'ti'jing'ling 变体精灵
'bian'zhi'zhe 编织者
'bing'hun 冰魂
'bing'long 冰龙
'bing'nv 冰女
'bu'xiu'shi'wang 不朽尸王
'chang'mao'shou 长矛手
'chao'xi 潮汐
'chao'xi'lie'ren 潮汐猎人
'chen'mo 沉默
'chen'mo'shu'shi 沉默术士
'chuan'zhang 船长
'da'di'zhi'ling 大地之灵
'da'na'jia 大娜迦
'da'niu 大牛
'da'pi'gu 大屁股
'da'sheng 大圣
'da'shu 大树
'da'yu 大鱼
'dai'ze 戴泽
'de'lu'yi 德鲁伊
'di'bu 地卜
'di'bu'shi 地卜师
'di'fa 敌法
'di'fa'shi 敌法师
'dian'gou 电狗
'dian'gun 电棍
'du'gou 毒狗
'du'long 毒龙
'fa'mu'ji 伐木机
'fa'tiao 发条
'fa'tiao'ji'shi 发条技师
'fei'ji 飞机
'feng'bao'zhi'ling 风暴之灵
'feng'huang 凤凰
'feng'xing 风行
'feng'xing'zhe 风行者
'fu'chou'zhi'hun 复仇之魂
'fu'wang 斧王
'gan'rao'zhe 干扰者
'gang'bei 钢背
'gang'bei'shou 钢背兽
'gang'bei'zhu 钢背猪
'gong'cheng'shi 工程师
'gu'fa 骨法
'gu'gong 骨弓
'guang'fa 光法
'guang'zhi'shou'wei 光之守卫
'ha'si'ka 哈斯卡
'hai'min 海民
'han'di'zhe 撼地者
'han'dong'fei'long 寒冬飞龙
'hei'an'xian'zhe 黑暗贤者
'hei'niao 黑鸟
'hei'xian 黑贤
'hou'zi 猴子
'huan'ci 幻刺
'huan'ying'chang'mao'shou 幻影长矛手
'huan'ying'ci'ke 幻影刺客
'hui'jin'zhi'ling 灰烬之灵
'hun'dun 混沌
'hun'dun'qi'shi 混沌骑士
'huo'luan'zhi'yuan 祸乱之源
'huo'mao 火猫
'huo'nv 火女
'ji'ba'lian 鸡巴脸
'jia'mian 假面
'jian'sheng 剑圣
'jie'qi'luo 杰奇洛
'jiu'xian 酒仙
'ju'du 剧毒
'ju'du'shu'shi 剧毒术士
'ju'ji'shou 狙击手
'ju'mo 巨魔
'ju'mo'zhan'jiang 巨魔战将
'ju'ya'hai'min 巨牙海民
'jun'tuan 军团
'jun'tuan'zhi'hui'guan 军团指挥官
'ka'er 卡尔
'ke'lin'ke'zi 克林克兹
'kong'bu'li'ren 恐怖利刃
'ku'lou'wang 骷髅王
'kun'ka 昆卡
'la'bi'ke 拉比克
'la'xi'ke 拉席克
'lai'en 莱恩
'lan'mao 蓝猫
'lan'pang 蓝胖
'lang'ren 狼人
'lao'lu 老鹿
'lei'shen 雷神
'li'na 莉娜
'li'wan 力丸
'lian'jin 炼金
'lian'jin'shu'shi 炼金术士
'lie'hun'ren 裂魂人
'long'qi 龙骑
'long'qi'shi 龙骑士
'lu'na 露娜
'ma'ge'na'si 马格纳斯
'ma'yi 蚂蚁
'mei'du'sha 美杜莎
'mei'huo'mo'nv 魅惑魔女
'meng'ma 猛犸
'mi'bo 米波
'mi'la'na 米拉娜
'mi'tuan 谜团
'ming'hun'da'di 冥魂大帝
'ming'jie'ya'long 冥界亚龙
'mo'jing'shen'shi'zhe 殁境神蚀者
'mo'ri 末日
'mo'ri'shi'zhe 末日使者
'na'jia'hai'yao 娜迦海妖
'nie'zhu 孽主
'nv'wang 女王
'pa'ge'na 帕格纳
'pa'ji 帕吉
'pa'ke 帕克
'pai'pai'xiong 拍拍熊
'qi'qiu'zhe 祈求者
'qi'tian'da'sheng 齐天大圣
'quan'neng 全能
'quan'neng'qi'shi 全能骑士
'ren'ma 人马
'sa'er 萨尔
'sha'wang 沙王
'shang'gu'ju'shen 上古巨神
'shang'jin 赏金
'shang'jin'lie'ren 赏金猎人
'she'nv 蛇女
'shen'ling 神灵
'shen'niu 神牛
'shen'yu 神谕
'shen'yu'zhe 神谕者
'sheng'qi'shi 圣骑士
'sheng'tang 圣堂
'sheng'tang'ci'ke 圣堂刺客
'shi'hun'gui 噬魂鬼
'shi'ren'mo'mo'fa'shi 食人魔魔法师
'shi'wang 尸王
'shi'xue'kuang'mo 嗜血狂魔
'shou'wang 兽王
'shu'jing'wei'shi 树精卫士
'shu'ren 树人
'shu'shi 术士
'shuang'tou'long 双头龙
'shui'jing'shi'nv 水晶室女
'shui'ren 水人
'si'la'da 斯拉达
'si'la'ke 斯拉克
'si'ling'fa 死灵法
'si'ling'fa'shi 死灵法师
'si'ling'long 死灵龙
'si'qi 死骑
'si'wang'xian'zhi 死亡先知
'si'wen 斯温
'si'ye'ci'ke 司夜刺客
'ti'dao 剃刀
'tian'nu 天怒
'tian'nu'fa'shi 天怒法师
'tian'qiong'shou'wang'zhe 天穹守望者
'tong'ku'nv'wang 痛苦女王
'tu'fu 屠夫
'tu'mao 土猫
'tu'zi 兔子
'wei'sa'ji 维萨吉
'wen'yi'fa'shi 瘟疫法师
'wu'yao 巫妖
'wu'yi 巫医
'xian'zhi 先知
'xiao'gou 小狗
'xiao'hei 小黑
'xiao'jing'ling 小精灵
'xiao'lu 小鹿
'xiao'na'jia 小娜迦
'xiao'niu 小牛
'xiao'pao 小炮
'xiao'qiang 小强
'xiao'wai 小歪
