'an'mei 暗煤
'an'quan'zhao 安全罩
'ao'hu 凹弧
'ao'hu'ban'jing 凹弧半径
'ao'hu'duan 凹弧段
'ao'ke'tiao'tai'ji 凹克跳汰机
'ba'dou'shi 扒斗式
'ba'jia 耙架
'ba'mei 耙煤
'ba'mei'jiao'che 耙煤绞车
'ba'shi 耙式
'ba'shi'nong'suo'ji 耙式浓缩机
'bai'dong'liu'cao 摆动溜槽
'bai'fen'nong'du 百分浓度
'ban'cang'shi 半仓式
'ban'chui 板锤
'ban'di'xia'shi 半地下式
'ban'di'xia'zhu'mei'cang 半地下贮煤仓
'ban'huang 板簧
'ban'jia'kong'shi 半架空式
'ban'kuang'ya'lv'ji 板框压滤机
'ban'ni'liu'shi 半逆流式
'ban'sheng'kuang'wu 伴生矿物
'ban'shi'ji'chu 板式基础
'ban'shi'zha'men 板式闸门
'ban'zhuang'dou'lian 板状斗链
'ban'zhuang'lian 板状链
'ban'zhuang'shai'ban 板状筛板
'ban'zhuang'shai'mian 板状筛面
'bang'cheng 磅秤
'bang'fang 磅房
'bang'mo'ji 棒磨机
'bang'tiao 棒条
'bang'tiao'shai 棒条筛
'bang'tiao'shai'ban 棒条筛板
'bang'tiao'shai'mian 棒条筛面
'bao'hu'kai'guan 保护开关
'bao'kuo'zhuang 爆扩桩
'ben'li'dian 奔离点
'beng'chi 泵池
'beng'fang 泵房
'beng'gai 泵盖
'beng'gei'liao 泵给料
'beng'ti 泵体
'bi'biao'mian 比表面
'bi'lu'po'sui 闭路破碎
'bi'lu'tiao'tai 闭路跳汰
'bi'lu'xi'xuan 闭路洗选
'bi'lu'zhong'jie 闭路重介
'bian'dian'suo 变电所
'bian'fu'fen'ji'shai 变幅分级筛
'bian'jing'cao 变径槽
'bian'xiang'gun 变相辊
'bian'zhi'shai'ban 编制筛板
'bian'zhi'shai'mian 编织筛面
'bian'zhi'shai'wang 编制筛网
'biao'qiang'shi 标枪式
'biao'ya 表压
'biao'zhun'fa'ma 标准砝码
'bing'lian'bu'zhi 并联布置
'bing'lian'shi 并联式
'bo'dong'lun 拨动轮
'bo'xing'feng'fa 波形风阀
'bu'chong'shui 补充水
'bu'fen'ji 不分级
'bu'fen'ji'ru'xi 不分级入洗
'bu'fen'ji'ru'xuan 不分级入选
'bu'jia'liang 补加量
'bu'jia'shui 补加水
'bu'jia'shui'liang 补加水量
'bu'jun'heng'xi'shu 不均衡系数
'bu'shou'ji 捕收剂
'bu'shui'liang 补水量
'bu'wan'shan'du 不完善度
'bu'zhan'jie 不粘结
'bu'zhan'jie'mei 不粘结煤
'bu'zhan'mei 不粘煤
'bu'zhi'tu 布置图
'cai'liao'ku 材料库
'cai'nuan 采暖
'cai'nuan'tong'feng 采暖通风
'cai'nuan'tong'feng'zhuan'ye 采暖通风专业
'cai'yang'dian 采样点
'cai'yang'guan 采样管
'cang'bi 仓壁
'cang'dou 仓斗
'cang'ti 仓体
'cang'wei'ji 仓位计
'cao'kuan 槽宽
'cao'mian 槽面
'cao'shen 槽深
'cao'tan 槽探
'cao'xiang 槽箱
'cao'xing 槽形
'cao'xing'cang 槽形仓
'cao'xing'chi'mian 槽型齿面
'cao'xuan'fa 槽选法
'cao'zong'fa 操纵阀
'cao'zuo'lun 操作轮
'ce'ban 侧板
'ce'gu 侧鼓
'ce'gu'tiao'tai'ji 侧鼓跳汰机
'ce'hui'yi 测灰仪
'ce'kai'men 侧开门
'ce'qing'shi 侧倾式
'ce'qing'shi'fan'che'ji 侧倾式翻车机
'ce'ya'ban 侧压板
'ce'ya'guan 测压管
'ce'ya'li 侧压力
'ce'ya'li'xi'shu 侧压力系数
'cha'ban'zha'men 插板闸门
'chai'mei 柴煤
'chan'pin'mei 产品煤
'chan'pin'mu'lu'bao'zheng'zhi 产品目录保证值
