'bai'shi'kuai'yun 百世快运
'de'bang'wu'liu 德邦物流
'hui'tong 汇通
'ji'tu'kuai'di 极兔快递
'jia'yun'mei 加运美
'lian'bang'kuai'di 联邦快递
'quan'qiu'te'kuai'zhuan'di 全球特快专递
'quan'yi'kuai'di 全一快递
'shen'tong 申通
'shun'feng 顺丰
'su'er 速尔
'tian'di'wu'liu 天地物流
'tian'tian 天天
'you'bao 邮宝
'yuan'tong 圆通
'yun'da 韵达
'zhai'ji'song 宅急送
'zhong'cheng'kuai'di 中城快递
'zhong'tie'kuai'yun 中铁快运
'zhong'tong 中通
