'bei'pan 背叛
'chuang'zao'ren'zuo'qi'min 创造人作器皿
'ci'gei'quan'bing 赐给权柄
'dai'ta'men'jin'ru'rong'yao 带他们进入荣耀
'di'shang'hai'mei'you'zhang'chu'sheng'ming'lai 地上还没有长出生命来
'fu'huo'de'sheng'ming 复活的生命
'hou'lai'cheng'le'di'shang'de'gui 后来成了地上的鬼
'huo'de'hun 活的魂
'ji'zhe'sheng'ming 藉着生命
'jiang'xin'tu'mo'cheng'shen'de'xing'xiang 将信徒模成神的形像
'jiang'yu'zai'di'shang 降雨在地上
'mei'you'ren'geng'di 没有人耕地
'mu'di 目的
'na'shi'zai'di'shang'de'huo'lei 那时在地上的活类
'ren'de'ling 人的灵
'sa'dan'de'bei'pan 撒但的背叛
'sa'dan'de'bei'pan'yu'bai'huai 撒但的背叛与败坏
'sa'dan'de'lai'yuan 撒但的来源
'sa'dan'shou'le'shen'de'shen'pan 撒但受了神的审判
'san'bu'fen 三部分
'shen'cheng'jiu'ta'mu'di 神成就祂目的
'shen'da'cheng'ta'mu'di'de'shou'xu 神达成祂目的的手续
'shen'de'ling 神的灵
'shen'pan 审判
'shen'te'bie'zao'cheng'de 神特别造成的
'sheng'ming'zhi'qi 生命之气
'sheng'zhuang'shen'zuo'sheng'ming 盛装神作生命
'tian'shi 天使
'tian'shi'de'san'fen'zhi'yi 天使的三分之一
'yong'di'shang'de'chen'tu'zao'cheng'ren'ti 用地上的尘土造成人体
'you'wu'qi'cong'di'shang'teng 有雾气从地上腾
'yuan'yin 原因
'zhu'tian 诸天
