'an'hei'da'qi'shi'de'jian 暗黑大骑士的剑
'bai'wu 白武
'bing'shuang'gong 冰霜弓
'bing'shuang'jian 冰霜剑
'cai'hong'cao 彩虹草
'cai'hong'jia'te'lin 彩虹加特林
'chao'jie'zhe 超界者
'chao'shi'kong'ren'zhe 超时空忍者
'cheng'wu 橙武
'chun'cui 纯粹
'chun'cui'shi'lian'zhi'di 纯粹试炼之地
'ci'ke 刺客
'ci'ke'diao'xiang 刺客雕像
'dai'fei 带飞
'dao'dan'fa'she'qi 导弹发射器
'dao'shi 道士
'dao'zei'diao'xiang 盗贼雕像
'de'lu'yi 德鲁伊
'di'tang'dao 地堂刀
'dian'hu'shou'li'jian 电弧手里剑
'du'qi'zha'dan 毒气炸弹
'dui'you 队友
'e'meng'biao'ji 噩梦标记
'e'mo'shu'shi 恶魔术士
'fan'gun 翻滚
'feng'hao 封号
'ga'li'bang 咖喱棒
'gong'cheng'shi 工程师
'gu'da'lu'shen'qi 古大陆神器
'gu'dai'yuan'su'shi 古代元素使
'guan'fang'qu'dao 官方渠道
'guan'qia'mo'shi 关卡模式
'hei'you'xia 黑游侠
'hong'jue'shi 红爵士
'hong'shou'dao 红手刀
'hong'wu 红武
'hua'wei'qu'dao 华为渠道
'huan'ying'fa'zhang 幻影法杖
'huan'ying'xiao'dui 幻影小队
'hun'dun'da'ji 混沌打击
'huo'li'quan'kai 火力全开
'huo'yan'gong 火焰弓
'huo'yan'jian 火焰剑
'ji'dong'xing 机动性
'ji'feng 季风
'ji'guang'pian'yu 吉光片羽
'ji'jia 机甲
'ji'qi'ren 机器人
'ji'xie'kuang'chao 机械狂潮
'jin'bi 金币
'jin'ji'de'hao'jiao 进击的号角
'jin'shou'dao 金手刀
'jin'xie'zhan'chui 金蟹战锤
'jing'guan 警官
'jing'ling 精灵
'jing'ling'diao'xiang 精灵雕像
'jing'xie'tai'dao 晶蟹太刀
'ju'he'zhan 居合斩
'jun'zhi'gong 珺之弓
'kong'shou 空手
'kou'hai'yang 口嗨洋
'kuang'bao 狂暴
'kuang'gong 矿工
'kuang'zhan'shi 狂战士
'kuang'zhan'shi'diao'xiang 狂战士雕像
'lan'bi 蓝币
'lan'dun 蓝盾
'lan'liang 蓝量
'lan'wu 蓝武
'lei'dian'fa'zhang 雷电法杖
'lei'jian 雷剑
'lian'ji 联机
'lian'jin'shu'shi 炼金术师
'liang'wu'you'xi 凉屋游戏
'ling'han'bu'zhi'yi'dian'shui 凌寒不止一点水
'lv'wu 绿武
'man'ji 满级
'man'pei 满配
'mi'die'dao 迷迭岛
'miao'sha 秒杀
'mo'fa'gong 魔法弓
'mu'shi 牧师
'mu'shi'diao'xiang 牧师雕像
'pi'pi'xun 皮皮熏
'qi'shi 骑士
'qi'shi'diao'xiang 骑士雕像
'qi'shi'zhi'quan 骑士之拳
'qi'zong 气宗
'qu'dao 渠道
'qun'xing'zhi'gong 群星之弓
'rou'ge'you'xi 肉鸽游戏
'sai'ji'mo'shi 赛季模式
'san'da 散打
'san'dan'qiang'san'dai 散弹枪三代
'san'dan'zeng'duo 散弹增多
'sao'di'ji'qi'ren 扫地机器人
'shang'jin'biao'ji 赏金标记
'shen'hua'wu'qi 神话武器
'sheng'qi'shi 圣骑士
'shi'lian'zhi'di 试炼之地
'shou'dao 手刀
'shou'hu'shen'dian 守护神殿
'shu'yao'nv'wu 树妖女巫
'shu'yao'wang 树妖王
'shui'jing'gong 水晶弓
'si'ling'fa'shi 死灵法师
'su'tong 速通
'te'xing 特性
'te'zhong'qi'shi'bu'dui 特种骑士部队
'tian'fu 天赋
'tian'shang'fei'zhi'mao 天上飞只猫
'tian'tang'zhi'quan 天堂之拳
'tiao'zhan'yin'zi 挑战因子
'wai'xing'hang'mu 外星航母
'wang'ling'fu'su 亡灵复苏
'wang'yin'shao'nian 网瘾少年
'wang'yin'shao'nv 网瘾少女
'wu'di'zhen 无敌帧
'wu'se'bi 五色笔
'wu'shi'diao'xiang 巫师雕像
'xi'xue'gui 吸血鬼
'xian'jing'da'shi 陷阱大师
'xiao'shou'zhe 枭首者
'xiao'xiao'zhi'hui'jia 小小指挥家
'xiao'yu'gan 小鱼干
'xie'wang'mo'shi 邪王模式
'xue'liang 血量
'yang'jiao'shou 羊叫兽
'ye'you'shen 夜游神
'yi'quan 一拳
'ying'dun 影遁
'ying'xiong'jue'se 英雄角色
'you'xi'zhai'wan'jia 游戏宅玩家
'you'xia 游侠
'you'xia'fan'gun 游侠翻滚
'yu'jian'shu 御剑术
'yuan'qi'man'man 元气满满
'yuan'qi'qi'shi 元气骑士
'yuan'su'shang'hai 元素伤害
'zhuan'shu'hong'wu 专属红武
'zhuan'zhu'she'ji 专注射击
'zi'jue'shi 紫爵士
'zi'shou'dao 紫手刀
