'bei'chuang 北床
'bei'jian 北间
'bei'tai 备态
'jin'ba 近八
'jin'ba 近捌
'jin'bang 近傍
'jin'er 近二
'jin'er 近贰
'jin'jiu 近九
'jin'jiu 近玖
'jin'li 近黎
'jin'qi 近七
'jin'qi 近柒
'jin'san 近三
'jin'san 近叁
'jin'shi 近十
'jin'shi 近拾
'jin'shi'yi 近十一
'jin'shi'yi 近拾壹
'jin'si 近四
'jin'si 近肆
'jin'wu 近五
'jin'wu 近伍
'jin'wu 近午
'jin'yi 近一
'jin'yi 近壹
'jin'zi 近子
'qi'chu 起厨
'qi'guang 骑逛
'qi'qian 其前
'qi'wei 起卫
