'an'hui'da'xue 安徽大学
'an'hui'li'gong'da'xue 安徽理工大学
'bei'jing'da'xue 北京大学
'bei'jing'hang'kong'hang'tian'da'xue 北京航空航天大学
'bei'jing'jiao'tong'da'xue 北京交通大学
'bei'jing'ke'ji'da'xue 北京科技大学
'bei'jing'li'gong'da'xue 北京理工大学
'bei'jing'lin'ye'da'xue 北京林业大学
'bei'jing'shi'fan'da'xue 北京师范大学
'bing'zhong'zhi'hui'xue'yuan 兵种指挥学院
'chang'an'da'xue 长安大学
'chang'chun'gong'ye'da'xue 长春工业大学
'chang'chun'li'gong'da'xue 长春理工大学
'chang'sha'li'gong'da'xue 长沙理工大学
'cheng'du'xin'xi'gong'cheng'xue'yuan 成都信息工程学院
'chong'qing'da'xue 重庆大学
'chong'qing'tong'xin'xue'yuan 重庆通信学院
'da'lian'hai'shi'da'xue 大连海事大学
'da'lian'li'gong'da'xue 大连理工大学
'da'lian'lu'jun'xue'yuan 大连陆军学院
'di'er'fei'xing'xue'yuan 第二飞行学院
'di'er'jun'yi'da'xue 第二军医大学
'di'er'pao'bing'zhi'hui'xue'yuan 第二炮兵指挥学院
'di'san'jun'yi'da'xue 第三军医大学
'di'si'jun'yi'da'xue 第四军医大学
'di'yi'hang'kong'xue'yuan 第一航空学院
'di'yi'jun'yi'da'xue 第一军医大学
'dian'zi'gong'cheng'xue'yuan 电子工程学院
'dian'zi'ke'ji'da'xue 电子科技大学
'dong'bei'da'xue 东北大学
'dong'hua'li'gong'xue'yuan 东华理工学院
'dong'nan'da'xue 东南大学
'fang'hua'zhi'hui'gong'cheng'xue'yuan 防化指挥工程学院
'fu'dan'da'xue 复旦大学
'guang'dong'gong'ye'da'xue 广东工业大学
'guang'xi'da'xue 广西大学
'gui'lin'dian'zi'gong'ye'xue'yuan 桂林电子工业学院
'gui'lin'kong'jun'xue'yuan 桂林空军学院
'guo'fang'da'xue 国防大学
'guo'fang'ke'ji'da'xue 国防科技大学
'guo'fang'sheng 国防生
'guo'ji'guan'xi'xue'you 国际关系学有
'ha'er'bin'gong'cheng'da'xue 哈尔滨工程大学
'ha'er'bin'gong'ye'da'xue 哈尔滨工业大学
'ha'er'bin'li'gong'da'xue 哈尔滨理工大学
