'bao'yi 褒义
'bei'dong'yu'tai 被动语态
'bi'jiao'ji 比较级
'bian'yi 贬义
'biao'dian'fu'hao 标点符号
'biao'yu 表语
'biao'yu'cong'ju 表语从句
'bin'bu 宾补
'bin'ge 宾格
'bin'yu 宾语
'bin'yu'cong'ju 宾语从句
'bing'lie 并列
'bing'lie'fu'he'ju 并列复合句
'bing'lie'ju 并列句
'bing'lie'lian'ci 并列连词
'bu'ding'dai'ci 不定代词
'bu'ding'guan'ci 不定冠词
'bu'ding'shi 不定式
'bu'ding'shi'duan'yu 不定式短语
'bu'fen'dao'zhuang 部分倒装
'bu'gui'ze'dong'ci 不规则动词
'bu'gui'ze'xing'shi 不规则形式
'bu'ji'wu'dong'ci 不及物动词
'bu'ke'shu'ming'ci 不可数名词
'bu'yu 补语
'ceng'ci 层次
'cha'ru'cheng'fen 插入成分
'cha'ru'yu 插入语
'chen'shu'ju 陈述句
'chen'shu'yu'qi 陈述语气
'cheng'du'fu'ci 程度副词
'chong'fu 重复
'chou'xiang'ming'ci 抽象名词
'ci'fa 词法
'ci'gen 词根
'ci'lei 词类
'ci'xing 词性
'ci'zhui'fa 词缀法
'ci'zu 词组
'cong'ju 从句
'cong'shu 从属
'cong'shu'ju 从属句
'cong'shu'lian'ci 从属连词
'cun'zai'ju 存在句
'cuo'zong'tiao'jian'ju 错综条件句
'dai'ci 代词
'dan'chun'ci 单纯词
'dan'ci 单词
'dan'shu'xing'shi 单数形式
'dao'zhuang 倒装
'dao'zhuang'yu'xu 倒装语序
'di'dian'fu'ci 地点副词
'di'dian'zhuang'yu'cong'ju 地点状语从句
'di'er'ren'cheng 第二人称
'di'san'ren'cheng 第三人称
'di'yi'ren'cheng 第一人称
'ding'guan'ci 定冠词
'ding'yu 定语
'ding'yu'cong'ju 定语从句
'dong'ci 动词
'dong'ci'de'zhu'yao'xing'shi 动词的主要形式
'dong'ci'duan'yu 动词短语
'dong'ming'ci 动名词
'dong'tai'dong'ci 动态动词
'dou'hao 逗号
'du'li'cheng'fen 独立成分
'du'li'jie'gou 独立结构
'duan'yu 短语
'duan'yu'dong'ci 短语动词
'fan'shen'dai'ci 反身代词
'fan'yi'ci 反义词
'fan'yi'yi'wen'ju 反义疑问句
'fan'yi'yi'wen'ju 反意疑问句
'fang'shi'fu'ci 方式副词
'fang'shi'zhuang'yu'cong'ju 方式状语从句
'fei'xian'ding'dong'ci 非限定动词
'fei'xian'zhi 非限制
'fei'zhen'shi'tiao'jian'zhuang'yu'cong'ju 非真实条件状语从句
'fei'zheng'shi'wen'ti 非正式文体
'fen'ci 分词
'fen'ci'duan'yu 分词短语
'fen'hao 分号
'fen'shu'ci 分数词
'fen'shu'shu'ci 分数数词
'feng'ci 讽刺
