'da'xue'jiang'shi 大学讲师
'dou'min'jun 都敏俊
'guo'min'nv'shen 国民女神
'han'you'la 韩宥拉
'jin'xian'xiu 金贤秀
'jin'xiu'xian 金秀贤
'li'hui'jing 李辉京
'li'zai'jing 李载京
'liu'ren'na 刘仁娜
'liu'shi'mei 刘世美
'ming'yun 命运
'piao'hai'zhen 朴海镇
'qian'song'yi 千颂伊
'qian'yun'cai 千允才
'quan'zhi'xian 全智贤
'wai'xing'ren 外星人
'xiang'xing'xing'yi'yang 像星星一样
'xu'yi'hua 徐宜花
'zhang'tai'you 张太侑
'zhang'ying'mu 张英牧
