'an'ju'ke 安居客
'bai'an'ju 百安居
'chao'ji'jing'ji'ren 超级经济人
'deng'shi'shi'jie 灯饰视界
'dong'fang'jia'yuan 东方家园
'fang'ce'tian'xia 房策天下
'fang'dai'ji'suan 房贷计算
'fang'jia'wang 房价网
'fang'lao'da 房老大
'gan'ji'wang 赶集网
'ge'di'zhu'fang'gong'ji'jin'cha'xun 各地住房公积金查询
'hong'xing'mei'kai'long 红星美凯龙
'jia'tian'xia 家天下
'jian'wang 建网
'jian'zhu'lun'tan 建筑论坛
'jiao'dian'fang'chan 焦点房产
'jiao'dian'zhuang'xiu'jia'ju'wang 焦点装修家居网
'jiao'huan'kong'jian 交换空间
'ju'ran'zhi'jia 居然之家
'li'ba'wang 篱笆网
'lian'jia'zai'xian 链家在线
'mei'jia 美家
'mei'ke 美克
'qu'mei'xian'dai'jia'ju 曲美现代家具
'quan'you'jia'si 全友家私
'rui'li'jia'ju 瑞丽家居
'shi'ji'bu'dong'chan 世纪不动产
'sou'fang'bang 搜房帮
'sou'fang'wang 搜房网
'sou'fang'zhuang'xiu'jia'ju'wang 搜房装修家居网
'sou'wu'wang 搜屋网
'tao'fang'wu 淘房屋
'tian'gong'wang 天工网
'tian'yuan'di'fang 天圆地方
'tu'fang'wang 图房网
'tu'mu'zai'xian 土木在线
'wo'ai'wo'jia 我爱我家
'wo'ai'wo'jia'zhuang'shi'lun'tan 我爱我家装饰论坛
'xin'lang'fang'chan 新浪房产
'xin'lang'fang'you'zai'xian 新浪房友在线
'xin'lang'jia'ju 新浪家居
'xiu'jia'wang 秀家网
'yi'jia 宜家
'yi'ju'wang 易居网
'zhong'guo'jian'cai'wang 中国建材网
'zhong'guo'jian'zao'shi'wang 中国建造师网
'zhu'long'wang 筑龙网
'zhu'tou'san 猪头三
'zhuang'xiu'tu'man'duo 装修图满多
'zu'fang 租房
