'an'shi'fa 暗示法
'an'yu'fa 暗喻法
'bi'zhong'jiu'qing 避重就轻
'bian'yu'bao'zhong 贬寓褒中
'bo'wu'jian'ri 拨雾见日
'bu'bu'lian'huan 步步连环
'bu'huai'hao'yi 不怀好意
'bu'yan'er'jian 不言而谏
'ceng'ceng'shen'ru 层层深入
'chen'xu'er'ru 趁虚而入
'cheng'yi'ke'jian 乘疑可间
'chu'qi'bu'yi 出其不意
'da'fei'suo'wen 答非所问
'da'san'jiao'wai'jiao 大三角外交
'da'xin'bu'xin 大信不信
'dai'ji'fan'ji 待机反击
'dang'ren'bu'rang 当仁不让
'deng'ju'li'wai'jiao 等距离外交
'di'yuan'wai'jiao 地缘外交
'dui'bi'fa 对比法
'en'jian 恩间
'fa'jiao 伐交
'fan'jian 反间
'fu'bei'jia'ji 腹背夹击
'ge'jian 歌间
'guan'yan'cha'xin 观颜察心
'gui'miu'zheng'wu 归谬正误
'hai'jian 孩间
'han'xu'feng'jian 含蓄讽谏
'he'qin'wai'jiao 和亲外交
'he'zong'kang'qiang 合纵抗强
'hua'jian 画间
'hua'xian'wei'yi 化险为夷
'huan'jian 宦间
'hui'jian 贿间
'huo'shao'hou'yuan 火烧后院
'jia'mi'fan'wen 假迷反问
'jia'yan'yi'yu 嘉言懿语
'jie'tan'zhu'huo 借炭助火
'jing'ji'wai'jiao 经济外交
'ju'dian'fa 据典法
'jue'jian 爵间
'li'jian 离间
'li'yong'mao'dun'fa 利用矛盾法
'lian'heng'gong'ruo 连横攻弱
'liang'mian'wai'jiao 两面外交
'mao'ji'zhi'yan'fa 矛戟之言法
'mei'ren'chu'jian 美人除奸
'ming'que'gai'nian'fa 明确概念法
'nei'jian 内间
'nv'jian 女间
'pao'zhuan'yin'yu 抛砖引玉
'pi'yu'fa 譬喻法
'qi'pian'yong'zha 欺骗用诈
'qiao'yin'yuan'bing 巧引援兵
'qiao'yong'wen'zi'chai'he'fa 巧用文字拆合法
'qiao'yu'yu'hui 巧于迂回
'qin'ting'zhi'ku 秦庭之哭
'qu'zhi'xiang'sheng 曲直相生
'ruan'ying'jian'shi 软硬兼施
'seng'jian 僧间
'sheng'jian 生间
'shi'bu'ru'guo 使不辱国
'shi'hai'tui'di 示害退敌
'shi'mian'mai'fu'fa 十面埋伏法
'shi'mo'mi'yu'jian 事莫秘于间
'shu'jian 书间
'shun'shui'tui'chuan 顺水推船
'si'jian 死间
'tong'gou'yi'bei'fa 同构意悖法
'tou'shi'wen'lu 投石问路
'wei'jian 威间
'wei'wan'qu'zhe 委婉曲折
'wen'jian 文间
'wu'suo'bu'yong'jian 无所不用间
'xiao'yi'li'hai 晓以利害
'xu'ni'jia'she 虚拟假设
'yan'jian 言间
'yao'jian 谣间
'yi'ya'huan'ya 以牙还牙
'yi'yu'kun'zhi 以愚困智
'yi'yu'zhong'di 一语中的
'yin'jian 因间
'yin'ren'shi'yan 因人施言
'yin'shen'fa 引申法
'yin'shen'huang'miu'fa 引申荒谬法
'yong'jian'wai'jiao 用间外交
'you'di'jiu'fan 诱敌就范
'you'jian 诱间
'you'jian 友间
'yu'hui'ce'ji 迂回侧击
'yu'jin'xian'tui 欲进先退
'yuan'jiao'jin'gong 远交近攻
'zhe'chong'zun'zu 折冲樽俎
'zhen'feng'xiang'dui 针锋相对
'zheng'zhong'yao'hai 正中要害
'zhi'bi'feng'mang 智避锋芒
'zhi'dong'shuo'xi 指东说西
'zhuan'yi'fa 转义法
'zong'heng'bai'he 纵横捭阖
'zuo'kai'you'he 左开右阖
