'a'ka'li 阿卡丽
'a'li 阿狸
'a'li'si'ta 阿利斯塔
'a'mu'mu 阿木木
'a'ta'ma'zhi'ji 阿塔玛之戟
'a'zi'er 阿兹尔
'ai'ka'xi'ya 艾卡西亚
'ai'ke 艾克
'ai'ke'sai'zhi'nu 艾克塞之怒
'ai'ni'wei'ya 艾尼维亚
'ai'ou'ni'ya 艾欧尼亚
'ai'rui'li'ya 艾瑞莉娅
'ai'xi 艾希
'an'hei'yuan'shou 暗黑元首
'an'ni 安妮
'an'ye'lie'shou 暗夜猎手
'an'yi'jian'mo 暗裔剑魔
'an'ying'dao 暗影岛
'an'ying'zhi'quan 暗影之拳
'ao'ba'ma 奥巴马
'ao'dai'en'de'mian'sha 奥黛恩的面纱
'ao'la'fu 奥拉夫
'ao'li'an'na 奥莉安娜
'ao'zhi'zhui'lie'zhe 傲之追猎者
'ba'de 巴德
'ban'de'er'cheng 班德尔城
'ban'rou 半肉
'bao'fa 爆发
'bao'feng'zhi'jian 暴风之剑
'bao'ji 暴击
'bao'jun'gai'lun 暴君盖伦
'bao'lie'mo'zhang 爆裂魔杖
'bao'nv 豹女
'bao'po'gui'cai 爆破鬼才
'bao'shi'qi'shi 宝石骑士
'bao'zou'luo'li 暴走萝莉
'bei'dong 被动
'bei'dong'dou'bei'da'chu'lai'le 被动都被打出来了
'beng'pan 崩盘
'bi'er'ji'wo'te 比尔吉沃特
'bi'er'ji'wo'te'wan'dao 比尔吉沃特弯刀
'bi'tuan 逼团
'bie'dan 别单
'bie'jin 别禁
'bie'qiang'wo'lan 别抢我蓝
'bie'shang 别上
'bie'song 别怂
'bie'tou 别投
'bie'zhi'gu'zhe'sha'ren'a 别只顾着杀人啊
'bing'chuan'hu'jia 冰川护甲
'bing'chuan'lie'xi 冰川裂隙
'bing'chui 冰锤
'bing'jing'feng'huang 冰晶凤凰
'bing'niao 冰鸟
'bing'nv 冰女
'bing'shuang'nv'wu 冰霜女巫
'bing'shuang'zhan'chui 冰霜战锤
'bing'shuang'zhi'chui 冰霜之锤
'bing'shuang'zhi'xin 冰霜之心
'bing'xian 兵线
'bing'xue'jie'xian'ding 冰雪节限定
'bing'ying 兵营
'bing'zhang 冰杖
'bo'bi 波比
'bu'bing 补兵
'bu'dao 补刀
'bu'fu 不服
'bu'gei'gua'ji 不给挂机
'bu'gei'jiu'song 不给就送
'bu'jia 布甲
'bu'lan'de 布兰德
'bu'lang'le 不浪了
'bu'li'ci 布里茨
'bu'long 布隆
'bu'lu 不撸
'bu'qie 不切
'bu'rou 不肉
'bu'xiang 不祥
'bu'xiang'zhi'ren 不祥之刃
'cai'bi 菜比
'cai'bi 菜逼
'cai'gou 菜狗
'cai'jue'zhi'di 裁决之地
'can'bao'zhi'li 残暴之力
'cang'qiong'zhi'guang 苍穹之光
'cao'cong 草丛
'cao'cong'lun 草丛伦
'cao'xie 草鞋
'cao'zuo 操作
'ce'shi'tong'ling 策士统领
'cha'yan 插眼
'chang'jian 长剑
'chao'ji'bing 超级兵
'chao'xi'hai'ling 潮汐海灵
'cheng'gou 成狗
'cheng'jie 惩戒
'cheng'jie'zhi'jian 惩戒之箭
'chi'xu'shang'hai 持续伤害
'chong'sheng 重生
'chu'men'zhuang 出门装
'chu'rou'ni'hui'si'a 出肉你会死啊
'chu'shou 触手
'chuan'ci'zhuang 穿刺装
'chuan'song 传送
'chuan'tou 穿透
'chuan'zhang 船长
'chui'shi 锤石
'chun'ge'jia 春哥甲
'ci'ke 刺客
'cui'hua'shen'shi 催化神石
'cui'pi 脆皮
'cui'pi'ji 脆皮鸡
'cui'si'ta'na 崔丝塔娜
'cui'si'te 崔斯特
'da'bang 大棒
'da'bao 打爆
'da'beng 打崩
'da'bing 打兵
'da'chong'zi 大虫子
'da'chu 大厨
'da'duan'ji'neng 打断技能
'da'fa'ming'jia 大发明家
'da'gai'lun 大盖伦
'da'ge'jiu'kao'ni'le 大哥就靠你了
'da'hao 大号
'da'hong 大红
'da'kong 大控
'da'kuai'duo'yi 大快朵颐
'da'lan 大蓝
'da'lan 打蓝
'da'long 大龙
'da'long'ji'he 大龙集合
'da'luan'dou 大乱斗
'da'rou 大肉
'da'rou 打肉
'da'shen 大神
'da'sheng'bei 大圣杯
'da'shu 大树
'da'tian'shi 大天使
'da'tian'shi'zhi'zhang 大天使之杖
'da'tou 大头
'da'wan'yi'bo 打完一波
'da'yan 大眼
'da'ye 打野
'da'ye'ba'ba 打野爸爸
'da'ye'ba'ba'su'lai'zhua 打野爸爸速来抓
'da'ye'neng'chu'rou 打野能出肉
'da'ye'qu'tou 打野去偷
'da'yin'mo'dao 大饮魔刀
'da'zhao 大招
'da'zui 大嘴
'dai'an'na 黛安娜
'dai'xian 带线
'dan'ji 单机
'dan'ji'gou 单机狗
'dan'ji'wang 单机王
'dan'nv 蛋女
'dan'ren 单人
'dan'sha 单杀
'dao'cao'ren 稻草人
'dao'feng'mei'zi 刀锋妹子
'dao'feng'yi'zhi 刀锋意志
'dao'feng'zhi'ying 刀锋之影
'dao'mei 刀妹
'de'bang'zong'guan 德邦总管
'de'bei 德杯
'de'lai'e'si 德莱厄斯
'de'lai'wen 德莱文
'de'ma 德玛
'de'ma'xi'ya 德玛西亚
'de'ma'xi'ya'huang'zi 德玛西亚皇子
'de'ma'xi'ya'zhi'li 德玛西亚之力
'de'ma'xi'ya'zhi'yi 德玛西亚之翼
'deng'bu'liao 登不了
'deng'li'zi'lie'bian 等离子裂变
'deng'long 灯笼
'deng'wo'tun'shi'zhe'die'man'le'xian 等我吞噬者叠满了先
'deng'yi'xia 登一下
'di'duan'ju 低端局
'di'xia'quan'wang 地下拳王
'dian'ba 电八
'dian'er 电二
'dian'hao'zi 电耗子
'dian'jiu 电九
'dian'juan 点劵
'dian'liu 电六
'dian'qi 电七
'dian'ran 点燃
'dian'san 电三
'dian'shi 电十
'dian'shi'er 电十二
'dian'shi'san 电十三
'dian'shi'yi 电十一
'dian'si 点死
'dian'si 电四
'dian'ta 点他
'dian'ta 点塔
'dian'wan'pi'fu 电玩皮肤
'dian'wan'xi'lie 电玩系列
'dian'wu 电五
'dian'xin'ba 电信八
'dian'xin'er 电信二
'dian'xin'jiu 电信九
'dian'xin'liu 电信六
'dian'xin'qi 电信七
'dian'xin'san 电信三
'dian'xin'shi 电信十
'dian'xin'shi'er 电信十二
'dian'xin'shi'san 电信十三
'dian'xin'shi'yi 电信十一
'dian'xin'si 电信四
'dian'xin'wu 电信五
'dian'xin'yi 电信一
'dian'yi 电一
'diao'duan 掉段
'diao'wen 雕文
'ding'ta 顶塔
'dong'cun'rui 董存瑞
'dong'dao 董导
'dou'peng 斗篷
'duan'jian 短剑
'duan'shou 短手
'duan'tou'tai 断头台
'dui'dian 对点
'dui'mian'da'da'long'le 对面打大龙了
'dui'mian'da'xiao'long 对面打小龙
'dui'mian'kong'hao'duo 对面控好多
'dui'mian'shang'hai'tai'gao'la 对面伤害太高啦
'dui'mian'shao'ren 对面少人
'dui'rou 堆肉
'dui'xian 对线
'dui'xue 堆血
'dui'zhi 对峙
'dun'di 遁地
'duo'da'chou 多大仇
'duo'lan'dun 多兰盾
'duo'lan'jian 多兰剑
'duo'lan'jie 多兰戒
'duo'lan'zhi'dun 多兰之盾
'duo'lan'zhi'jie 多兰之戒
'duo'lan'zhi'ren 多兰之刃
'duo'luo'tian'shi 堕落天使
'duo'tian 堕天
'e'jia'te 厄加特
'e'mo'fa'dian 恶魔法典
'e'mo'xiao'chou 恶魔小丑
'e'yu 鳄鱼
'e'yun'xiao'jie 厄运小姐
'er'duan'gong'ji 二段攻击
'er'lou'da'ye 二楼打野
'er'lou'fu'zhu 二楼辅助
'er'lou'shang'dan 二楼上单
'er'lou'xia 二楼下
'er'lou'zhong'dan 二楼中单
'er'ta 二塔
'er'tong'jie 儿童劫
'fa'chuan 法穿
'fa'chuan'san'jian'tao 法穿三件套
'fa'chuan'xie 法穿鞋
'fa'chuan'zhang 法穿杖
'fa'li'yao'shui 法力药水
'fa'qiang 法强
'fa'shi'zhi'xue 法师之靴
'fa'tan 法坦
'fa'tiao 发条
'fa'tiao'mo'ling 发条魔灵
'fa'wai'kuang'tu 法外狂徒
'fa'yu 发育
'fan'dun 反蹲
'fan'qu'zhi'gong 反曲之弓
'fan'shang'jia 反伤甲
'fang'dao'men 防盗门
'fang'feng'zheng 放风筝
'fang'yu'ta 防御塔
'fang'zhu'zhi'ren 放逐之刃
'fei'ao'na 菲奥娜
'fei'de'ti'ke 费德提克
'fei'ji 飞机
'fei'zi 菲兹
'fen'cha 粪叉
'fen'lie'fu 分裂斧
'feng'bao'zhi'nu 风暴之怒
'feng'ci 蜂刺
'feng'gou 疯狗
