'gan'dan'nang 肝胆囊
'gan'dan'nang'guan 肝胆囊管
'gan'dan'zong'guan 肝胆总管
'gan'gan'yi'hu'fu 肝肝胰壶腹
'gan'gan'you'ye 肝肝右叶
'gan'gan'zong'guan 肝肝总管
'gan'gan'zuo'ye 肝肝左叶
'gan'kong'chang 肝空肠
'gan'shi'er'zhi'chang 肝十二指肠
'gan'yi'guan 肝胰管
'he'guan'tu 颌冠突
'he'ke'kong 颌颏孔
'he'xia'he'jiao 颌下颌角
'he'xia'he'jing 颌下颌颈
'he'xia'he'qie'ji 颌下颌切迹
'he'xia'he'ti 颌下颌体
'he'xia'he'tou 颌下颌头
'he'xia'he'xiao'kong 颌下颌小孔
'he'xia'he'zhi 颌下颌支
'he'yao'ji'cu'long 颌咬肌粗隆
'ji'ce'nao'shi 脊侧脑室
'ji'dou'hui 脊窦汇
'ji'shang'shi'zhuang'dou 脊上矢状窦
'ji'shi'jian'kong 脊室间孔
'ji'xiao'nao'yan'chi'sui 脊小脑延池髓
'ji'ying'nao'mo 脊硬脑膜
'ji'zhong'nao'shui'guan 脊中脑水管
'ji'zhong'si 脊终丝
'ji'zhu'wang'mo'li 脊蛛网膜粒
'ji'zhu'wang'mo'xia'xi 脊蛛网膜下隙
'jian'gang'shang'wo 肩冈上窝
'jian'gang'xia'wo 肩冈下窝
'jian'hui'tu 肩喙突
'jian'jian'feng 肩肩峰
'jian'jian'jia'gang 肩肩胛冈
'jian'nei'ce'yuan 肩内侧缘
'jian'shang'jiao 肩上角
'jian'wai'ce'jiao 肩外侧角
'jian'wai'ce'yuan 肩外侧缘
'jian'xia'jiao 肩下角
'nao'da'nao'jiao 脑大脑脚
'nao'dong'yan'shen'jing 脑动眼神经
'nao'mi'zou'shen'jing 脑迷走神经
'nao'mian'shen'jing 脑面神经
'nao'nao'qiao 脑脑桥
'nao'san'cha'shen'jing 脑三叉神经
'nao'she'yan'shen'jing 脑舌咽神经
'nao'zhan'shen'jing 脑展神经
'nao'zhui'ti 脑锥体
'nao'zhui'ti'jiao'cha 脑锥体交叉
'shen'shen'da'zhan 肾肾大盏
'shen'shen'dong'mai 肾肾动脉
'shen'shen'jing'mai 肾深静脉
'shen'shen'pi'zhi 肾肾皮质
'shen'shen'xiao'zhan 肾肾小盏
'shen'shen'yu 肾肾盂
'shen'shen'zhu 肾肾柱
'shen'shen'zhui'ti 肾肾锥体
'shen'shu'niao'guan 肾输尿管
'shen'xian'wei'nang 肾纤维囊
'xi'fei'ce'fu'ren'dai 膝腓侧副韧带
'xi'fei'gu'tou 膝腓骨头
'xi'hou'jiao'cha'ren'dai 膝后交叉韧带
'xi'jing'ce'fu'ren'dai 膝胫侧副韧带
'xi'jing'gu'nei'ce'huai 膝胫骨内侧踝
'xi'nei'ce'ban'yue'ban 膝内侧半月板
'xi'nei'ce'huai 膝内侧踝
'xi'qian'jiao'cha'ren'dai 膝前交叉韧带
'xi'wai'ce'ban'yue'ban 膝外侧半月板
'xi'wai'ce'huai 膝外侧踝
'xin'fei'dong'mai'gan 心肺动脉干
'xin'shang'qiang'jing'mai 心上腔静脉
'xin'tou'bi'gan 心头臂干
'xin'xin'jian 心心尖
'xin'you'xin'er 心右心耳
'xin'you'xin'shi 心右心室
'xin'zhu'dong'mai'gong 心主动脉弓
'xin'zuo'jing'zong'dong'mai 心左颈总动脉
'xin'zuo'suo'gu'xia'dong'mai 心左锁骨下动脉
'xin'zuo'xin'er 心左心耳
