'bai'bai'po 百白破
'bai'bai'po'lian'he'yi'miao 百白破联合疫苗
'bai'bai'po'yi'miao 百白破疫苗
'bai'hou'kang'du'su 白喉抗毒素
'bai'po 白破
'bai'po'yi'miao 白破疫苗
'bu'bing'yi'miao 布病疫苗
'chang'dao'bing'du'yi'miao 肠道病毒疫苗
'chong'zu'yi'xing'gan'yan'yi'miao 重组乙型肝炎疫苗
'dong'gan'bai'hou'kang'du'su 冻干白喉抗毒素
'dong'gan'jia'xing'gan'yan'jian'du'huo'yi'miao 冻干甲型肝炎减毒活疫苗
'dong'gan'kuang'quan'bing'ren'mian'yi'qiu'dan'bai 冻干狂犬病人免疫球蛋白
'dong'gan'po'shang'feng'kang'du'su 冻干破伤风抗毒素
'dong'gan'po'shang'feng'ren'mian'yi'qiu'dan'bai 冻干破伤风人免疫球蛋白
'dong'gan'ren'yong'kuang'quan'bing'yi'miao 冻干人用狂犬病疫苗
'dong'gan'shui'dou'jian'du'huo'yi'miao 冻干水痘减毒活疫苗
'dong'gan'yi'xing'gan'yan'ren'mian'yi'qiu'dan'bai 冻干乙型肝炎人免疫球蛋白
'duo'tai'yi'miao 多肽疫苗
'fei'yan'qiu'jun'duo'tang'jie'he'yi'miao 肺炎球菌多糖结合疫苗
'fei'yan'yi'miao 肺炎疫苗
'feng'zhen 风疹
'feng'zhen'jian'du'huo'yi'miao 风疹减毒活疫苗
'feng'zhen'yi'miao 风疹疫苗
'gou'duan'luo'xuan'ti'yi'miao 钩端螺旋体疫苗
'guo'chan'yi'miao 国产疫苗
'han'xun'jiao'mu 汉逊酵母
'he'suan'yi'miao 核酸疫苗
'hou'shen'xi'bao 猴肾细胞
'huang're'yi'miao 黄热疫苗
'huo'luan'yi'miao 霍乱疫苗
'ji'hui 脊灰
'ji'hui'yi'miao 脊灰疫苗
'ji'sui'hui'zhi'yan'jian'du'huo'yi'miao 脊髓灰质炎减毒活疫苗
'ji'sui'hui'zhi'yan'mie'huo'yi'miao 脊髓灰质炎灭活疫苗
'jia'gan'yi'gan'lian'he'yi'miao 甲肝乙肝联合疫苗
'jia'gan'yi'miao 甲肝疫苗
'jia'liu'yi'miao 甲流疫苗
'jia'xing'gan'yan'jian'du'huo'yi'miao 甲型肝炎减毒活疫苗
'jia'xing'gan'yan'mie'huo'yi'miao 甲型肝炎灭活疫苗
'jia'xing'yi'xing'gan'yan'lian'he'yi'miao 甲型乙型肝炎联合疫苗
'jia'yi'lian'he'yi'miao 甲乙联合疫苗
'jian'du'er'bei'ti 减毒二倍体
'jian'du'hou'shen 减毒猴肾
'jian'du'huo'yi'miao 减毒活疫苗
'jiao'mu 酵母
'jie'he'jun'su'chun'dan'bai'yan'sheng'wu 结核菌素纯蛋白衍生物
'jin'kou'yi'miao 进口疫苗
'ka'jie'jun'chun'dan'bai'yan'sheng'wu 卡介菌纯蛋白衍生物
'ka'jie'miao 卡介苗
'kang'kuang'quan'bing'xue'qing 抗狂犬病血清
'ke'shi'yong'de'yi'miao 可食用的疫苗
'kou'fu'fu'shi'song'nei'li'ji'shuang'jia'huo'yi'miao 口服福氏宋内痢疾双价活疫苗
'kou'fu'lun'zhuang'bing'du'huo'yi'miao 口服轮状病毒活疫苗
