'bai'xue 白雪
'chi'fa'bai'xue'ji 赤发白雪姬
'chong'ying 充英
'dan'ba'lun'wang'guo 丹巴伦王国
'feng'ban'liang'tai 逢坂良太
'fu'shan'run 福山润
'gang'ben'xin'yan 冈本信彦
'ge'ge 哥哥
'ge'ge'mei'ru'hua 哥哥美如画
'gong'ting'yao'ji'shi 宫廷药剂师
'guang'xiu'lu'en 光秀路恩
'ke'la'li'nie'si'wang'guo 克拉利涅斯王国
'la'ji 垃圾
'la'ji'wang'zi 拉冀王子
'lv'le 绿了
'mei'yuan'yu'yi'lang 梅原裕一郎
'ming'zhong'jia'zhi 名冢佳织
'mu'mu 木木
'mu'mu'sai'lan 木木塞兰
'ou'bi 欧比
'qian'wei'si'ta'li'ya 千威斯塔利亚
'run'run 润润
'shao'nv'xin 少女心
'shi'tou 石头
'wan'jie'sa'hua 完结撒花
'xiao'xi'ke'xing 小西克幸
'yi'ji'shi'yi'ji 一集是一季
'yi'zha'na 伊札那
'zao'jian'sha'zhi 早见沙织
'zhu'ren 主人
