'a'bi'di'yu 阿鼻地狱
'a'gou'a'mao 阿狗阿猫
'a'gu'a'weng 阿姑阿翁
'a'gu'a'weng 阿家阿翁
'a'jiao'jin'wu 阿娇金屋
'a'mao'a'gou 阿猫阿狗
'a'pi'di'yu 阿毗地狱
'a'ping'jue'dao 阿平绝倒
'ai'ai'fu'mu 哀哀父母
'ai'ren 爱人
'ai'zi'kan'xi 矮子看戏
'an'jia'le'ye 安家乐业
'an'le'wo 安乐窝
'an'song'qiu'bo 暗送秋波
'ba'xian'guo'hai'ge'xian'shen'tong 八仙过海各显神通
'ba'zi'mei'yi'pie 八字没一撇
'bai'bei 败北
'bai'dao'zai'shi'liu'qun'xia 拜倒在石榴裙下
'bai'ju'guo'xi 白驹过隙
'bai'long'men'zhen 摆龙门阵
'bai'zu'zhi'chong'si'er'bu'jiang 百足之虫死而不僵
'ban'bu'lun'yu'zhi'tian'xia 半部论语治天下
'ban'jie'shen'zi'ru'tu 半截身子入土
'ban'lao'xu'niang 半老徐娘
'ban'mian'zhi'xiao 半面之效
'bao'han'bu'zhi'e'han'ji 饱汉不知饿汉饥
'bi'men'geng 闭门羹
'bi'shang'bu'zu'bi'xia'you'yu 比上不足比下有余
'bi'yi'shi'ci'yi'shi 彼一时此一时
'bi'zu 鼻祖
'bie'lai'wu'yang 别来无恙
'bie'ren'qian'niu'wo'ba'jue'zi 别人牵牛我拔橛子
'bo'yun'jian'ri 拨云见日
'bu'da'bu'cheng'xiang'shi 不打不成相识
'bu'dao'huang'he'xin'bu'si 不到黄河心不死
'bu'gan'yue'lei'chi'yi'bu 不敢越雷池一步
'bu'guan'san'shi'er'shi'yi 不管三十二十一
'bu'jian'guan'cai'bu'luo'lei 不见棺材不落泪
'bu'jiao'yi'ri'xian'guo 不教一日闲过
'bu'kan'seng'mian'kan'fo'mian 不看僧面看佛面
'bu'ke'tong'ri'er'yu 不可同日而语
'bu'la'ma'de'shi'bing 不拉马的士兵
'bu'nai'fan 不耐烦
'bu'san'bu'si 不三不四
'bu'shi'ren'jian'yan'huo 不食人间烟火
'bu'wei'wu'dou'mi'zhe'yao 不为五斗米折腰
'cheng'wang'cheng'ba 称王称霸
'chong'du'tian'ri 重睹天日
'chui'fan'bai'shi 垂范百世
'ci'bu'da'yi 词不达意
'cuan'duan'ni'ji 窜端匿迹
'da'cai'pan'pan 大才槃槃
'da'gong'wu'si 大公无私
'da'han'xi'ru 大含细入
'da'hao'he'shan 大好河山
'da'sheng'ji'hu 大声疾呼
'da'xiang'jing'ting 大相径庭
'da'you'ke'guan 大有可观
'dai'chai'dai'xing 代拆代行
'dan'da'xin'cu 胆大心粗
'dan'feng'chao'yang 丹凤朝阳
'dan'he'qian'li 惮赫千里
'dan'jing'shou'pa 担惊受怕
'dang'er'bian'feng 当耳边风
'dao'bei'ru'liu 倒背如流
'dao'chi'tai'e 倒持泰阿
'dao'ge'xie'jia 倒戈卸甲
'dao'shou'jiao'han 岛瘦郊寒
'dao'xin'shi'tu 悼心失图
'deng'mu'qiu'yu 登木求鱼
'di'kui'yi'kong 堤溃蚁孔
'di'yang'chu'fan 羝羊触藩
'dian'guang'zhao'lu 电光朝露
'dian'jin'bo'liang 掂斤播两
'dian'jin'fa'shu 点金乏术
'diao'dou'sen'yan 刁斗森严
'diao'er'lang'dang 吊尔郎当
'dong'cha'qi'jian 洞察其奸
'dong'jie'bing'shi 冻解冰释
'dong'la'xi'che 东拉西扯
'dou'su'chi'bu 斗粟尺布
'dou'zhe'she'xing 斗折蛇行
'du'bu'dang'shi 独步当时
'du'neng'hai'xian 妒能害贤
'du'pi'xi'jing 独辟蹊径
'du'shan'qi'shen 独善其身
'du'tou'yi'xing 都头异姓
'du'wu'qiong'bing 黩武穷兵
'duan'he'chuan'jie 短褐穿结
'duan'tou'jiang'jun 断头将军
'duo'de'liang'li 度德量力
'duo'men'er'chu 夺门而出
'e'dang'bi'zhou 阿党比周
'e'dang'xiang'wei 阿党相为
'e'hou'fu'bei 扼喉抚背
'e'ji'zhao'zhu 恶迹昭著
'e'keng'duo'shi 扼吭夺食
'e'mei'hao'chi 蛾眉皓齿
'e'mi'tuo'fo 阿弥陀佛
