'bai'yi 白蚁
'ban'chi'mu 半翅目
'ban'jin'gui 斑金龟
'bang'jiao'jia 棒角甲
'bi'jin'gui 臂金龟
'bian'fu'ke 扁蜉科
'bian'jia 扁甲
'bian'jia'zong'ke 扁甲总科
'bian'ni'jia 扁泥甲
'bian'yuan'jia 扁圆甲
'bu'jia 步甲
'cao'ling 草蛉
'chang'bian'jia 长扁甲
'chang'chi'mu 长翅目
'chang'du 长蠹
'chang'du'zong'ke 长蠹总科
'chang'jing'jia 长颈甲
'chang'ni'jia 长泥甲
'chang'xiu'mu'jia 长朽木甲
'chang'yan'jia 长阎甲
'chi'chi'jia 赤翅甲
'chi'jia 豉甲
'chi'ling 齿蛉
'chong'ba 虫八
'cu'jiao'kou'jia 粗角叩甲
'da'hua'zao 大花蚤
'da'xun'jia 大蕈甲
'dan'fu'jia 单跗甲
'dan'wei'mu 弹尾目
'deng'chi'mu 等翅目
'di'kou'jia 地叩甲
'die'jiao'ling 蝶角蛉
'die'ling 蝶蛉
'dou'niang 豆娘
'duo'shi'ya'mu 多食亚目
'fang'xiong'jia 方胸甲
'fang'zu'mu 纺足目
'fei'lian 蜚蠊
'fei'lian'mu 蜚蠊目
'fei'shi 飞虱
'fen'du 粉蠹
'fen'jin'gui 粪金龟
'fen'ling 粉蛉
'fen'shi 粉虱
'fu'bian'jia 复变甲
'fu'bu'de'gou'zao 腹部的构造
'fu'jin'gui 蜉金龟
'fu'ni'chong 负泥虫
'fu'you 蜉蝣
'fu'you'mu 蜉蝣目
'ge'chi'mu 革翅目
'gong'chong'gang 蚣虫纲
'gu'chi'lei 古翅类
'gu'dao 谷盗
'guang'chi'mu 广翅目
'guo'gong'jia 郭公甲
'guo'gong'jia'zong'ke 郭公甲总科
'he'ling 褐蛉
'hei'qiang 黑蜣
'hong'jin'gui 红金龟
'hong'ying 红萤
'hu'feng 胡蜂
'hu'jia 虎甲
'hua'jia 花甲
'hua'jia'zong'ke 花甲总科
'hua'jin'gui 花金龟
'hua'ying 花萤
'hua'ying'zong'ke 花萤总科
'hua'zao 花蚤
'huang'chong 蝗虫
'huang'xiong'jia 黄胸甲
'ji'chi'mu 襀翅目
'ji'ding'chong'zong'ke 吉丁虫总科
'ji'ding'jia 吉丁甲
'ji'feng 姬蜂
'ji'hua'jia 姬花甲
'ji'ju'jia 寄居甲
'ji'ma 蓟马
'jia'chong 甲虫
'jian'feng 茧蜂
'jiao'chan 角蝉
'jiao'jia 角甲
'jie'ke'chong 蚧壳虫
'jin'gui 金龟
'jin'gui'zong'ke 金龟总科
'jing'ling 旌蛉
'ju'chi'ling 巨齿蛉
'ju'gu'dao 锯谷盗
'ju'jia 距甲
'juan'xiang 卷象
'kai'jia 铠甲
'kou'jia 叩甲
'kou'jia'zong'ke 叩甲总科
'kun'chong'fen'lei'xue 昆虫分类学
'kun'chong'gang 昆虫纲
'kun'chong'sheng'wu'xue 昆虫生物学
'kun'chong'xing'tai'xue 昆虫形态学
'la'ban'jia 蜡斑甲
'la'chan 蜡蝉
'li'jin'gui 丽金龟
'liang'chi'ling 亮翅蛉
'liang'qi'jia 两栖甲
'lin'chi'mu 鳞翅目
'lin'ling 鳞蛉
'liu'zu'zong'gang 六足总纲
'long'shi 龙虱
'lou'gu 蝼蛄
'lu'wei'jia 露尾甲
'mai'chi'mu 脉翅目
'mai'zang'jia 埋葬甲
'mao'chi'mu 毛翅目
'mao'ni'jia 毛泥甲
'mao'xin'jia 毛薪甲
'mao'xun'jia 毛蕈甲
'mi'feng 蜜蜂
'mi'zang'jia 觅葬甲
'mo'chan 沫蝉
'mo'chi'mu 膜翅目
'mu'feng 木蜂
'mu'shi 木虱
'ni'bu'jia 拟步甲
'ni'bu'jia'zong'ke 拟步甲总科
'ni'hua'ying 拟花萤
'ni'jia 泥甲
