'a'mu'ze'wan'lie 阿母责顽劣
'a'yi'gong'shu'bai 阿姨共叔伯
'ai'yue'ren'jian'nai'ci'qing 哀乐人间奈此情
'ai'yue'wu'duan'wang'fei'qing 哀乐无端枉费情
'an'che'jin'qian'sheng'hui'kai 暗撤金钱盛会开
'an'man'ying'wu 暗瞒鹦鹉
'an'shou'xiang'dao'fang'ying'wu 暗收香稻防鹦鹉
'an'xiang'dang'shi 暗想当时
'ba'ba'zai'chang'li 爸爸在厂里
'ba'huang'feng'yu'yan'ji'ming 八荒风雨咽鸡鸣
'ba'qiao'meng'can 灞桥梦残
'ba'shan'jin'ye'yu 巴山今夜雨
'ba'yue'li'mu'fu 八月离母腹
'bai'cao'qian'hua'ling'luo'jin 百草千花零落尽
'bai'cao'qian'hua'qing'xie'hou 百草千花情谢后
'bai'chi'gao'lou'shu'ren'qiang 百尺高楼数仞墙
'bai'xi'ren'jie'dao 白晰人皆道
'ban'du'ke 伴独客
'ban'ri'yin'qing 半日阴晴
'ban'wu'jia'bin'ren'si'yu 伴舞嘉宾人似玉
'ban'ye'da'sheng'chao 半夜大声吵
'bao'jing'chen'hun 宝镜尘昏
'bao'zhuan'nan'xiao'chang'ri'hen 宝篆难销长日恨
'bao'zu'hai'fu'ke 抱足还抚髁
'bei'jia'chui'duan'li'qing 悲笳吹断离情
'bei'jia'chui'qi 悲笳吹起
'bei'jiu'chou'xiang'xiang 杯酒愁相向
'bei'jiu'dai'huan'bei'liang 杯酒待换悲凉
'bei'luo'wei'qian'huan'ren'shu 背罗帷前欢忍数
'bei'wang'jing'hua 北望京华
'bi'fu'ye'zi'gao 敝服曳缁缟
'bi'hai'yuan'shen 碧海冤深
'bi'han'gu'guan 闭寒孤馆
'bi'kan'yao'ti'lou'shi'er 碧槛瑶梯楼十二
'bi'lan'gan'wai'yu'ru'si 碧阑干外雨如丝
'bi'shu'yi'diao'fang'cao'xie 碧树已调芳草歇
'bi'shui'zhu'qiao'ji'xi'you 碧水朱桥记昔游
'bi'tui'jiu'luo'yi 碧褪旧罗衣
'bi'wa'fen'fen 碧瓦纷纷
'bi'wu'ting'jiao'yu'piao'liang 碧梧庭角雨飘凉
'bi'wu'zhi 碧梧枝
'bi'xue'ru'tai 碧血如苔
'bi'yun'si'he'shan'wu'shu 碧云四合山无数
'bian'shang'bie'shang'chun 便伤别伤春
'bian'wang'jin'tian'ya'lu 便望尽天涯路
'bian'yi'pian 便一片
'bian'zhu'deng'piao'meng 便珠灯飘梦
'biao'lun'fei'gu'gong'lei'yin 猋轮飞毂共雷殷
'biao'qing'wan'tai'shu 表情万态殊
'biao'sheng'zhong'yin'duo 表声众音哆
'bie'hou'guan'he'qiu'you'mu 别后关河秋又暮
'bie'hou'xiang'jia'jia 别后想家家
'bie'hou'xiang'si'jun'mo'guan 别后相思君莫管
'bie'huai'chang 别怀长
'bie'jiu'yin'xi'xin'ren'bian 别久音稀心忍变
'bie'lai'piao'bo'jiu 别来飘泊久
'bie'lai'wu'lei'shi'liu'guang 别来无泪湿流光
'bie'meng'cheng'yun 别梦成云
'bie'yuan'fei'hua 别院飞花
'bin'si'mei'e'ge'piao'ling 鬓丝眉萼各飘零
'bin'yun'ji'du'lin'feng'luan 鬓云几度临风乱
'bin'yun'mei'dai'ji'duo'qing 鬓云眉黛几多青
'bing'dao'ru'shui'sen'cheng'lie 并刀如水森成列
'bing'dao'si'shui 并刀似水
'bing'ge'yuan'sai'tie'yi'han 兵戈远塞铁衣寒
'bing'huai'jin'de'ji'xiao'mo 病怀禁得几销磨
'bing'huai'xiao'jin'xi'shi'kuang 病怀消尽昔时狂
'bing'wei'jing'qi'dui'can'gang 病帷惊起对残釭
'bing'xue'geng'chou'xi'qu'lu 冰雪更愁西去路
'bing'zhen'chou'hui'jiang'shang'zhao 病枕愁回江上棹
'bing'zhen'hun'deng'bu'zi'liao 病枕昏灯不自聊
'bing'zhen'ren'xiao'shou 病枕人消瘦
'bing'zhong'xiao'xi 病中消息
'bing'zhu'fan'yi'meng'mei 秉烛翻疑梦寐
'bo'can'jin'yan 拨残烬焰
'bo'leng'lu'hui'wei'shui 拨冷炉灰未睡
'bo'miao'miao 波渺渺
'bo'xing 薄倖
'bo'you'fu'zui'ye'ting'ge 薄游扶醉夜听歌
'bo'zhou'qing'cha 薄粥清茶
'bu'bi'dang'chu'jian 不比当初见
'bu'bi'nian'shi'kong 不比年时空
'bu'cheng'xiang'yi'dan'xiang'wang 不成相忆但相忘
'bu'ci'chang'duan'xie'li'qing 不辞肠断写离情
'bu'ci'geng'xiang'jiang'tou'zhu 不辞更向江头住
'bu'ci'kuan'dai'yan 不辞宽带眼
'bu'duan'chou'lai'lu 不断愁来路
'bu'fang'yu'xin'fei'qing'cai 不妨庾信费清才
'bu'fen'liu'li'hai'yuan'bie 不分流离还远别
'bu'feng'yun'wai'xin 不逢云外信
'bu'gan'jiang'nan'qu 不敢江南去
'bu'guan'bei'fen'ge 不管辈分隔
'bu'guan'qiu'feng'chi'yu'zhou 不管秋风迟与骤
'bu'ji'chou'bian 不寄愁边
'bu'ji'qing'qin'ji'yu'shi 不记青禽寄语时
'bu'ji'xi'feng'xin 不寄西风信
'bu'jian'bei'yin'chu'ke 不见悲吟楚客
'bu'jian'ye'ye'mian 不见爷爷面
'bu'jin'rou'qing'ying'xi'shuo 不尽柔情应细说
'bu'pa'wu'ya'zhao 不怕舞牙爪
'bu'qian'yi'luo'wa'sheng'chen 步千驿罗袜生尘
'bu'shang'ceng'lou 不上层楼
'bu'si'jiang'nan 不似江南
'bu'suan'zi 卜算子
'bu'sui'fu'mu'gui 不随父母归
'bu'xi'jing'zhong'mei'jian'cui 不惜镜中眉减翠
'bu'xi'liu'nian'hong'jiu'bie 不惜流年烘久别
'bu'xi'pin'hui'gu 不惜频回顾
'bu'xi'zhu'xin'yi 不喜著新衣
'bu'xin'you'ren 不信游人
'bu'xu'de'yi'chai'dian'yue 不须得意钗钿约
'bu'yi'po'lu'gu'li 不忆蒪鲈故里
'bu'zuo'sang'xia'xi 不作桑下惜
'cai'de'jian'guan'chong'jian 才得间关重见
'cai'die'luo'qin'wei'zhu'cha 才叠罗衾未煮茶
'cai'jian'wu'se 彩笺无色
'cai'qu'wen'gui'xi 才去问归夕
'cai'yan'piao'ling 彩燕飘零
'cai'yi'yue'se 才移月色
'can'meng'wu'chun 残梦无春
'can'ti'xiao'shan 残题小扇
'can'xiao'liu'de'deng'qian'ying 残宵留得灯前影
'can'zhao'guan'he'qiu'yu'mu 残照关河秋欲暮
'can'zhuan'he'hui'zai'bo 残篆和灰再拨
'cang'huang'lin'jian'dao 仓皇临间道
'cang'mang'wu'ji 苍茫无极
'cha'chi'huo'huan 茶迟火缓
'cha'xing'lian'cai'you'mei'ren 差幸怜才有美人
'cha'yan'wai 茶烟外
