'a'xiu 阿修
'ai'dai'er'hai'te 爱戴尔海特
'ai'sen 艾森
'an'di 安迪
'an'fu 暗拂
'ba'qiang 八锖
'ba'shen 八神
'ba'shen'an 八神庵
'ba'shen'an'wu'di 八神庵无敌
'ba'shen'wu'di 八神无敌
'ba'wang'xiang'hou'quan 霸王翔吼拳
'ba'zhi'nv 八稚女
'bai'ba'shi'er'shi 百八拾贰式
'ban'qi 坂崎
'ban'qi'liang 坂崎良
'ban'qi'liao 坂崎獠
'ban'qi'you'li 坂崎由莉
'ban'qi'zuo'mo 坂崎琢磨
'bi'li 比利
'bo'ge 波格
'bu'zhi'huo'wu 不知火舞
'cai'bao'jian 蔡宝健
'cai'bao'qi 蔡宝奇
'cao'ti 草薙
'cao'ti'chai'zhou 草薙柴舟
'cao'ti'jing 草薙京
'cao'ti'liu'gu'wu'shu 草薙流古武术
'chen'guo'han 陈国汗
'chen'ke'han 陈可汗
'chui'fei 吹飞
'da'fang'ji 打防技
'da'men'wu'lang 大门五郎
'da'she 大蛇
'da'she'ti 大蛇薙
'dang'shen 当身
'dong'zhang 东丈
'du'le'tu 独乐屠
'du'yao 毒咬
'dui'kong 对空
'duo'long 堕珑
'duo'ze 多择
'er'jie'tang 二阶堂
'er'jie'tang'hong'wan 二阶堂红丸
'er'ze 二择
'fa'yong 罚咏
'fan'ji 返技
'fang'yu'bu'neng 防御不能
'fang'yu'fan'ji 防御反击
'fang'yu'qie'huan 防御切换
'fei'xing'dao'ju 飞行道具
'feng'lin'yang 凤麟阳
'gao'ni'ci 高尼茨
'gu'la'gu 古拉古
'gu'na 古娜
'gui'bu 鬼步
'gui'shao 鬼烧
'hong'fei 轰飞
'hou'huo 候活
'hu'fu 虎伏
'huang'yao 荒咬
'huo'hua'de 霍华德
'huo'ji 祸忌
'huo'si 霍斯
'ji'lie'si 基烈寺
'ji'lie'zhi 基烈治
'ji'si 吉丝
'ji'si 吉斯
'ji'xian'liu 极限流
'jie'si 杰斯
'jin'jia'fan 金家藩
'jiu'shang 九伤
'ke'la'ke 克拉克
'ke'li'si 克里斯
'ku'la 库拉
'kui'hua'san'shi 葵花三式
'la'er'fu 拉尔夫
'la'lu'fu 拉鲁夫
'li'an'na 莉安娜
'lian'ji 连击
'lian'xie'ji 连携技
'lian'xin 莲欣
'lian'xu'ji 连续技
'long'che 胧车
'long'er 龙二
'long'she 龙射
'lu'jia'er 卢嘉尔
'lu'si 露丝
'luan'wu 乱舞
'luo'ba 罗拔
'luo'bo'te 罗伯特
'ma'gong 麻宫
'ma'gong'ya'dian'na 麻宫雅典娜
'ma'ke'xi'mu 玛克西姆
'mai'si'ma 麦斯玛
'mai'zhuo 麦卓
'mei'le 美乐
'mi'zhuo 米卓
'mu'ya 目押
'nai'luo'luo 奈落落
'po'fang 破防
'qi'chuan 砌穿
'qi'jia'she 七枷社
'qi'lai 七濑
'qi'shi'wu'shi'gai 七十五式改
'qin'yue'yang 琴月阳
'qin'yue'yin 琴月阴
'quan'dong 全动
'quan'huang 拳皇
'quan'xun 全勋
'san'jiao'tiao 三角跳
'shan'qi 山崎
'shan'qi'long'er 山崎龙二
'shang'duan 上段
'shen'chen 神尘
'shen'le 神乐
'shen'le'ma'gui 神乐麻贵
'shen'le'qian'he 神乐千鹤
'shen'le'wan'gui 神乐万龟
'shen'wu 神武
'sheng'long 升龙
'shi'chui'zhen'wu 矢吹真吾
'shou'shen 受身
'shuo'tie 铄铁
'si'lu'mei 丝露美
'suo'wa'lei 索瓦雷
'tai'li 泰利
'te'rui 特瑞
'teng'tang'long'bai 藤堂龙白
'teng'tang'xiang'cheng 藤堂香澄
'tou'ji 投技
'wei'pu 薇璞
'wei'si 薇丝
'wu'jie 无界
'wu'shi 无式
'wu'xia 无下
'wu'xian'lian 无限连
'xi'dun 希顿
'xia'duan 下段
'xia'er'mi 夏尔米
'xiang'cheng 香澄
'xiao'feng 销风
'ya'bai 亚柏
'ya'dian'na 雅典娜
'yi'dong'tou 移动投
'yi'ge'ni'si 伊格尼斯
'you'ji 有纪
'yu'si 域思
'zhen'wu 真吾
'zhen'yuan'zhai 镇元斋
'zhi'ling'tou 指令投
'zhui'jia 追加
'zhui'quan'chong 椎拳崇
'zi'yuan 紫苑
'zui'yong 罪咏
