'bai'luan 白卵
'bai'luan'xian'gou'huang'yun 白卵线沟黄晕
'bai'pi'bai'rou 白皮白肉
'bai'pi'bian'bo 白皮边薄
'bai'pi'hong'rou 白皮红肉
'bai'rou'cui'tian 白肉脆甜
'bai'rou'hen'cui 白肉很脆
'bai'rou'jin'tian 白肉紧甜
'bai'rou'mian'ruan'tian 白肉绵软甜
'bai'rou'qing'cui 白肉清脆
'bai'rou'qing'cui'shuang'tian 白肉清脆爽甜
'bai'rou'qing'cui'tian 白肉清脆甜
'bai'rou'song'cui 白肉松脆
'bai'rou'su'mian'tian 白肉酥绵甜
'bai'tuo 白椭
'bai'tuo'xian'gou 白椭线沟
'bai'yuan 白圆
'bai'zhang'luan 白长卵
'bai'zhou'pi 白皱皮
'bao'cun 保存
'bian'yuan'qian'huang 扁圆浅黄
'bo'pi 薄皮
'bo'yang'jiu 博洋九
'bu'kong'xin 不空心
'bu'lie 不裂
'bu'tian 不甜
'bu'zhong 补种
'chang'bai'xian'gou 长白线沟
'chang'hei'an'hua 长黑暗花
'chang'hui'pi 长灰皮
'chang'lv'hua 长绿花
'chang'tuo'wang 长椭网
'cheng'rou 橙肉
'chun'bo'biao'xian 春播表现
'chun'bo'tian'jian'biao'xian 春播田间表现
'cui'li 脆梨
'cui'tian 脆甜
'cun'pei 存配
'da'hua'qi 大花脐
'dan'lv'pi'bian'hou 淡绿皮边厚
'dan'lv'rou'cui'shuang'tian 淡绿肉脆爽甜
'di'se'qian 底色浅
'duan'tuo'xi'hua 短椭细花
'duo'zhi 多汁
'fen'bie'xuan'chu'lai 分别选出来
'fen'rou 粉肉
'fen'rou'su 粉肉酥
'fen'rou'su'cui 粉肉酥脆
'fen'rou'su'cui'duo'zhi 粉肉酥脆多汁
'fen'rou'su'cui'hen'tian'duo'zhi 粉肉酥脆很甜多汁
'fen'rou'su'cui'qi'sha 粉肉酥脆起沙
'fen'rou'su'cui'tian 粉肉酥脆甜
'fen'rou'su'duo'zhi 粉肉酥多汁
'fen'rou'su'lue'mian 粉肉酥略绵
'fen'rou'su'lue'mian'jin 粉肉酥略绵紧
'fen'rou'su'song 粉肉酥松
'fen'rou'su'song'bu'tian 粉肉酥松不甜
'fen'rou'su'song'tian 粉肉酥松甜
'fen'rou'su'tian'lue'mian 粉肉酥甜略绵
'fen'rou'su'xi'song'ruan 粉肉酥细松软
'fen'rou'xi'su'shuang'kou 粉肉细酥爽口
'gan'qiang 干腔
'gao'yuan 高圆
'gao'yuan'hua 高圆花
'gao'yuan'lv'hua 高圆绿花
'gao'yuan'lv'hua'la'fen 高圆绿花腊粉
'gao'yuan'mo'an'hua'la'fen 高圆墨暗花腊粉
'gao'yuan'mo'an'xi'hua 高圆墨暗细花
'gao'yuan'xi'hua 高圆细花
'gao'yuan'xi'luan'hua 高圆细乱花
'gong'jin 公斤
'guan'cha'chan'liang 观察产量
'guo'bing'chu'you'lv'tiao'wen'tai'ji 果柄处有绿条纹胎记
'guo'da 果大
'guo'shao'da 果稍大
'guo'shu'zi'qiang'qi'pi 过熟籽腔起皮
'guo'xiao 果小
'he'zi 褐籽
'hei'he'zi 黑褐籽
'hei'hua'zi 黑花籽
'hei'pi'tian'wang 黑皮甜王
'hei'zi 黑籽
'hong'rou 红肉
'hong'rou'cui 红肉脆
'hong'rou'cui'lue'mian 红肉脆略绵
'hong'rou'cui'tian 红肉脆甜
'hong'rou'jin'su 红肉紧酥
'hong'rou'kong'xin 红肉空心
'hong'rou'mian'jin 红肉绵紧
'hong'rou'qing'cui'lue'jin 红肉清脆略紧
'hong'rou'song'cui 红肉松脆
'hong'rou'su 红肉酥
'hong'rou'su'cui 红肉酥脆
'hong'rou'su'cui'fan'huang 红肉酥脆泛黄
'hong'rou'su'cui'pian'cui'tian 红肉酥脆偏脆甜
'hong'rou'su'cui'tian 红肉酥脆甜
'hong'rou'su'hen'tian'lue'mian 红肉酥很甜略绵
'hong'rou'su'jin 红肉酥紧
'hong'rou'su'jin'tian 红肉酥紧甜
'hong'rou'su'tian 红肉酥甜
'hua'chang'tong 花长桶
'hua'tiao'kuan 花条宽
'hua'tiao'zheng'qi 花条整齐
'huang'bian'yuan 黄扁圆
'huang'luan 黄卵
'huang'luan'tuo 黄卵椭
'huang'luan'wang'shao 黄卵网少
'huang'pi'an'hua 黄皮暗花
'huang'pi'hong'rou 黄皮红肉
'huang'pi'hong'rou'cui'jin 黄皮红肉脆紧
'huang'rou 黄肉
'huang'rou'cui 黄肉脆
'huang'rou'su'song 黄肉酥松
'huang'rou'su'tian 黄肉酥甜
'huang'rou'tian 黄肉甜
'huang'tuo 黄椭
'huang'tuo'quan'wang 黄椭全网
'huang'tuo'wang 黄椭网
'huang'yuan 黄圆
'huang'yuan'hong'rou'su'cui 黄圆红肉酥脆
'huang'yun 黄晕
'huang'zi 黄籽
'hui'bai'pi 灰白皮
'hun'shou 混收
'hun'shou'bei'yong 混收备用
'ji'ben'wen'ding 基本稳定
'jia'dai 加代
'jia'pei 加配
'jiao'kang 较抗
'jin'ying'cui 紧硬脆
'kang'bing 抗病
'kong'xin 空心
'kou'gan'hao 口感好
'la'fen 腊粉
'la'fen 蜡粉
'la'fen'pi'bao 腊粉皮薄
'la'fen'pi'bao'cui 蜡粉皮薄脆
'lie'kou 裂口
'lie'kou'lie'guo 裂口裂果
'lue'jin 略紧
'lv'chang'xi'luan'hua 绿长细乱花
'lv'pi'bian 绿皮边
'lv'pi'bian'shao'hou 绿皮边稍厚
'lv'rou'su 绿肉酥
'lv'rou'su'hou 绿肉酥厚
'lv'tuo'xi'luan'hua 绿椭细乱花
'lv'yuan'hua 绿圆花
'lv'yuan'hua'la'fen 绿圆花蜡粉
'lv'yuan'xi'luan'hua 绿圆细乱花
'lv'zhang'hua 绿长花
'ma'zi 麻籽
'man'duan 蔓短
'mo'an'hua'tuo 墨暗花椭
'mo'an'hua'yuan 墨暗花圆
'mo'duan'tuo'an'hua 墨短椭暗花
'mo'tuo'an'hua 墨椭暗花
'mo'yuan 墨圆
'mo'yuan'an'hua 墨圆暗花
'mo'yuan'an'hua'la'fen 墨圆暗花蜡粉
'mo'yuan'an'hua'you'pi'bao 墨圆暗花油皮薄
'nai'lie 耐裂
'nian'xia'bo'biao'xian 年夏播表现
'nong'fen'rou'jin'cui 浓粉肉紧脆
'nong'fen'rou'su 浓粉肉酥
'nong'fen'rou'su'cui 浓粉肉酥脆
'nong'fen'rou'su'lue'song'tian 浓粉肉酥略松甜
'nong'fen'rou'su'tian 浓粉肉酥甜
'nong'fen'rou'xi'su'song 浓粉肉细酥松
'pi'bao 皮薄
'pi'bao'cui 皮薄脆
'pi'bao'hen'ren 皮薄很韧
'pi'bao'jiao'ren 皮薄较韧
'pi'bao'jiao'ren'nai'lie 皮薄较韧耐裂
'pi'bao'nai'lie 皮薄耐裂
'pi'bao'ren 皮薄韧
'pi'bao'shao'cui 皮薄稍脆
'pi'bao'ying'ren 皮薄硬韧
'pi'cui 皮脆
'pi'hen'bao'jiao'ren 皮很薄较韧
'pi'hen'bao'ren 皮很薄韧
'pi'hen'bao'ying'ren 皮很薄硬韧
'pi'hen'ren 皮很韧
'pi'hen'ying'ren'shen'hong'rou'su'tian 皮很硬韧深红肉酥甜
'pi'ji'bo 皮极薄
'pi'ren 皮韧
'pi'shao'hou'jiao'ren 皮稍厚较韧
'pi'shao'hou'ying'ren 皮稍厚硬韧
'pi'yi'lie 皮易裂
'pi'ying 皮硬
'pi'ying'ren 皮硬韧
'pou'mian'hao 剖面好
'qi'leng 起棱
'qian'lv'pi'bian 浅绿皮边
'qing'bai'pi 青白皮
'qing'bai'pi'xian'gou 青白皮线沟
'qiu'ji'xiao'fan 秋季小繁
'rou'hong 肉红
'rou'hong'su'sha 肉红酥沙
'rou'hong'su'tian'lue'mian 肉红酥甜略绵
'rou'su 肉酥
'sha'tian'mi 沙甜蜜
'shang'tang'zao 上糖早
'shang'wang 上网
'shang'xi'wang 上稀网
'shao'mian 稍绵
'shen'hong'rou 深红肉
'shen'hong'rou'jin'cui'ying 深红肉紧脆硬
'shen'hong'rou'su'cui'tian 深红肉酥脆甜
'shen'hong'rou'su'jin 深红肉酥紧
'shen'hong'rou'su'sha 深红肉酥沙
'sheng'gua'lie'guo 生瓜裂果
'shi'he'qiu'ji'zhi'gen 适合秋季直根
'shi'qiang 湿腔
'shu'hou'yi'zhou'cai'ce 熟后一周采测
'si'mu'ben 似母本
'si'xiao'bao'mo'duan'an'hua 似小宝墨短暗花
'si'yang 死秧
'song'cui'tian 松脆甜
'su'cui 酥脆
'suan'tian 酸甜
'tang'du'gao 糖度高
'tao'hong'rou'su'song 桃红肉酥松
'ti'gong 提供
'tiao'dai'xi'zheng'qi 条带细整齐
'tuo'hua 椭花
'tuo'hua'pi'ying'ren 椭花皮硬韧
'tuo'huang'an'hua 椭黄暗花
'tuo'kuan'qian'tiao'dai 椭宽浅条带
'tuo'lv'xi'hua 椭绿细花
'tuo'mo'an'hua 椭墨暗花
'tuo'xi'hua 椭细花
'tuo'yuan 椭圆
'tuo'yuan'hei'pi 椭圆黑皮
'tuo'yuan'mo'lv'an'hua 椭圆墨绿暗花
'wan'shu 晚熟
'wang'gou 网购
'wang'gou'pin'zhong 网购品种
'wang'xi 网稀
'wu'miao 无苗
'xi'hua'yuan 细花圆
'xia'bo'biao'xian 夏播表现
'xian'gou 线沟
'xiang'si 相似
'xiang'tian 香甜
'xiao'he'zi 小褐籽
'xiao'hei'zi 小黑籽
'xing'bao'man 形饱满
'xing'hao 形好
'xing'shun 形顺
'xing'shun'pi'ren 形顺皮韧
'xuan'yu 选育
'ye'yuan'hua 叶缘花
'yi'cai'shou 已采收
'yi'lie 易裂
'yi'lie'guo 易裂果
'yi'lie'kou 易裂口
'yi'si'mu'ben 疑似母本
'ying'du'hao 硬度好
'you'jiu'wei 有酒味
'you'leng 有棱
'you'li'xing 有梨形
'you'lie'guo 有裂果
'you'lie'guo'lie'xin 有裂果裂心
'you'pi'bao'cui 油皮薄脆
'you'pi'bao'shao'cui 油皮薄稍脆
'you'tian'wei 有甜味
'you'tu'xian 有凸线
'yu'huang'pi'huang'rou 育黄皮黄肉
'yuan'hua 圆花
'yuan'hua'la'fen 圆花腊粉
'yuan'hua'la'fen 圆花蜡粉
'yuan'mo'an'hua 圆墨暗花
'yuan'shun'bao'man 圆顺饱满
'yuan'xi'hua 圆细花
'yuan'xi'luan'hua 圆细乱花
'yuan'xing'ji'xi'tiao'dai 圆形极细条带
'zao'shu 早熟
'zao'shu'xiao'guo 早熟小果
'zhang'shi'qiang 长势强
'zhong'dian 重点
'zhuan'huan'wan 转换晚
'zi'qiang'da 籽腔大
'zi'qiang'shao'da 籽腔稍大
'zi'qiang'xiao 籽腔小
