'bei'da'yi'ba'zhang 被打一巴掌
'bu'shuang 不爽
'de'yi 得意
'fa'xian 發現
'fang'da'ban 放大版
'fang'hao 放好
'huai'yi 懷疑
'jiao'hua 狡猾
'jing'he 驚嚇
'jing'ya 驚訝
'ke'dou 蝌蚪
'man'zu 滿足
'mao'mi'lian 貓咪臉
'mo'ban'fa 沒辦法
'mo'nai 無奈
'mo'shui'xing 沒睡醒
'mo'yan 無言
'qian'bei 乾杯
'sheng'qi 生氣
'wo'niu 蝸牛
'wo'xiang'xiang 我想想
'zhang'lang 蟑螂
'zhang'yu 章魚
'zhong'chuang 重創
'zhong'zhi'tu 中指凸
'zhu'tou 豬頭
'zhuang'sha 裝傻
