'a'bi'zun 阿鼻尊
'a'ding'zai 阿丁仔
'a'ma 阿马
'a'shao'zai 阿烧仔
'ai'ling'ling 爱灵灵
'ai'shi'jian 哀世间
'an'zhi'jun'shi 暗之军势
'ao'da'zong 翱大宗
'ao'jue 傲绝
'ao'ying 敖鹰
'ba'hong'su'yi 八纮稣浥
'ba'zu'yuan'ren 八足原人
'bai'bi'qiu 白比丘
'bai'chou'sheng 白丑生
'bai'huo'zu'zhang 拜火族长
'bai'lang 白狼
'bai'li'xiao'xiang 百里潇湘
'bai'qi 白绮
'bai'xue'zong 百雪踪
'bai'yu'wu'xia 白玉无瑕
'ban'feng'xiao 伴风宵
'bao'lei'quan 暴雷拳
'bei'bu'wen 悲不闻
'bei'jing'wang 北竞王
'bei'ming'feng'yu 北冥封宇
'bei'ming'hua 北冥华
'bei'ming'huang'yuan 北冥皇渊
'bei'ming'jiao'xiong 北冥骄雄
'bei'ming'ling'ji 北冥玲姬
'bei'ming'liu'jun 北冥流君
'bei'ming'shang 北冥觞
'bei'ming'wu'hen 北冥无痕
'bei'ming'yi 北冥异
'bei'ming'zhen 北冥缜
'biao'xing'fei'zhe 飙刑飞折
'bie'li'yan 别离燕
'bie'xiao'lou 别小楼
'bing'yang'sheng 病养生
'bing'zhang 兵长
'bo'han'jun 薄寒君
'bu'qing'yun 步清云
'bu'tian'zong 步天踪
'bu'xiao'ting 步霄霆
'can'can 惭参
'cang'cang 苍苍
'cang'jing'ren 藏镜人
'cang'yan'wen 藏艳文
'cang'yue'gu'ming 苍越孤鸣
'ce'jun 策君
'ce'tian'feng 策天凤
'cha'ha'lei 嚓哈雷
'cha'luo 叉猡
'cha'mo 茶末
'chai'tian'dao'mo 柴田道末
'chang'qin'wu'yan 长琴无焰
'chang'xin 常欣
'chi'tian'quan 赤天犬
'chi'yan'tian 炽阎天
'chi'yu'xin'zhi'jie 赤羽信之介
'chong'wu'ju'fu 崇吾举父
'chou'hua'gang 仇化罡
'chou'kong'ming 丑孔明
'chu'chan'xin 初禅心
'chu'shi'li'liang 初始力量
'chu'yun'neng'huo 出云能火
'chun'tao 春桃
'da'jiang'shi 大匠师
'da'tou'gui'wang 大头鬼王
'dan'kua 单夸
'dan'yang'hou 丹阳侯
'dang'shen'mie 荡神灭
'dao'cai'sheng 盗才生
'dao'que'wang'chen 刀缺忘尘
'dao'wu'fa 道无法
'di'hua'ti'ye 荻花题叶
'di'su 地宿
'diao'yan'bo 钓烟波
'diao'yu'qing 貂玉青
'die'wu 蝶舞
'ding'ling'shuang 丁凌霜
'ding'piao'sheng 定飘生
'dong'fang'qiu'yu 东方秋雨
'dong'jian'dao 东剑道
'dong'men'zhao'ri 东门朝日
'dou'jiao'xi 斗角犀
'du'jiang'qing 渡江卿
'du'qian'feng 杜千锋
'du'yan'long 独眼龙
'duan'huang'ku 断荒苦
