'bei'tao'qi'xiang'mu 被套期项目
'ben'nian'li'run 本年利润
'cai'liao'cai'gou 材料采购
'cai'liao'cheng'ben'cha'yi 材料成本差异
'cai'wu'fei'yong 财务费用
'chang'qi'dai'tan'fei'yong 长期待摊费用
'chang'qi'gu'quan'tou'zi 长期股权投资
'chang'qi'gu'quan'tou'zi'jian'zhi'zhun'bei 长期股权投资减值准备
'chang'qi'gu'quan'tou'zi'sun'yi'tiao'zheng 长期股权投资损益调整
'chang'qi'gu'quan'tou'zi'tou'zi'cheng'ben 长期股权投资投资成本
'chang'qi'jie'kuan 长期借款
'chang'qi'jie'kuan'ben'jin 长期借款本金
'chang'qi'jie'kuan'li'xi'tiao'zheng 长期借款利息调整
'chang'qi'ying'fu'kuan 长期应付款
'chang'qi'ying'shou'kuan 长期应收款
'chi'you'dai'shou'fu'zhai 持有待售负债
'chi'you'dai'shou'zi'chan 持有待售资产
'chi'you'dai'shou'zi'chan'jian'zhi'zhun'bei 持有待售资产减值准备
'cun'huo'die'jia'zhun'bei 存货跌价准备
'dai'chu'li'cai'chan'sun'yi 待处理财产损溢
'di'yan'shou'yi 递延收益
'di'yan'suo'de'shui'fu'zhai 递延所得税负债
'di'yan'suo'de'shui'zi'chan 递延所得税资产
'duan'qi'jie'kuan 短期借款
'fa'chu'shang'pin 发出商品
'fei'yong'hua'zhi'chu 费用化支出
'gong'cheng'wu'zi 工程物资
'gong'yun'jia'zhi'bian'dong'sun'yi 公允价值变动损益
'gu'ben 股本
'gu'ding'zi'chan 固定资产
'gu'ding'zi'chan'jian'zhi'zhun'bei 固定资产减值准备
'gu'ding'zi'chan'qing'li 固定资产清理
'guan'li'fei'yong 管理费用
'he'tong'fu'zhai 合同负债
'he'tong'lv'yue'cheng'ben 合同履约成本
'he'tong'lv'yue'cheng'ben'jian'zhi'zhun'bei 合同履约成本减值准备
'he'tong'qu'de'cheng'ben 合同取得成本
'he'tong'qu'de'cheng'ben'jian'zhi'zhun'bei 合同取得成本减值准备
'he'tong'zi'chan 合同资产
'he'tong'zi'chan'jian'zhi'zhun'bei 合同资产减值准备
'huai'zhang'zhun'bei 坏账准备
'jiao'yi'xing'jin'rong'fu'zhai 交易性金融负债
'jiao'yi'xing'jin'rong'fu'zhai'ben'jin 交易性金融负债本金
'jiao'yi'xing'jin'rong'fu'zhai'gong'yun'jia'zhi'bian'dong 交易性金融负债公允价值变动
'jiao'yi'xing'jin'rong'zi'chan 交易性金融资产
'jiao'yi'xing'jin'rong'zi'chan'ben'jin 交易性金融资产本金
'jiao'yi'xing'jin'rong'zi'chan'gong'yun'jia'zhi'bian'dong 交易性金融资产公允价值变动
'ku'cun'gu 库存股
'ku'cun'shang'pin 库存商品
'ku'cun'xian'jin 库存现金
'lao'wu'cheng'ben 劳务成本
'lei'ji'tan'xiao 累计摊销
'lei'ji'zhe'jiu 累计折旧
'li'run'fen'pei 利润分配
'li'run'fen'pei'ti'qu'chu'bei'ji'jin 利润分配提取储备基金
'li'run'fen'pei'ti'qu'fa'ding'ying'yu'gong'ji 利润分配提取法定盈余公积
'li'run'fen'pei'ti'qu'qi'ye'fa'zhan'ji'jin 利润分配提取企业发展基金
'li'run'fen'pei'ti'qu'ren'yi'ying'yu'gong'ji 利润分配提取任意盈余公积
'li'run'fen'pei'wei'fen'pei'li'run 利润分配未分配利润
'li'run'fen'pei'ying'fu'xian'jin'gu'li'huo'li'run 利润分配应付现金股利或利润
'li'run'fen'pei'ying'yu'gong'ji'bu'kui 利润分配盈余公积补亏
'li'run'fen'pei'zhuan'zuo'gu'ben'de'li'run 利润分配转作股本的利润
'qi'ta'huo'bi'zi'jin 其他货币资金
'qi'ta'huo'bi'zi'jin'cun'chu'tou'zi'kuan 其他货币资金存出投资款
'qi'ta'huo'bi'zi'jin'wai'bu'cun'kuan 其他货币资金外埠存款
'qi'ta'huo'bi'zi'jin'xin'yong'ka 其他货币资金信用卡
'qi'ta'huo'bi'zi'jin'xin'yong'zheng'bao'zheng'jin 其他货币资金信用证保证金
'qi'ta'huo'bi'zi'jin'yin'hang'ben'piao 其他货币资金银行本票
'qi'ta'huo'bi'zi'jin'yin'hang'hui'piao 其他货币资金银行汇票
'qi'ta'quan'yi'gong'ju 其他权益工具
'qi'ta'quan'yi'gong'ju'qi'ta 其他权益工具其他
'qi'ta'quan'yi'gong'ju'tou'zi 其他权益工具投资
'qi'ta'quan'yi'gong'ju'yong'xu'zhai 其他权益工具永续债
'qi'ta'quan'yi'gong'ju'you'xian'gu 其他权益工具优先股
'qi'ta'shou'yi 其他收益
'qi'ta'ye'wu'cheng'ben 其他业务成本
'qi'ta'ye'wu'shou'ru 其他业务收入
'qi'ta'ying'fu'kuan 其他应付款
'qi'ta'ying'shou'kuan 其他应收款
'qi'ta'zhai'quan'tou'zi 其他债权投资
'qi'ta'zhai'quan'tou'zi'cheng'ben 其他债权投资成本
'qi'ta'zhai'quan'tou'zi'gong'yun'jia'zhi'bian'dong 其他债权投资公允价值变动
'qi'ta'zhai'quan'tou'zi'jian'zhi'zhun'bei 其他债权投资减值准备
'qi'ta'zong'he'shou'yi 其他综合收益
'shang'pin'jin'xiao'cha'jia 商品进销差价
'shang'yu 商誉
'sheng'chan'cheng'ben 生产成本
'shi'shou'zi'ben 实收资本
'shou'tuo'dai'xiao'shang'pin 受托代销商品
'shou'tuo'dai'xiao'shang'pin'kuan 受托代销商品款
'shui'jin'ji'fu'jia 税金及附加
'suo'de'shui'fei'yong 所得税费用
'tao'qi'gong'ju 套期工具
'tou'zi'shou'yi 投资收益
'tou'zi'xing'fang'di'chan 投资性房地产
'tou'zi'xing'fang'di'chan'cheng'ben 投资性房地产成本
'tou'zi'xing'fang'di'chan'gong'yun'jia'zhi'bian'dong 投资性房地产公允价值变动
'wei'que'ren'rong'zi'fei'yong 未确认融资费用
'wei'shi'xian'rong'zi'shou'yi 未实现融资收益
'wei'tuo'jia'gong'wu'zi 委托加工物资
'wu'xing'zi'chan 无形资产
'wu'xing'zi'chan'jian'zhi'zhun'bei 无形资产减值准备
'xiao'shou'fei'yong 销售费用
'yan'fa'zhi'chu 研发支出
'yan'sheng'gong'ju 衍生工具
'yi'qian'nian'du'sun'yi'tiao'zheng 以前年度损益调整
'yi'qian'nian'du'sun'yi'tiao'zheng'cai'wu'fei'yong 以前年度损益调整财务费用
'yi'qian'nian'du'sun'yi'tiao'zheng'guan'li'fei'yong 以前年度损益调整管理费用
'yi'qian'nian'du'sun'yi'tiao'zheng'qi'ta'shou'yi 以前年度损益调整其他收益
'yi'qian'nian'du'sun'yi'tiao'zheng'qi'ta'ye'wu'cheng'ben 以前年度损益调整其他业务成本
'yi'qian'nian'du'sun'yi'tiao'zheng'qi'ta'ye'wu'shou'ru 以前年度损益调整其他业务收入
'yi'qian'nian'du'sun'yi'tiao'zheng'shui'jin'ji'fu'jia 以前年度损益调整税金及附加
'yi'qian'nian'du'sun'yi'tiao'zheng'suo'de'shui'fei'yong 以前年度损益调整所得税费用
'yi'qian'nian'du'sun'yi'tiao'zheng'tou'zi'shou'yi 以前年度损益调整投资收益
'yi'qian'nian'du'sun'yi'tiao'zheng'xiao'shou'fei'yong 以前年度损益调整销售费用
'yi'qian'nian'du'sun'yi'tiao'zheng'ying'ye'wai'shou'ru 以前年度损益调整营业外收入
'yi'qian'nian'du'sun'yi'tiao'zheng'ying'ye'wai'zhi'chu 以前年度损益调整营业外支出
'yi'qian'nian'du'sun'yi'tiao'zheng'zhu'ying'ye'wu'cheng'ben 以前年度损益调整主营业务成本
'yi'qian'nian'du'sun'yi'tiao'zheng'zhu'ying'ye'wu'shou'ru 以前年度损益调整主营业务收入
'yi'qian'nian'du'sun'yi'tiao'zheng'zi'chan'chu'zhi'sun'yi 以前年度损益调整资产处置损益
'yi'qian'nian'du'sun'yi'tiao'zheng'zi'chan'jian'zhi'sun'shi 以前年度损益调整资产减值损失
'yin'hang'cun'kuan 银行存款
'yin'hang'cun'kuan'ji'ben'cun'kuan'zhang'hu 银行存款基本存款账户
'yin'hang'cun'kuan'yi'ban'cun'kuan'zhang'hu 银行存款一般存款账户
'ying'fu'gu'li 应付股利
'ying'fu'li'xi 应付利息
'ying'fu'piao'ju 应付票据
'ying'fu'zhai'quan 应付债券
'ying'fu'zhang'kuan 应付账款
'ying'fu'zhi'gong'xin'chou 应付职工薪酬
'ying'jiao'shui'fei 应交税费
'ying'jiao'shui'fei'che'chuan'shui 应交税费车船税
