'gu'yuan'he'zhong'gao 谷元禾中膏
'jin'hua'qing'gan'ke'li 金花清感颗粒
'jiu'miao'feng'zi'ying'run'gao 九妙丰姿莹润膏
'jiu'miao'feng'zi'ying'run'yin 九妙丰姿莹润饮
'lian'hua'qing'wen 连花清瘟
'man'zi'xian'xiu'pian 曼姿纤秀片
'qing'luo'xia'qing'lu 青罗夏清露
'qing'zhi'man'zi'xian'xiu'pian 轻致曼姿纤秀片
'si'ren'yi'ti'tie 四仁怡体贴
'si'ren'zhi'chang'yi'ti'tie 四仁滞畅怡体贴
'xue'bi'jing 血必净
'yi'kang'qing'luo'xia'qing'lu 亿康青罗夏清露
