'a'lan 阿兰
'ai'er'wei'xiu 爱尔维修
'ao'gu'si'ding 奥古斯丁
'ba'ban'si'ji 巴班斯基
'ba'ge'lai 巴格莱
'bai'lu'dong'shu'yuan 白鹿洞书院
'bi'da'ge'la'si 毕达哥拉斯
'bo'la'tu 柏拉图
'bu'la'mei'er'de 布拉梅尔德
'cheng'shi'xue'xiao 城市学校
'chong'ning'xing'xue 崇宁兴学
'da'xue'qu'zhi 大学区制
'di'de'luo 狄德罗
'dong'lin'shu'yuan 东林书院
'du'wei 杜威
'duo'yuan'wen'hua'jiao'yu 多元文化教育
'fan'zhong'yan 范仲淹
'fen'zhai'jiao'xue'fa 分斋教学法
'fu'lu'pei'er 福禄培尔
'fu'ze'yu'ji 福泽谕吉
'gu'jing'jing'she 诂经精舍
'guan'xue'ti'zhi 官学体制
'guo'jia'zhu'yi'jiao'yu'si'chao 国家主义教育思潮
'he'er'ba'te 赫尔巴特
'he'la'si'man 贺拉斯曼
'he'qin'si 赫钦斯
'he'xie'jiao'yu 和谐教育
'he'xu'li 赫胥黎
'huang'zong'xi 黄宗羲
'ji'fen'fa 积分法
'jia'nie 加涅
'jian'gou'zhu'yi 建构主义
'jian'sheng'li'shi 监生历事
'jiao'hui'jiao'yu 教会教育
'jiao'qu'xue'xiao 教区学校
'jiao'yu'fa'an 教育法案
'jiao'yu'fang'fa 教育方法
'jiao'yu'gai'ge 教育改革
'jiao'yu'guan'li 教育管理
'jiao'yu'jia 教育家
'jiao'yu'jie'duan 教育阶段
'jiao'yu'mu'di 教育目的
'jiao'yu'nei'rong 教育内容
'jiao'yu'shi'jian 教育实践
'jiao'yu'si'xiang 教育思想
'jiao'yu'zhi'du 教育制度
'jiao'yu'zuo'yong 教育作用
'jin'bu'zhu'yi 进步主义
'jing'shi'tong'wen'guan 京师同文馆
'ju'jing'chi'zhi 居敬持志
'kai'luo'fu 凯洛夫
'kang'ci 康茨
'ke'lu'pu'si'ka'ya 克鲁普斯卡娅
'ke'nan'te 柯南特
'ke'xue'jiao'yu'si'chao 科学教育思潮
'kong'zi 孔子
'kua'mei'niu'si 夸美纽斯
'kun'ti'liang 昆体良
'la'ge 拉格
'la'xia'luo'tai 拉夏洛泰
'li'wen'si'tong 利文斯通
'lie'ning 列宁
'ling'hun'lun 灵魂论
'liu'deng'chu'zhi'fa 六等黜陟法
'lu'suo 卢梭
'luo'jie'si 罗杰斯
'luo'ke 洛克
'lv'ke'ang 吕克昂
'ma'ka'lian'ke 马卡连柯
'ma'li'tan 马里坦
'ma'si'luo 马斯洛
'mao'shan'shu'yuan 茅山书院
'meng'tai'suo'li 蒙台梭利
'mi'er'dun 弥尔顿
'ming'wu'meng'qiu 名物蒙求
'ni'ban'shu'she 泥板书舍
'pei'gen 培根
'pei'si'tai'luo'qi 裴斯泰洛齐
'qi'shi'qi'ji 骑士七技
'qie'ji'ti'cha 切己体察
'qing'li'xing'xue 庆历兴学
'ren'ben'zhu'yi 人本主义
'ren'zhi'zhu'yi 认知主义
'san'ci'xing'xue 三次兴学
'san'she'fa 三舍法
'she'xue 社学
'shi'gu'shu'yuan 石鼓书院
'shi'su'jiao'yu 世俗教育
'shu'du'jing'si 熟读精思
'si'bin'sai 斯宾塞
'si'jin'na 斯金纳
'song'yang'shu'yuan 嵩阳书院
'su'ge'la'di 苏格拉底
'su'hu'jiao'fa 苏湖教法
'su'huo'mu'lin'si'ji 苏霍姆林斯基
'tu'er'gan 涂尔干
'tuo'er'man 托尔曼
'wang'an'shi 王安石
'wang'fu'zhi 王夫之
'wang'shou'ren 王守仁
'wang'yang'ming 王阳明
'wen'jiao'zheng'ce 文教政策
'wu'shen'si'ji 乌申斯基
'xi'ning'xing'xue 熙宁兴学
'xi'sai'luo 西塞罗
'xin'tuo'ma'si 新托马斯
'xing'wei'zhu'yi 行为主义
'xing'wen'jiao 兴文教
'xiu'dao'yuan'xue'xiao 修道院学校
'xu'xin'han'yong 虚心涵泳
'xue'hai'tang 学海堂
'xun'xu'jian'jin 循序渐进
'ya'li'shi'duo'de 亚里士多德
'yan'yuan 颜元
'yao'su'zhu'yi 要素主义
'yi'wu'shi 抑武事
'ying'tian'fu'shu'yuan 应天府书院
'yong'heng'zhu'yi 永恒主义
'yue'lu'shu'yuan 岳麓书院
'zan'ke'fu 赞科夫
'zhe'jin'yong'li 着紧用力
'zhong'shen'jiao'yu 终身教育
'zhong'shi'ji'da'xue 中世纪大学
'zhu'jiao'xue'xiao 主教学校
'zhu'xi 朱熹
'zhu'zi'du'shu'fa 朱子读书法
'zi'ran'zhu'yi'jiao'yu'si'chao 自然主义教育思潮
