'chuan'cheng'xing 传承性
'fei'wu'zhi'wen'hua'yi'chan 非物质文化遗产
'fei'wu'zhi'wen'hua'yi'chan'bao'hu 非物质文化遗产保护
'fei'wu'zhi'wen'hua'yi'chan'bao'hu'ming'lu 非物质文化遗产保护名录
'fei'wu'zhi'xing 非物质性
'gong'xiang'xing 共享性
'guang'fan'xing 广泛性
'huo'tai'chuan'cheng 活态传承
'huo'tai'xing 活态性
'tian'ye'diao'cha 田野调查
'wen'hua'yi'chan 文化遗产
'wen'hua'yi'chan'bao'hu 文化遗产保护
'wen'wu 文物
'wen'wu'bao'hu 文物保护
