'an'quan'men 安全门
'an'quan'xian 安全线
'ban'li'jin'lu 办理进路
'bao'dai'lu 宝带路
'bao'dai'lu'zhan 宝带路站
'bao'dai'qiao'nan 宝带桥南
'bao'dai'qiao'nan'zhan 宝带桥南站
'bao'wen'mian'tuo'luo 保温棉脱落
'bao'zha 爆炸
'bao'zha'ying'ji'yu'an 爆炸应急预案
'bei'gang'lu 北港路
'bei'gang'lu'zhan 北港路站
'bei'si'ta 北寺塔
'bei'si'ta'zhan 北寺塔站
'bei'yong'che 备用车
'bi'se 闭塞
'bian'ya'qi'gu'zhang 变压器故障
'bian'yun'ying'bian'qiang'xiu 边运营边抢修
'bin'he'lu 滨河路
'bin'he'lu'zhan 滨河路站
'bu'ming'qi'ti'xie'lou 不明气体泄漏
'bu'ming'yuan'yin'ren'qun 不明原因人群
'can'liu'hong'guang'dai 残留红光带
'cha'dong'bao'hu'dong'zuo 差动保护动作
'cha'yuan'chang 察院场
'cha'yuan'chang'zhan 察院场站
'chang'ting 长亭
'chang'ting'zhan 长亭站
'chao'xian'che 超限车
'che'chang 车场
'che'chang'diao'du'yuan 车场调度员
'che'chang'xian 车场线
'che'jian'sheng'chan'diao'du'yuan 车间生产调度员
'che'kong'shi 车控室
'che'liang'jin'zhi 车辆紧制
'che'liang'xian'jie 车辆限界
'che'men'da'bu'kai 车门打不开
'che'men'fang'jia 车门防夹
'che'men'gu'zhang 车门故障
'che'xiang 车厢
'che'zai'xin'hao 车载信号
'che'zhan 车站
'che'zhan'bu'fen'she'bei'tong'xin'gu'zhang 车站部分设备通信故障
'che'zhan'da'ke'liu 车站大客流
'che'zhan'da'mian'ji'ting'dian 车站大面积停电
'che'zhan'huo'zai'ying'ji'yu'an 车站火灾应急预案
'che'zhan'jiao'wei 车站焦味
'che'zhan'ke'shang 车站客伤
'che'zhan'lou'shui 车站漏水
'che'zhan'ming'huo 车站明火
'che'zhan'pai'jin'ting 车站拍紧停
'che'zhan'shao'jiao'wei 车站烧焦味
'che'zhan'yi'wei 车站异味
'che'zu 车组
'cheng'ke'cai'ta 乘客踩踏
'cheng'ke'chong'tu 乘客冲突
'cheng'ke'da'jia 乘客打架
'cheng'ke'jin'ji'jie'suo 乘客紧急解锁
'cheng'ke'jing'shen'yi'chang 乘客精神异常
'cheng'ke'ke'shang 乘客客伤
'cheng'ke'qiang'xing'jin'zhan 乘客强行进站
'cheng'ke'shen'ti'bu'shi 乘客身体不适
'cheng'ke'tan'tou 乘客探头
'cheng'ke'ti'wen'yi'chang 乘客体温异常
'cheng'ke'tuo'kun 乘客脱困
'cheng'ke'xiao'chuan 乘客哮喘
'cheng'ke'yun'dao 乘客晕倒
'cheng'kong'fen'zha'shi'bai 程控分闸失败
'chong'ding 冲顶
'chou'xian 抽线
'chu'chang 出场
'chu'duan'xian 出段线
'chu'hui'chang 出回场
