'a'bing 阿炳
'bai'quan 白圈
'ban'jia 板甲
'ban'mai'tan'ke 半埋坦克
'bao'feng'qiang'gong 暴风强攻
'bao'ji'qiang 包机枪
'bao'shi'zhi'hui'tan'ke 豹式指挥坦克
'biao'che 飙车
'bo'lan'lao'nong 波兰老农
'bu'bing'fen'dui 步兵分队
'bu'bing'lian'dui 步兵连队
'bu'lun'che 布伦车
'bu'qiang'bing 步枪兵
'cao'mao 草帽
'cha'hu 茶壶
'chan'sha'lei 掺沙雷
'chang'san'tu 长三突
'che'tui'lei 撤退雷
'chong'zi 虫子
'chuan'dan'pao 传单炮
'da'biao 打标
'da'chu 大厨
'da'hong'zha 大轰炸
'da'lao'han 大老汉
'da'suan'lei 大蒜雷
'da'tou'che 大头车
'da'yan 打烟
'de'guo 德国
'de'jun 德军
'de'shi'ka'ji'qiang 德仕卡机枪
'deng'che 灯车
'di'ban 地板
'ding'ding'che 叮叮车
'dong'de 东德
'dong'de'guo 东德国
'dong'de'jun 东德军
'dong'fang'ying 东方营
'dong'yuan'bing 动员兵
'du'qi'lei 毒气雷
'duan'dian 断点
'duan'san'tu 短三突
'duan'si 短四
'duan'tui 断腿
'duan'tui'lei 断腿雷
'dun'keng 蹲坑
'duo'guan'ji'qiang'che 多管机枪车
'er'ben 二本
'er'hao'zhen'cha'che 二号侦察车
'fan'ji'zhan'shu 反击战术
'fan'jia 反甲
'fan'jia'ban 反甲班
'fan'jia'cao'mao 反甲草帽
'fan'pao 反炮
'fan'ren 反人
'fan'tan'ke'bu'bing'fen'dui 反坦克步兵分队
'fan'tan'ke'pao 反坦克炮
'fei'chang'bao 非常豹
'fei'ma'sao'she 飞妈扫射
'gai'zi 盖子
'gang'er 杠二
'gao'bao'man'tou 高爆馒头
'gong'bing'tuan 工兵团
'gong'ye 工业
'gou'guan 狗官
'guan'xian'yue'dui 管弦乐队
'gui'dao'pao 轨道炮
'guo'min'zhi'dan'bing 国民掷弹兵
'hai'tong'che 海桶车
'hai'tong'zi 海筒子
