'ai'li 艾丽
'ai'li'si'ma'ge'te'luo'yi'de 爱丽丝玛格特罗依德
'ai'lin 艾琳
'ba'ban'shen'nai'zi 八坂神奈子
'ba'yi'yong'lin 八意永琳
'ba'yun'lan 八云蓝
'ba'yun'zi 八云紫
'bai'tian'a'qiu 稗田阿求
'bai'yu'lou 白玉楼
'bei'bai'he'qian'bai'he 北白河千百合
'bi'an 彼岸
'bi'na'ming'ju'tian'zi 比那名居天子
'bo'li'ling'meng 博丽灵梦
'bo'li'shen'she 博丽神社
'ca'dan 擦弹
'chao'cang'li'xiang'zi 朝仓理香子
'cun'sha'shui'mi 村纱水蜜
'da'tu'shu'guan 大图书馆
'da'yao'jing 大妖精
'di'ling'dian 地灵殿
'dong'fang'cui'meng'xiang 东方萃梦想
'dong'fang'de'ling'dian 东方地霊殿
'dong'fang'fei'xiang'tian 东方绯想天
'dong'fang'fei'xiang'tian'ze 东方非想天则
'dong'fang'feng'mo'lu 东方封魔录
'dong'fang'feng'shen'lu 东方风神录
'dong'fang'guai'qi'tan 东方怪绮谈
'dong'fang'hong'mo'xiang 东方红魔郷
'dong'fang'hua'ying'zhong 东方花映冢
'dong'fang'huan'xiang'xiang 东方幻想郷
'dong'fang'ling'yi'yun 东方灵异伝
'dong'fang'meng'shi'kong 东方梦时空
'dong'fang'meng'yue'chao 东方儚月抄
'dong'fang'qiu'wen'shi'ji 东方求闻史纪
'dong'fang'san'yue'jing 东方三月精
'dong'fang'wen'hua'tie 东方文花贴
'dong'fang'xiang'lin'tang 东方香霖堂
'dong'fang'xing'lian'chuan 东方星莲船
'dong'fang'yao'yao'meng 东方妖妖梦
'dong'fang'yong'ye'chao 东方永夜抄
'dong'feng'gu'zao'miao 东风谷早苗
'duo'duo'liang'xiao'san 多多良小伞
'feng'jian'you'xiang 风见幽香
'feng'shou'ye 封兽鵺
'fu'lan'duo'lu'si'ka'lei'te 芙兰朵露斯卡雷特
'gang'qi'meng'mei 冈崎梦美
'gu'ming'di'jue 古明地觉
'gu'ming'di'lian 古明地恋
'he'cheng'he'qu 河城荷取
'hei'gu'shan'nv 黑谷山女
'hong'mei'ling 红美铃
'hong'mo'guan 红魔馆
'hu'tao 胡桃
'huan'xiang'xiang 幻想乡
'huan'yue 幻月
'huang'hun'bian'jing 黄昏边境
'hun'po'yao'ji 魂魄妖忌
'hun'po'yao'meng 魂魄妖梦
'huo'yan'mao'lin 火焰猫燐
'jian'shan'chu 键山雏
'jin'jie'luo 矜羯罗
'jiu'du 旧都
'ju'li 菊理
'ka'na'an'na'bei'la'er 卡娜安娜贝拉尔
'lei'di'huo'wa'te'luo'ke 蕾迪霍瓦特罗克
'lei'mi'li'ya'si'ka'lei'te 蕾米莉亚斯卡雷特
'li'ge'lu'nai'te'ba'ge 莉格露奈特巴格
'li'li'huo'wa'te 莉莉霍瓦特
'li'li'ka'pu'li'zi'mu'li'ba 莉莉卡普利兹姆利巴
'li'xiang 里香
'ling'ji 灵击
'ling'wu'lu'kong 灵乌路空
'ling'xian'you'tan'hua'yuan'yin'fan 铃仙优昙华院因幡
'lu'mi'ya 露米亚
'lu'na'cha'er'de 露娜查尔德
'lu'na'sa'pu'li'zi'mu'li'ba 露娜萨普利兹姆利巴
'lu'yi'zi 露伊兹
'ma'ai'lu'bei'li'he'en 玛艾露贝莉赫恩
'mei'di'xin'mei'lan'ke'li 梅蒂欣梅兰可莉
'mei'lu'lan'pu'li'zi'mu'li'ba 梅露兰普利兹姆利巴
'mei'mo 魅魔
'meng'yue 梦月
'meng'zi 梦子
'mi'si'di'ya'luo'lei'la 米斯蒂娅萝蕾拉
'mian'yue'feng'ji 绵月丰姬
'mian'yue'yi'ji 绵月依姬
'ming'luo 明罗
'mo'fa'sen'lin 魔法森林
'mo'jie 魔界
'na'zi'ling 娜兹玲
'pa'qiu'li'nuo'lei'ji 帕秋莉诺蕾姬
'peng'lai'shan'hui'ye 蓬莱山辉夜
'peng'lai'zhi'yao 蓬莱之药
'qi'lu'nuo 琪露诺
'qi'si'mei 琪斯美
'qiu'jing'ye 秋静叶
'qiu'rang'zi 秋穣子
'quan'zou'hua 犬走椛
'sa'li'ai'er 萨莉爱儿
'san'yue'jing 三月精
'sang'ni'mi'er'ke 桑尼密尔克
'sao'ling'san'jie'mei 骚灵三姐妹
'sen'jin'lin'zhi'zhu 森近霖之助
'sha'luo 沙罗
'shang'bai'ze'hui'yin 上白泽慧音
'shang'hai'ai'li'si'huan'yue'tuan 上海爱莉丝幻乐团
'she'ming'wan'wen 射命丸文
'shen'qi 神绮
'shen'yu 神玉
'sheng'bai'lian 圣白莲
'sheng'nian'chuan 圣辇船
'shi'liu'ye'xiao'ye 十六夜咲夜
'shou'shi'shen'she 守矢神社
'shui'qiao'pa'lu'xi 水桥帕露西
'si'da'sha'fa'yi'ya 丝妲莎法伊雅
'si'ji'ying'ji'ya'ma'sa'na'du 四季映姬亚玛萨那度
'tai'yang'hua'tian 太阳花田
'teng'yuan'mei'hong 藤原妹红
'wu'yu'mo'li'sha 雾雨魔理沙
'xi'jian 隙间
'xi'xing'si'you'you'zi 西行寺幽幽子
'xiang'lin'tang 香霖堂
'xiao'e'mo 小恶魔
'xiao'tu'zhen 小兔姫
'xiao'ye'zhong'xiao'ding 小野冢小町
'xie'shi'zou'fang'zi 洩矢诹访子
'xin'yang'dian 信仰点
'xing'xiong'yong'yi 星熊勇仪
'xuan'ye 玄爷
'yao'guai'zhi'shan 妖怪之山
'yi'chui'cui'xiang 伊吹萃香
'yi'li'si 伊利斯
'yin'fan'di 因幡帝
'yin'wan'xing 寅丸星
'yong'jiang'yi'jiu 永江衣玖
'yong'yuan'ting 永远亭
'you'huan'mo'yan 幽幻魔眼
'yu'zuo'jian'lian'zi 宇佐见莲子
'yun'ju'yi'lun 云居一轮
'yun'shan 云山
'zhu'lu'zi 朱鹭子
