'ai'si'bo'ge'zong'he'zheng 艾斯伯格综合征
'er'tong'gu'du'zheng 儿童孤独症
'er'tong'qi'wa'jie'zhang'ai 儿童期瓦解障碍
'fei'dian'xing'gu'du'zheng 非典型孤独症
'gao'gong'neng'gu'du'zheng 高功能孤独症
'gu'du'zheng'zi'bi'zheng'pu'xi'zhang'ai 孤独症自闭症谱系障碍
'ka'na'shi'gu'du'zheng 卡纳氏孤独症
'wei'te'ding'de'guang'fan'fa'yu'zhang'ai 未特定的广泛发育障碍
'zao'qi'ying'er'gu'du'zheng 早期婴儿孤独症
