'ban'kuai 版块
'ban'lu'zhui'zhang 半路追涨
'cang'wei'guan'li 仓位管理
'chang'nei'xin'xi 场内信息
'chang'wai'xin'xi 场外信息
'chao'die 超跌
'chu'chang 出场
'ci'xin'gu 次新股
'da'ban 打板
'da'pan'fen'wei 大盘氛围
'dian'dai'mian 点带面
'fen'shi'tu 分时图
'gao'song'zhuan 高送转
'gong'gao 公告
'heng'yun'zhe'yue 横云遮月
'hui'che 回撤
'hui'feng 回封
'jia'ge'yu'qi 价格预期
'jia'zhi'tou'zi 价值投资
'jiao'ge'dan 交割单
'jiao'yi'xi'tong 交易系统
'jin'chang 进场
'jiu'cai 韭菜
'lao'ya'tou 老鸭头
'li'hao'dui'xian 利好兑现
'long'er 龙二
'long'hu'bang 龙虎榜
'long'san 龙三
'long'tou 龙头
'long'yi 龙一
'mai'mai'shi'ji 买卖时机
'mian'dai'dian 面带点
'pan'mian'xin'xi 盘面信息
'qing'xu'guan'li 情绪管理
'qu'dong'li 驱动力
'shi'chang'yu'qi 市场预期
'su'zhang'bang 速涨棒
'ti'cai 题材
'tian'di'ban 天地板
'wen'zhou'bang 温州帮
'wo'yu'xiao'ming 我与小明
'xiao'e'yu 小鳄鱼
'xin'ti'cai 新题材
'xu'xiang 徐翔
'xuan'gu'luo'ji 选股逻辑
'yang'jia 养家
'yang'jia'xin'fa 养家心法
'ye'ji'yu'qi 业绩预期
'you'zi 游资
'zhang'fu'bang 涨幅榜
'zi'xuan 自选
