'an'ceng 按层
'an'quan'kuang 安全框
'an'yuan'su'fen'pei'cai'zhi 按元素分配材质
'ao'hen 凹痕
'ban'tou'ming 半透明
'bao'bi'zhe'she 薄壁折射
'bao'guang'kong'zhi 曝光控制
'bao'he'du 饱和度
'bei'sai'er'qu'xian 贝塞尔曲线
'bei'zeng 倍增
'bian'huan 变换
'bian'huan'gui'ji 变换轨迹
'bian'huan'ju'zhen 变换矩阵
'bian'huan'kong'zhi'qi 变换控制器
'bian'huan'zhou 变换轴
'bian'ji'duo'bian'xing 编辑多边形
'bian'ji'mian'pian 编辑面片
'bian'ji'wang'ge 编辑网格
'bian'jie'ding'dian 边界顶点
'bian'jie'kuang 边界框
'bian'jie'ma'qi 编解码器
'bian'xing 变形
'bian'xing'qi 变形器
'bian'xing'qiu'li'zi 变形球粒子
'bian'xing'yang'tiao'xian 变形样条线
'biao'ji 标记
'biao'ji'shu'ju 标记数据
'biao'ji'wen'jian 标记文件
'biao'zhun'cai'zhi 标准材质
'bo'lang 波浪
'bu'er 布尔
'bu'er'cao'zuo 布尔操作
'bu'fa'lei'xing 步法类型
'bu'fa'mo'shi 步法模式
'bu'fu'suo'fang 步幅缩放
'bu'gao'pai 布告牌
'bu'jin'dong'hua 步进动化
'bu'jin'fang'fa 步进方法
'bu'ju'mo'shi 布局模式
'bu'liao 布料
'bu'tou'ming'du'shuai'jian 不透明度衰减
'cai'ta 踩踏
'cai'yang 采样
'cai'yang'fan'wei 采样范围
'cai'zhi 材质
'cai'zhi'tong'dao 材质通道
'cai'zhi'yu'tie'tu'ceng'ci 材质与贴图层次
'can'kao 参考
'can'kao'dui'xiang 参考对象
'can'shu'he'can'shu'hua 参数和参数化
'can'shu'kong'jian 参数空间
'can'shu'mian'ban 参数面板
'cang'ku 仓库
'cao'zuo'dui'xiang 操作对象
'cao'zuo'fu 操作符
'cao'zuo'fu'tu'biao 操作符图标
'ce'shi 测试
'ceng'ci'lian'jie 层次链接
'ceng'guan'li'qi 层管理器
'ceng'gui'ji 层轨迹
'cha'jian 插件
'cha'jian'guan'li'qi 插件管理器
'cha'zhao'xing'wei 查找行为
'cha'zhi 插值
'chang'jing'fan'wei 场景范围
'chang'jing'yun'dong'mo'hu 场景运动模糊
'chao'chu'fan'wei'lei'xing 超出范围类型
'chao'ji'cai'yang 超级采样
'chao'ji'hei 超级黑
'chao'ji'pen'she 超级喷射
'cheng'xu'tie'tu 程序贴图
'chong'qi 虫漆
'chu'dong'gan'ying'qi 触动感应器
'chu'sheng'shi'jian 出生事件
'chu'shi'hua 初始化
'chu'shi'hua'tu'xing'jiao'huan'gui'fan 初始化图形交换规范
'chu'shi'zi'tai 初始姿态
'chuang'jian'can'shu 创建参数
'cong'shu'dui'xiang 从属对象
'cun'dang'chang'jing 存档场景
'da'li'shi 大理石
'dai'li 代理
'dan'dao'zhang'li 弹道张力
'dao'xiang'ban 导向板
'dao'xiang'qi 导向器
'dao'xiang'qiu 导向球
'deng'can'xian 等参线
'deng'guang 灯光
'deng'guang'dui'xiang 灯光对象
'deng'guang'tie'tu 灯光贴图
'deng'ju'shi'tu 等距视图
'di'duo'bian'xing 低多边形
'di'duo'bian'xing'jian'mo 低多边形建模
'di'ping'xian 地平线
'di'xing 地形
'di'yi'ge'ding'dian 第一个顶点
'dian'guang'yuan 点光源
'dian'huan'cun 点缓存
'dian'qu'mian 点曲面
'dian'qu'xian 点曲线
'dian'ying'dian'shi'gong'cheng'shi'xie'hui 电影电视工程师协会
'dong'hua 动画
'dong'hua'ceng 动画层
'dong'hua'kong'zhi'qi 动画控制器
'dong'hua'wen'li 动画纹理
'dong'jie 冻结
'dong'li'xue'dao'xiang'qi 动力学导向器
'dong'li'xue'dui'xiang 动力学对象
'dong'tai 动态
'dong'tai'hun'he 动态混合
'dong'zuo 动作
'dou'dong 抖动
'du'li'xing 独立性
'du'shu 度数
'duan'kai 断开
'dui'lie'jian'shi'qi 队列监视器
'dui'shu'bao'guang'kong'zhi 对数曝光控制
'dui'wei 对位
'dui'xiang 对象
'dui'xiang'kong'jian 对象空间
'dui'xiang'kong'jian'xiu'gai'qi 对象空间修改器
'dui'xiang'shi'li 对象实例
'dui'xiang'yun'dong'mo'hu 对象运动模糊
'dui'zhan 堆栈
'duo'bian'xing 多边形
'duo'fen'bian'lv 多分辨率
'duo'wei 多维
'duo'yang'xing 多样性
'er'wei'tie'tu 二维贴图
'fa'guang'qiang'du 发光强度
'fa'guang'tie'tu 发光贴图
'fa'she'qi 发射器
'fa'xian 法线
'fan'dong'li'xue'dao'xiang'qi 泛动力学导向器
'fan'fang'xiang'dao'xiang'qi 泛方向导向器
'fan'guang'deng 泛光灯
'fan'guang'hua 反光化
'fan'guang'hua 泛光化
'fan'wei 范围
'fan'xiang 反向
'fan'xiang'yun'dong'xue 反向运动学
'fan'xiang'yun'dong'xue'hun'he 反向运动学混合
'fan'xiang'yun'dong'xue'jie'jue'fang'an 反向运动学解决方案
'fan'xiang'yun'dong'xue'mu'biao 反向运动学目标
'fan'zhi'li'zi 繁殖粒子
'fang'chui 纺锤
'fang'she'bian'huan 仿射变换
'fang'xiang'xing'wei 方向行为
'fang'yang 放样
'fang'zhi'deng'guang'he'she'ying'ji 放置灯光和摄影机
'fei'huo'dong'zu'ji 非活动足迹
'fei'jun'yun'you'li'shu'yang'tiao'xian 非均匀有理数样条线
'fei'jun'yun'you'li'yang'tiao'xian'qu'mian 非均匀有理样条线曲面
'fen'bian'lv 分辨率
'fen'duan 分段
'fen'ge 分割
'feng'tao 封套
'fu'dui'xiang 父对象
'fu'he'cai'zhi 复合材质
'fu'he'dui'xiang 复合对象
'fu'jian 附件
'fu'li'zi 父粒子
'fu'zhu'dui'xiang 辅助对象
'ga'ma'jiao'zheng 伽马校正
'gao'guang'du'she'zhi 高光度设置
'gao'guang'yan'shai 高光颜色
'gao'ji'guang'xian'gen'zong 高级光线跟踪
'gao'ji'zhao'ming 高级照明
'gen'sui'dui'xiang 跟随对象
'gong'neng'qu'xian 功能曲线
