'dao'zhi'zhuang'zu'qiao'liu'yu'hou 盗跖庄足乔流誉后
'dao'zhong'liu'ji'shui 到中流击水
'deng'lu'shan 登庐山
'di'dong'san'he'tie'pi'yao 地动三河铁譬摇
'di'ren'wei'kun'wan'qian'zhong 敌人围困万千重
'di'xiong'zi'mei'wu'pian'xian 弟兄姊妹舞翩跹
'di'yu'qi'zu 敌欲岂足
'di'zhu'chong'chong'ya'po 地主重重压迫
'di'zi'cheng'feng'xia'cui'wei 帝子乘风下翠微
'dian'lian'zhi'jie'dong'ming 颠连直接东溟
'diao'luo'rong'huan'tong'zhi 吊罗荣桓同志
'die'lian'hua 蝶恋花
'ding'le'san'jia'tiao'yue 订了三家条约
'dong'deng'bu'cai 东等不才
'dong'fang'bai 东方白
'dong'fang'yu'xiao 东方欲晓
'dong'hai'you'dao'yi 东海有岛夷
'dong'lin'jie'shi'you'yi'pian 东临碣石有遗篇
'dong'si'cang'ying'wei'zu'qi 冻死苍蝇未足奇
'dong'ting'bo'yong'lian'tian'xue 洞庭波涌连天雪
'dong'ting'xiang'shui'zhang'lian'tian 洞庭湘水涨连天
'dong'ying'zhuo'jian'you'shu'hai 东瀛濯剑有书还
'dong'yun 冬云
'dong'zhong'kai'yan'hui 洞中开宴会
'dou'shi'ren'jian'cheng'guo 都是人间城郭
'du'li'han'qiu 独立寒秋
'du'liu'yue'san'ri'ren'min'ri'bao 读六月三日人民日报
'du'lu'you'yong'mei'ci'fan'qi'yi'er'yong'zhi 读陆游咏梅词反其意而用之
'du'shi 读史
'du'you'hao'qing 独有豪情
'du'you'ying'xiong'qu'hu'bao 独有英雄驱虎豹
'du'zuo'chi'tang'ru'hu'ju 独坐池塘如虎踞
'dui'ci'bu'pao'yan'lei'ye'wu'you 对此不抛眼泪也无由
'dui'di'ci'bei'dui'you'diao 对敌慈悲对友刁
'dui'lai'zhen'shang'chou'he'zhuang 堆来枕上愁何状
'dun'shi'tao'tao 顿失滔滔
'duo'di'zheng'cheng'shi'dou'zheng 夺地争城是斗争
'duo'le'lou'tai'ting'ge 多了楼台亭阁
'duo'nian'mao'dun'kuo'wu'bian 多年矛盾廓无边
'duo'shao'shi 多少事
'duo'xi'tan'jing'fei'wu'lu 夺席谈经非五鹿
'er'jin'mai'bu'cong'tou'yue 而今迈步从头越
'er'jin'wo'wei'kun'lun 而今我谓昆仑
'er'jin'yi'sao'ji'xin'yuan 而今一扫纪新元
'er'nv'er'nan 二女二男
'er'shi'wan'jun'chong'ru'gan 二十万军重入赣
'er'zhi'ci'yue 而致词曰
'fan'di'er'ci'da'wei'jiao 反第二次大围剿
'fan'di'yi'ci'da'wei'jiao 反第一次大围剿
'fan'dong'fu'yao'yang'jiao 翻动扶摇羊角
'fan'shen'yue'ru'qi'ren'fang 翻身跃入七人房
'fang'ge'yi'lie'zhang 放歌依列嶂
'fang'lu'fang'weng'shi 仿陆放翁诗
'fang'qi'hang'yang'you 方期沆养游
'fei'biao'fu'ling'zhang 飞飚拂灵帐
'fei'feng'ting'bian'shu 飞凤亭边树
'fei'jiang'jun'zi'zhong'xiao'ru 飞将军自重霄入
'fei'ming'di 飞鸣镝
'fei'qi'yu'long'san'bai'wan 飞起玉龙三百万
'fei'shang'nan'tian'qi'yue 飞上南天奇岳
'fei'xue'ying'chun'dao 飞雪迎春到
'fen'fa'wei'xiong 奋发为雄
'fen'hu'bian'shi'zi'ling'tan 分湖便是子陵滩
'fen'tian'fen'di'zhen'mang 分田分地真忙
'fen'tu'dang'nian'wan'hu'hou 粪土当年万户候
'fen'wai'yao'rao 分外妖娆
'fen'xi'hao 分析好
'feng'chi'you'yi'dao'qian'tang 风驰又已到钱塘
'feng'hua'zheng'mao 风华正茂
'feng'jing'zhe'bian'du'hao 风景这边独好
'feng'juan'hong'qi'guo'da'guan 风卷红旗过大关
'feng'lei'dong 风雷动
'feng'lei'pang'bo 风雷磅礴
'feng'qi'lv'zhou'chui'lang'qu 风起绿洲吹浪去
'feng'qiang'dong 风樯动
'feng'wu'chang'yi'fang'yan'liang 风物长宜放眼量
'feng'yan'gun'gun'lai'tian'ban 风烟滚滚来天半
'feng'yu'song'chun'gui 风雨送春归
'feng'yun'tu'bian 风云突变
'feng'zhan'hong'qi'ru'hua 风展红旗如画
'fu'nv'jie'fang 妇女解放
'fu'rong'guo'li'jin'zhao'hui 芙蓉国里尽朝晖
'fu'xiang'lian'pian 浮想联翩
'gai'ge'nei'zheng 改革内政
'gan'dan'ning'wang'yi'cun'dan 肝胆宁忘一寸丹
'gan'dong'shu'hui 感动庶汇
'gan'jiang'feng'xue'mi'man'chu 赣江风雪迷漫处
'gan'jiao'ri'yue'huan'xin'tian 敢教日月换新天
'gan'shui'cang'mang'min'shan'bi 赣水苍茫闽山碧
'gan'wu'nian'suo'huan 感物念所欢
'gao'lu'ru'yun'duan 高路入云端
'gao'tian'gun'gun'han'liu'ji 高天滚滚寒流急
'gao'xia'chu'ping'hu 高峡出平湖
