'di'ban'wu 地板舞
'diao'yao 吊腰
'diao'yao'zhuan 吊腰转
'fei'ji'cheng 飞机撑
'fei'ji'zhuan 飞机转
'ji'xie'wu 机械舞
'kong'yi 空椅
'kuang'pai'wu 狂派舞
'pi'li'wu 霹雳舞
'qi'xuan 旗旋
'shuai'shou'wu 甩手舞
'suo'wu 锁舞
'tou'ding 头定
'tou'ding 头顶
'tou'zhuan 头转
'tuo'ma 托马
'wu'gui'cheng 乌龟撑
'xiao'chou'wu 小丑舞
'zhen'gan'wu 震感舞
'zhou'fei 肘飞
