'ai'bi 艾比
'ai'mi 埃米
'an'li'jie 安莉洁
'an'mi'xiu 安迷修
'an'te 安特
'cai'pan'qiu 裁判球
'chong'dian'bao 充电宝
'dan'ni'er 丹尼尔
'ge'rui 格瑞
'gui'hu'tian'chong 鬼狐天冲
'gui'lai 鬼莱
'gui'tian'meng 鬼天盟
'jia'de'luo'si 嘉德罗斯
'jia'jiu'sui 嘉九岁
'ka'ai 卡埃
'ka'mi'er 卡米尔
'kai'li 凯莉
'kai'ning 凯柠
'lai'na 莱娜
'lei'an 雷安
'lei'de 雷德
'lei'shi 雷狮
'lei'shi'hai'dao'tuan 雷狮海盗团
'lie'zhan 烈斩
'lie'zhan'lv 烈斩绿
'meng'te'zu'ma 蒙特祖玛
'pa'luo'si 帕洛斯
'pei'li 佩利
'rui'jin 瑞金
'shen'jin'yao 神近耀
'wei'de 维德
'xing'yue'ren 星月刃
'yuan'liang'dao'fa 原谅刀法
'zi'tang'huan 紫堂幻
'zi'tang'lin 紫堂林
'zi'tang'lu 紫堂陆
