'ba 耙
'ba'gua'da'qiang 八卦大枪
'ba'gua'dao 八卦刀
'ba'gua'yue 八卦钺
'beng'long'xiu'chui 崩龙袖锤
'bi'dao 笔刀
'bi'jia'cha 笔架叉
'bi'shou 匕首
'bian'gan 鞭杆
'biao 镖
'bo 钹
'cha 叉
'chan 铲
'chan'zhang 禅杖
'chang'bing'dan'chui 长柄单锤
'chen'shi'tai'ji'dan'dao 陈式太极单刀
'chen'shi'tai'ji'shuang'dao 陈式太极双刀
'chi'yi'yue'ya'tang 齿翼月牙镋
'chu'bang 杵棒
'chuan 船
'chui 锤
'chun'qiu'da'dao 春秋大刀
'da'dao 大刀
'da'huan'dao 大环刀
'da'qiang 大枪
'dai'zu'dao 傣族刀
'dan'gong 弹弓
'dao 刀
'dao'lei 刀类
'dao'shu 刀术
'diao'dao 掉刀
'duan'bing'shuang'chui 短柄双锤
'e'mei'ci 峨嵋刺
'e'mei'jian 峨嵋剑
'er'jie'gun 二节棍
'fei'gou 飞钩
'fei'shi 飞石
'feng'zui'dao 凤嘴刀
'fu 斧
'fu'jia'jian 傅家剑
'fu'ping'guai 浮萍拐
'ge 戈
'gong 弓
'gou 钩
'gou'xiang 钩镶
'guai 拐
'gun 棍
'gun'bang'gan'lei 棍棒杆类
'gun'shu 棍术
'hou'gun 猴棍
'hu'shou'bang 护手棒
'hu'shou'chan 护手铲
'hua'qiang 花枪
'huang 锽
'ji 戟
'ji'dao 戟刀
'jian 锏
'jian 剑
'jian'lei 剑类
'jian'shu 剑术
'jing'po'chang'dao 景颇长刀
'jiu'jie'ba'gua'long'tou'feng'wei'liang'yin'pan'long'gun 九节八卦龙头凤尾亮银盘龙棍
'jiu'jie'bian 九节鞭
'jue 橛
'lang'xian 狼筅
'lang'ya'bang 狼牙棒
'li'hua'qiang'jia'bai'yuan'gun 梨花枪夹白猿棍
'li'su'zu'wan'jian'dao 傈僳族弯尖刀
'lian'jia 链夹
'lian'zi'chui 练子锤
'liu 刘
'liu'xing'chui 流星锤
'long'hang'dao 龙行刀
'long'tou'gan'bang 龙头杆棒
'mei'hua'dao 梅花刀
'mei'jian'dao 眉尖刀
'mian'sheng'tao'suo 棉绳套索
'miao'zu'jian'dao 苗族尖刀
'nan'shao'lin'shi'san'qiang'gun 南少林十三枪棍
'niu'tou'yue'tang 牛头月镋
'niu'xin'shuang'guai 牛心双拐
'nu 弩
'po'dao 朴刀
'qi 戚
'qi'ta'bing'qi 其它兵器
'qian'kun'ri'yue'dao 乾坤日月刀
'qiang 枪
'qiang'lei 枪类
'qiang'shu 枪术
'qing'ping'jian 青萍剑
'qu'dao 屈刀
'quan 圈
'ruan'bing'qi'lei 软兵器类
'san'jian'liang'ren'dao 三尖两刃刀
'shao'lin'feng'mo'gun 少林风魔棍
'shao'lin'jiu'gong'jian 少林九宫剑
'shao'zi'gun 梢子棍
'sheng'biao 绳镖
'shi 矢
'shou'dao 手刀
'shu 殳
'shu'zi 梳子
'shuang'fei'wo 双飞挝
'shuang'tou'qiang 双头枪
'shuo 槊
'si'jie'tang 四节镋
'suo'lai'guai 索莱拐
'tai'ji'da'gan 太极大杆
'tai'ji'dan'jian 太极单剑
'tai'ji'jian 太极剑
'tai'ji'shi'san'gan 太极十三杆
'tai'ji'shuang'jian 太极双锏
'tai'ji'shuang'jian 太极双剑
'tai'ji'xuan'men'jian 太极玄门剑
'tang 镋
'teng'pai 藤牌
'tie'chi 铁齿
'tie'mao 铁矛
'wu'dang'jian'dui'lian'fa 武当剑对练法
'wu'dang'jian'fa 武当剑法
'xiu'jian 袖箭
'yan'yue'dao 掩月刀
'yang'jia'qiang 杨家枪
'yao'dao 腰刀
'yi'zu'bo'chang'jian 彝族波长剑
'yi'zu'duan'ti'cha'dao 彝族短体插刀
'yi'zu'liu'xing 彝族流星
'yue 钺
'zhua 抓
'zhua'qiang 抓枪
'zhuang'zu'gu'gan 壮族古杆
'zhuang'zu'jian'dao 壮族尖刀
'zi'wu'yuan'yang'yue 子午鸳鸯钺
