'an'zhuang'gong'si 安装公司
'bei'jing'gong'si 北京公司
'dong'bei'gong'si 东北公司
'er'gong'si 二公司
'fang'di'chan'gong'si 房地产公司
'gang'jie'gou'gong'si 钢结构公司
'guo'ji'gong'cheng'shi'ye'bu 国际工程事业部
'hua'bei'gong'si 华北公司
'hua'jiang'gong'si 华江公司
'hua'nan'gong'si 华南公司
'jian'she'fa'zhan'gong'si 建设发展公司
'ke'yan'yuan 科研院
'liu'gong'si 六公司
'san'gong'si 三公司
'shan'dong'gong'si 山东公司
'she'ji'yuan 设计院
'shi'zheng'gong'si 市政公司
'wu'gong'si 五公司
'xi'nan'gong'si 西南公司
'yi'gong'si 一公司
'zhong'guo'jian'zhu'gong'cheng'zong'gong'si 中国建筑工程总公司
'zhong'guo'jian'zhu'gu'fen'you'xian'gong'si 中国建筑股份有限公司
'zhong'guo'jian'zhu'ji'tuan'you'xian'gong'si 中国建筑集团有限公司
'zhong'guo'jian'zhu'yi'ju'ji'tuan 中国建筑一局集团
'zhong'guo'jian'zhu'yi'ju'ji'tuan'you'xian'gong'si 中国建筑一局集团有限公司
'zhong'jian'yi'ju'gang'jie'gou'gong'cheng'you'xian'gong'si 中建一局钢结构工程有限公司
'zhong'jian'yi'ju'hua'jiang'jian'she'you'xian'gong'si 中建一局华江建设有限公司
'zhong'jian'yi'ju'ji'tuan'an'zhuang'gong'cheng'you'xian'gong'si 中建一局集团安装工程有限公司
'zhong'jian'yi'ju'ji'tuan'di'er'jian'zhu'you'xian'gong'si 中建一局集团第二建筑有限公司
'zhong'jian'yi'ju'ji'tuan'di'liu'jian'zhu'you'xian'gong'si 中建一局集团第六建筑有限公司
'zhong'jian'yi'ju'ji'tuan'di'san'jian'zhu'you'xian'gong'si 中建一局集团第三建筑有限公司
'zhong'jian'yi'ju'ji'tuan'di'wu'jian'zhu'you'xian'gong'si 中建一局集团第五建筑有限公司
'zhong'jian'yi'ju'ji'tuan'di'yi'jian'zhu'you'xian'gong'si 中建一局集团第一建筑有限公司
'zhong'jian'yi'ju'ji'tuan'gong'si'zong'cheng'bao'gong'si 中建一局集团公司总承包公司
'zhong'jian'yi'ju'ji'tuan'jian'she'fa'zhan'you'xian'gong'si 中建一局集团建设发展有限公司
'zhong'jian'yi'ju'ji'tuan'zhuang'shi'gong'cheng'you'xian'gong'si 中建一局集团装饰工程有限公司
'zhuang'shi'gong'si 装饰公司
'zong'cheng'bao'gong'si 总承包公司
