'chao'ji'hao'chi 炒鸡好吃
'chen'deng'deng 陈等等
'chen'wei'ting 陈伟霆
'chen'wei'ting 陳偉霆
'chen'wei'ting'shi'wo'mei 陳薇婷是我妹
'deng'san'sui 等三岁
'gu'nai'la 骨奶啦
'hou'ji 猴几
'li'yao'kong'ji'zhu'ni'ji'ji'a 里要控几住你计几啊
'na'guai'wo'ge 那怪我咯
'ni'yao'kong'zhi'zhu'ni'zi'ji'a 你要控制住你自己啊
'ni'yao'qu'na'li 你要去哪里
'wo'ai'li'meng 我爱里萌
'wo'hai'zai'zhe'li 我还在这里
'wo'jiu'zhi'dao'ni'hui'zhuang'dao 我就知道你会撞到
'wo'lai'xun'shan 我来巡山
'wo'mei'you'hei'li'shi 我没有黑历史
'xiong'hai'zi 熊孩子
