'ai'li 爱丽
'ai'li'kai 爱离开
'bao'zi 包子
'ben'pao 奔跑
'bi'de'pan 彼得潘
'bian'bo'xian 边伯贤
'bo'bo'hu 啵啵虎
'can'bai 灿白
'can'lu 灿鹿
'can'xun 灿勋
'chu'xue 初雪
'cun'zhang 村长
'da'bai'ya 大白牙
'dou'jing'xiu 都暻秀
'du'jiao'shou 独角兽
'e'le'long 饿了龙
'fan'xing 繁星
'fu'chuan'yi'zhi'hua 富川一枝花
'hu'die'shao'nv 蝴蝶少女
'hun'dan 魂蛋
'jin'jun'mian 金俊勉
'jin'min'xi 金珉锡
'jin'zhong'da 金钟大
'jin'zhong'ren 金钟仁
'kai'bai 开白
'kai'du 开度
'kai'lu 开路
'kai'xun 开勋
'kou'kou'pa 叩叩趴
'lang'yu'mei'nv 狼与美女
'lei'dian 雷电
'lu'bai 鹿白
'lu'bao 鹿包
'lu'xun 鹿勋
'luo'ji'wang 洛基王
'meng'si'ta 萌死他
'meng'zhong'meng 梦中梦
'ni'de'shi'jie 你的世界
'niu'bai 牛白
'niu'can 牛灿
'niu'lu 牛鹿
'niu'mian 牛绵
'niu'rou 牛肉
'niu'se 牛色
'niu'tao 牛桃
'pu'can'lie 朴灿烈
'pu'tai'di 朴泰迪
'sheng'dan'jie 圣诞节
'shuang'yue'zhi'ye 双月之夜
'tao'se 桃色
'wu'shi'xun 吴世勋
'xiao'hu'li 小狐狸
'xiao'lao'di 小老地
'xiao'mian'yang 小绵羊
'xing'lu 兴鹿
'xun'bai 勋白
'xun'lu 勋鹿
'xun'lu 驯鹿
'yue'de'qi'ji 月的奇迹
'yue'guang 月光
'zhang'yi'xing 张艺兴
'zhong'du 中毒
