'ai'te 艾特
'an'ding'qu 安定区
'an'jiu'hei'nai 安久黑奈
'an'jiu'nai'bai 安久奈白
'an'pu'qing'zi 安浦清子
'ba'lei'te 巴雷特
'bai'ge'bai'jiu 白鸽白鸠
'bao'shi'kuang 暴食狂
'bo'chuan'zhong 钵川中
'can'chang 喰场
'can'zhong 喰种
'can'zhong'can'ting 喰种餐厅
'can'zhong'dui'ce'fa 喰种对策法
'can'zhong'dui'ce'jiao'yu'suo 喰种对策教育所
'can'zhong'dui'ce'ju 喰种对策局
'can'zhong'dui'ce'ju'ben'bu 喰种对策局本部
'can'zhong'shou'rong'suo'kui'ku'li'a 喰种收容所奎库利阿
'can'zhong'sou'cha'guan 喰种搜查官
'can'zhong'sou'cha'guan'yang'cheng'xue'xiao 喰种搜查官养成学校
'da'shou'ba'yun 大守八云
'di'kou'chu'shi 笛口雏实
'di'kou'liang'zi 笛口凉子
'di'xing'jia'yi 地行甲乙
'di'yuan'xing'ji 蓧原幸纪
'dong'jing'can'zhong 东京喰种
'dong'jing'shi'shi'gui 东京食尸鬼
'du'yan'can'zhong 独眼喰种
'du'yan'de'xiao 独眼的枭
'duo'duo'liang 多多良
'duo'ka'jiang 多卡酱
'duo'nai'tuo'pu'lu'pu'la 多奈托普鲁普拉
'er'deng'sou'cha'guan 二等搜查官
'fa'si'xiang'jie 法寺项介
'fang'cun'gong'shan 芳村功善
'fei'song 肥松
'feng'yong'li'xing 丰永利行
'gao'gui'quan 高槻泉
'gao'huan'cai'yang 高桓彩阳
'gong'can 共喰
'gong'ye'zhen'shou 宫野真守
'gu'dong'ka'fei'dian 古董咖啡店
'gu'jian'yuan'er 古间圆儿
'gui'wei 贵未
'he'bao 赫包
'he'xiu'chang'ji 和修常吉
'he'xiu'ji'shi 和修吉时
'he'yan 赫眼
'he'zhe 赫者
'he'zi 赫子
'hua'jiang'xia'shu 花江夏树
'hua'ze'xiang'cai 花泽香菜
'hui'qi'shen'mu 灰崎深目
'jia'he 甲赫
'jia'na'ming'bo 嘉纳明博
'jia'na'zong'he'yi'yuan 嘉纳综合医院
'jian'cha'men 检查门
'jian'sheng'long'zhi 菅生隆之
'jin'mu'xiao'tian'shi 金木小天使
'jin'mu'yan 金木研
'ku'yin'ke 库因克
'ku'yin'ke'si 库因克斯
'kun'ke 昆克
'lin'he 鳞赫
'ling'wu'shen'zao 铃屋什造
'long'ze'zheng'dao 泷泽政道
'mao'yi'gong'si'si'fen'ke'si 贸易公司斯芬克斯
'mei'shi'jia 美食家
'na'ji 纳基
'ping'xiong'di 瓶兄弟
'ping'zi'zhang 平子丈
'qian'zhao'jin'tai'lang 浅沼晋太郎
'qian'zhi'mu 千之睦
'qing'si'gao'deng'xue'xiao 清巳高等学校
'qing'tong'shu 青铜树
'ren'yao'ni'ke 人妖尼克
'ru'jian'xuan 入见萱
'san'deng'sou'cha'guan 三等搜查官
'sen'tian'xiu'ping 森田修平
'shang'deng'sou'cha'guan 上等搜查官
'shang'jing'da'xue 上井大学
'shen'dai'cha'rong 神代叉荣
'shen'dai'li'shi 神代利世
'shi'tian'cui 石田翠
'shi'xian'sheng 诗先生
'shi'yan'da'lou 实验大楼
'si'fang'lian'shi 四方莲示
'te'deng'sou'cha'guan 特等搜查官
'tian'jing'zhong'kuan'he 田井中宽和
'tian'zhong'wan'wang'yuan 田中丸望元
'tu'zi 兔子
'wa'si 瓦斯
'wan'shou'zhai 丸守斋
'wan'zhang'shu'yi 万丈数一
'wei'he 尾赫
'wei'yu'gui 梶裕贵
'wu'dao'dong'xiang 雾岛董香
'wu'dao'xin 雾岛新
'wu'dao'xuan'dou 雾岛绚都
'wu'li'mei'xiang 五里美香
'xi'bao 细胞
'xi'lin'tai'lang 西凛太朗
'xi'wei'jin 西尾锦
'xiao'ban'yi'zi 小坂依子
'xiao'chou'ji'tuan 小丑集团
'xiao'xi'ke'xing 小西克幸
'ya'men'gang'tai'lang 亚门钢太郎
'yan'zhao 眼罩
'ye'lv 野吕
'yi'deng'sou'cha'guan 一等搜查官
'yi'niao 伊鸟
'ying'jing'xiao'hong 樱井孝宏
'yong'jin'ying'liang 永近英良
'you'ma'gui'jiang 有马贵将
'you'na 尤娜
'yu'gong'tian 雨宫天
'yu'he 羽赫
'yu'jing'jun 宇井郡
'yue'shan'xi 月山习
'zhen'hu'wu'xu 真户吴绪
'zhen'hu'xiao 真户晓
'zhu'xing'jin 诸星堇
'zhun'te'deng'sou'cha'guan 准特等搜查官
'zong'tai 宗太
