'a'shi'chan'zao 阿氏颤藻
'ai'lun'qiao'wan'zao 埃伦桥弯藻
'ao'bian'qian'kou'chong 凹扁前口虫
'ao'da'li'ya'qiao'wan'zao 澳大利亚桥弯藻
'ban'yuan'an'jia'lun'chong 半圆鞍甲轮虫
'ban'yuan'biao'ke'chong 半圆表壳虫
'bang'xing'gu'zao 棒形鼓藻
'bei'zhuang'ni'ling'ke'chong 杯状拟铃壳虫
'bian'gu'zao 扁鼓藻
'biao'ke'yuan'ke'chong 表壳圆壳虫
'bing'lian'zao 并联藻
'can'dou'yi'zao 蚕豆衣藻
'chang'san'zhi'lun'chong 长三肢轮虫
'chang'yuan'sha'ke'chong 长圆砂壳虫
'chang'yuan'you'mao'lun'chong 长圆疣毛轮虫
'chang'zhi'duo'zhi'lun'chong 长肢多肢轮虫
'chang'zhi'xiu'ti'sao 长肢秀体溞
'chao'ju'fa'mao'chong 巢居法帽虫
'chi'gu'zhen'gan'zao 尺骨针杆藻
'chi'kou'li'ke'chong 齿口梨壳虫
'chun'xing'ye'lun'chong 唇形叶轮虫
'da'du'xu'zu'lun'chong 大肚须足轮虫
'da'ping'lie'zao 大平裂藻
'da'xing'qiao'si'zao 大型鞘丝藻
'dai'xing'luo'zao 带形裸藻
'dan'bai'he'yin'zao 蛋白核隐藻
'dan'jiao'pan'xing'zao'ju'kong'bian'zhong 单角盘星藻具孔变种
'dan'qiu'luan'nang'zao 单球卵囊藻
'dan'sheng'luan'nang'zao 单生卵囊藻
'dan'shui'tong'ke'chong 淡水筒壳虫
'deng'ci'yi'wei'lun'chong 等刺异尾轮虫
'dian'di'jian'e'sao 点滴尖额溞
'dian'di'pan'bian'xing'chong 点滴盘变形虫
'dian'xing'nian'zhu'zao 点形念珠藻
'duan'xiao'fu'jie'zao 短小辐节藻
'duan'xiao'zhou'xing'zao 短小舟形藻
'duo'mao'liu'dan'chong 多毛榴弹虫
'e'hua'bi'wei'lun'chong 萼花臂尾轮虫
'er'jiao'duo'jia'zao 二角多甲藻
'er'jiao'pan'xing'zao 二角盘星藻
'fu'qiu'zao 浮球藻
'fu'zu'fu'wei'lun'chong 腹足腹尾轮虫
'gai'shi'jing'nang'lun'chong 盖氏晶囊轮虫
'gao'qiao'lun'chong 高硚轮虫
'ge'kong'pan'xing'zao 格孔盘星藻
'gou'qu'yi'zu'meng'shui'zao 沟渠异足猛水蚤
'gu'lao'xiao'huan'zao 古老小环藻
'gu'sheng'luan'nang'zao 孤生卵囊藻
'guan'sha'ke'chong 冠砂壳虫
'guang'bu'duo'zhi'lun'chong 广布多肢轮虫
'guang'xi'gu'zao 广西鼓藻
'guang'xi'jian'e'sao 广西尖额溞
'guang'yuan'xiao'huan'zao 广缘小环藻
'gui'bei'ji'zhi'zao 龟背基枝藻
'gui'jia'lun'chong 龟甲轮虫
'he'sha'ke'chong 褐砂壳虫
'he'sheng'tong'ke'chong 河生筒壳虫
'hei'ban'suo'lun'shu 黑斑索轮属
'hu'li'ke'chong 胡梨壳虫
'hu'sheng'chan'zao 湖生颤藻
'hu'sheng'hong'bao'zao 湖生红胞藻
'hu'sheng'jiao'pu'tao'zao 湖生胶葡萄藻
'hu'si'te'qiao'wan'zao 胡斯特桥弯藻
'hua'mei'ao'ding'gu'zao 华美凹顶鼓藻
'ji'mao'ding'ji'zao 极毛顶棘藻
