'a'fei 阿飞
'a'fu 阿父
'a'mu 阿母
'cheng'jia'hao'er'lang 程家好儿郎
'cheng'shao'gong 程少宫
'cheng'shao'shang 程少商
'cheng'song 程颂
'cheng'yang 程姎
'cui'you 崔佑
'da'fu 大父
'da'mu 大母
'fu'deng 符登
'gu'cheng 孤城
'huo'bu'yi 霍不疑
'huo'chong 霍翀
'huo'jun'hua 霍君华
'jun'gu 君姑
'jun'gu 菌菇
'jun'jiu 君舅
'lang'xu 郎婿
'lian'fang 莲房
'ling'bu'yi 凌不疑
'ling'yi 凌益
'lou'ben 楼犇
'lou'yao 楼垚
'luo'ji'tong 骆济通
'niao'niao 嫋嫋
'nv'niang 女娘
'qian'an'wang 乾安王
'qu'ling'jun 曲泠君
'shu'zi 竖子
'shun'hua 舜华
'tong'di'pan'guo 通敌叛国
'wan'qi'qi 万萋萋
'wan'song'bai 万松柏
'wang'ling 王姈
'wang'yan'ji 王延姬
'wen'di 文帝
'wen'di 温蒂
'wen'xiu'jun 文修君
'wu'ni 忤逆
'xiao'yuan'yi 萧元漪
'xiao'yue'hou 小越侯
'xiao'zhu'ren 萧主任
'xuan'hou 宣后
'xuan'shen'an 宣神谙
'yang'yang 姎姎
'yi'dui'tu 一堆土
'yuan'shan'jian 袁善见
'yuan'shen 袁慎
'yue'fei 越妃
'yue'heng 越姮
'zi'sheng 子晟
