'a'bi'de'nv'xing'ya'mu'qin 阿必的女性亚母亲
'a'di'hua 阿迪华
'a'di'xian 阿迪贤
'a'er'ke'ti'si 阿尔刻提斯
'a'huang'ye 啊荒野
'a'jia'men'nong 阿伽门农
'a'jia'men'nong 阿加门农
'a'ka'nai'ren 阿卡奈人
'a'li 阿里
'a'li'si'tuo'fen 阿里斯托芬
'a'mu'mo'nai 阿慕莫奈
'a'niu'da 阿纽达
'a'shi'qi'zheng'zhuan 阿试妻正传
'a'shuang'quan 阿双全
'a'yan'tao 阿彦涛
'ai'a'si 埃阿斯
'ai'de'cuo'zhe 爱的挫折
'ai'de'tu'lao 爱的徒劳
'ai'gu'pu'tuo'si'de'er'zi'men 埃古普托斯的儿子们
'ai'shi'ju 艾世菊
'ai'si'ku'luo'si 埃斯库罗斯
'an'an'song'mi 安安送米
'an'die'wo'ba 俺爹我爸
'an'dong'ni'ao'lan'na'si 安东尼奥兰纳斯
'an'dong'ni'yu'feng'liu'ao'li'si 安东尼与风流奥里斯
'an'dong'ni'yu'ke'si'ao'pei'qu'la 安东尼与克斯奥佩屈拉
'an'lian'tao'hua'yuan 暗恋桃花源
'an'na'bian'wai'si'di 安娜边外斯蒂
'an'tang'ren'mu 庵堂认母
'an'ti'ge'nie 安提戈涅
'ang'duo'ba'yi 昂朵巴依
'ang'ta'ni'ju'si 昂塔尼居斯
'ao'ke'la'he'ma 奥克拉荷马
'ao'ni'er 奥尼尔
'ao'se'ke'si 奥瑟克斯
'ao'se'luo 奥瑟罗
'ba'ba'la'shao'xiao 芭芭拉少校
'ba'da'gai'hang 八大改行
'ba'jian'yi 八件衣
'ba'mao'tu 八猫图
'ba'shi'yi'ceng'lou 八十一层楼
'ba'wang'bie'ji 霸王别姬
'ba'ya'ze 巴雅泽
'ba'yan'guang'fang'yuan'yi'dian 把眼光放远一点
'bai'bao'ting 白葆亭
'bai'bi'gong 白逼宫
'bai'di'cheng 白帝城
'bai'di'han 白迪瀚
'bai'hua 白桦
'bai'jia'lin 白家林
'bai'jian'tang 白鉴堂
'bai'li 白立
'bai'long'yan 白龙岩
'bai'lu'yuan 白鹿原
'bai'men'lou 白门楼
'bai'quan'fu 白全福
'bai'she'zhuan 白蛇传
'bai'xian'sheng'kan'bing 白先生看病
'bai'xiao'fang 白晓芳
'bai'ying'jie 白英杰
'bai'yu 白玉
'bai'yu'dian 白玉钿
'bai'zhang'ming 白长命
'ban'de'gui 班德贵
'ban'song'lin 班松麟
'bang'da'yu'ni'ai 棒打与溺爱
'bao'bao'zi 抱抱子
'bao'chang'chun 包长春
'bao'chun'hua 报春花
'bao'feng'yu 暴风雨
'bao'feng'yu'zhong'de'qi'ge'nv'xing 暴风雨中的七个女性
'bao'fu 包甫
'bao'shou'hua 宝寿华
'bao'ting 包廷
'bao'tou 包头
'bao'wei'lu'gou'qiao 保卫卢沟桥
'bao'wen'nian 包文年
'bao'zi'wan'zhan'dou 豹子湾战斗
'bei'fang'zhu'zhe 被放逐者
'bei'fu'de'pu'luo'mi'xiu'si 被缚的普罗米修斯
'bei'hai'you 北海游
'bei'jie'bang'de'pu'luo'mi'xiu'si 被解绑的普罗米修斯
'bei'jing'da'ye 北京大爷
'bei'jing'de'kong'qi 北京的空气
'bei'jing'qin'shu 北京琴书
'bei'jing'ren 北京人
'bei'jing'wang'bei'shi'bei'da'huang 北京往北是北大荒
'bei'ke'te 贝克特
'bei'lei'ni'si 蓓蕾尼丝
'bei'wa'jin'fu 背娃进府
'bi'xue'hua 碧血花
'bi'xue'xiang 毕学祥
'bi'ying'qi 毕英奇
'bian'zhen'xin 边振新
'biao'hua 表花
'bie'niu'hua 别扭话
'bing'bian 兵变
'bing'fa'yun'nan 兵发云南
'bo'li'dong'wu'yuan 玻璃动物园
'bo'li'ye'ke'te 波利耶克特
'bo'ma'she 博马舍
'bo'sa'qiu 博萨丘
'bo'si'ren 波斯人
'bu'gu'niao'you'jiao'le 布谷鸟又叫了
'bu'ke'er'xi 不可儿戏
'bu'la'si'pang'de'shang'wei'de'zhuan'bian 布拉斯庞德上尉的转变
'bu'ru'shi 哺乳诗
'bu'yi'kong'zi 布衣孔子
'bu'yu'kuai'xi'ju'ji 不愉快戏剧集
'bu'zhi'qiu'si'zai'shui'jia 不知秋死在谁家
'bu'zhun'chu'sheng'de'ren 不准出生的人
'cai'chang 彩唱
'cai'di'ming 猜地名
'cai'ge 猜歌
'cai'mi'zhang'ren 财迷丈人
'cai'pei'sheng 蔡培生
'cai'wen'ji 蔡文姬
'cai'yu'heng 蔡玉衡
'cai'zhi'cheng 蔡志诚
'can'wu 残雾
'cang'hai'zheng'liu 沧海争流
'cang'zhou 藏舟
'cao 曹
'cao'bao'chun 曹宝春
'cao'feng 曹峰
'cao'gang 曹刚
'cao'hong'wei 曹鸿伟
'cao'jin 曹锦
'cao'jin'xing 曹金星
'cao'jun'qing 曹俊清
'cao'mang'ying'xiong 草莽英雄
'cao'qing'bo 曹庆波
'cao'xiang 曹祥
'cao'yu 曹禺
'cao'zhong'min 曹中民
'ce'suo 厕所
'cha'guan 茶馆
'cha'wei'sheng 查卫生
'cha'ye'hong 茶叶红
'chai'chang 拆唱
'chai'tou'feng 钗头凤
'chan'li 颤栗
'chang'an'qu'ju'tuan 长安区剧团
'chang'bao'chen 常葆臣
'chang'bao'feng 常宝丰
'chang'bao'hua 常宝华
'chang'bao'lin 常宝霖
'chang'bao'ting 常宝霆
'chang'de'si'xian 常德丝弦
'chang'fu'quan 常福荃
'chang'gui'tian 常贵田
'chang'lian'an 常连安
'chang'pei'ye 常佩业
'chang'ye'man'man'lu'tiao'tiao 长夜漫漫路迢迢
'chao'yang'gou 朝阳沟
'che'wen'tong 车文通
'chen'bao'tai 陈宝泰
'chen'bing'wen 陈秉文
'chen'dong'guo 陈东国
'chen'guan'yi 陈冠义
'chen'gui'lin 陈桂林
'chen'gui'xin 陈桂鑫
'chen'guo'hua 陈国华
'chen'han'bai 陈寒柏
'chen'jin'shan 陈进山
'chen'jun'zhi 陈君志
'chen'lian'zhong 陈连仲
'chen'miao'hua 陈妙华
'chen'ming'zhi 陈鸣志
'chen'qing 陈庆
'chen'ren'yi 陈仁义
'chen'shang'hua 陈尚华
'chen'shang'zhong 陈尚忠
'chen'shao'yun 陈少云
'chen'shi'kui 陈世魁
'chen'shi'zhi 陈世智
'chen'shu'tong 陈树桐
'chen'song'bo 陈松波
'chen'wen'guang 陈文光
'chen'wen'xiao 陈文潇
'chen'wen'yan 陈文彦
'chen'xi 陈西
'chen'xiao'hu 陈小虎
'chen'xiao'yu 谌笑宇
'chen'xue'fu 陈学富
'chen'yi'chu'shan 陈毅出山
'chen'yi'shi'zhang 陈毅市长
'chen'ying 谌英
'chen'yong'hai 陈永海
'chen'yong'qing 陈永清
'chen'yong'quan 陈涌泉
'chen'yong'zhong 陈永忠
'chen'you'xin 陈幼新
'chen'yu'nong 陈雨农
'chen'yu'ting 陈雨亭
'chen'zhi'hua 陈治华
'chen'zhong 沉钟
'chen'zi'du 陈子度
'chen'zi'quan 陈紫荃
'chen'zi'zhen 陈子贞
'cheng'guang'de 程光德
'cheng'yan'qiu 程砚秋
'cheng'yu'lian'pian 成语连篇
'cheng'yu'xin'pian 成语新篇
'cheng'zhi 程之
'chi'fan'wo'tao'qian 吃饭我掏钱
'chi'sang'zhen 赤桑镇
'chong'po'li'ming'qian'de'hei'an 冲破黎明前的黑暗
'chong'shou'feng 崇寿峰
'chou'jun 仇君
'chuan'ju 川剧
'chuan'tiao 串调
'chuan'yao 传摇
'chui'niu'de'jun'ren 吹牛的军人
'chun'can 春蚕
'chun'chang'long 春长隆
'chun'hua'qiu'shi 春华秋实
'chun'yu'sha'sha 春雨沙沙
'ci'ke 刺客
'ci'wang'liao 刺王僚
'cui'bao 崔宝
'cui'bo'guang 崔伯光
'cui'chang'wu 崔长武
'cui'huai'lu 崔怀禄
'cui'jin'quan 崔金泉
'cui'xi'yue 崔喜跃
'cui'xi'yue 崔喜悦
'cun'guan'guo'xiu'ming 村官郭秀明
'cuo'wu'de'xi'ju 错误的喜剧
'cuo'zhong'cuo 错中错
'da'bai'fen 打百分
'da'bao'guo 大保国
'da'chai'quan'di 打柴劝弟
'da'chu'you'ling'ta 打出幽灵塔
'da'dan 大胆
'da'dan'ma'ma'he'ta'de'hai'zi'men 大胆妈妈和她的孩子们
'da'deng'dian 大登殿
'da'di'long'she 大地龙蛇
'da'feng'ge 大风歌
'da'gu 大鼓
'da'huang'ye 大荒野
'da'hui'jian'wen 大会见闻
'da'jin'zhi 打金枝
'da'lei'yu 大雷雨
'da'li'shi'de'nv'er 大力士的女儿
'da'li'shi'luo'ma'ke 大力士洛玛刻
'da'luan'jia 打銮驾
'da'nai'e'si'de'nv'er'men 达奈俄斯的女儿们
'da'nao'xian'ya'men 大闹县衙门
'da'pai'lun 打牌论
'da'sha'guo 打砂锅
'da'shan 大山
'da'shang'shou 大上寿
'da'shen'gao'miao 打神告庙
'da'ye'ya 打野鸭
'da'yu'sha'jia 打渔杀家
'da'zhen'tai 打镇台
'dai'bao'kang 戴宝康
'dai'fu'yue 戴福月
'dai'hou'yuan'de'si'he'yuan'zai'zhe'ge'jia'ting'li 带后院的四合院在这个家庭里
'dai'shao'fu 戴少甫
'dai'zhi'cheng 戴志诚
'dai'zhi'zhai 戴致斋
'dan'jian'pian 胆剑篇
'dan'lian'li 单联丽
'dan'song'ting 单松亭
'dan'xian 单弦
'dan'xin'pu 丹心谱
'dang'gan'ting 党甘亭
'dang'hang'lun 当行论
'dang'jin'liang 党金良
'dang'zi 荡子
'dao'da'ma'shi'ge'qu 到大马士革去
'dao'min'jian'qu 到民间去
'dao'wa'sa 到瓦萨
'dao'zi 倒字
'deng'dai'ge'duo 等待戈多
'deng'ji'zeng 邓继增
'deng'mu'wei 邓沐玮
'deng'shi'jie 邓世杰
'deng'tai'tai'hui'lai'de'shi'hou 等太太回来的时候
'deng'wen'feng 邓文丰
'deng'xiao'lin 邓小林
'di'ceng 底层
'di'er'ge'chun'tian 第二个春天
'di'lun'duo'ni 迪伦多尼
'di'lun'lue'zhuan 迪伦略传
'di'lun'ma'te 迪伦马特
'di'shi'er'ye 第十二夜
'di'wu'hao'bing'shi 第五号病室
